beta0_deg,Id0_over_Is,Pe_min,J,mu_over_J,sigma,omega_e0,fate,omega_e_final,omega_e_peak,omega_e_min,omega_e_tailmean,ripple,t_end_yr,reached_horizon,beta_final_deg,Id_final_over_Is,eps_beta_max,t_domain_exit_yr,in_domain,omega_e_tailmean_numeric,n_resonance_crossings,nearest_resonance,d_to_resonance,min_d_separatrix,wall_s,omega_e_pred,rel_err_pred,H_drift_rel
135.00,0.4416,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.31241931e-03,5.23598776e-03,2.31241931e-03,2.31241931e-03,5.626327e-16,100.0000,1,109.0136,1.000000,4.000092e-03,NaN,1,NaN,17,SAM 2:1,0.070033,1.954843e-04,4.59,2.31241931e-03,3.544586e-14,0.000000e+00
165.00,0.4416,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.31241931e-03,5.23598776e-03,2.31241931e-03,2.31241931e-03,1.125265e-15,100.0000,1,130.2865,1.000000,3.937954e-03,NaN,1,NaN,17,SAM 2:1,0.070033,1.954851e-04,3.27,2.31241931e-03,1.762916e-14,0.000000e+00
15.00,0.4920,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.57601027e-03,5.23598776e-03,2.57601027e-03,2.57601027e-03,1.683537e-16,100.0000,1,130.7783,1.000000,3.245797e-03,NaN,1,NaN,15,SAM 2:1,0.070033,2.790993e-03,3.16,2.57601027e-03,1.548854e-14,0.000000e+00
45.00,0.4920,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.57601027e-03,5.23598776e-03,2.57601027e-03,2.57601027e-03,1.010122e-15,100.0000,1,86.6661,1.000000,4.560761e-03,NaN,1,NaN,15,SAM 2:1,0.070033,2.790993e-03,4.41,2.57601027e-03,3.064037e-14,0.000000e+00
75.00,0.4920,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.57601027e-03,5.23598776e-03,2.57601027e-03,2.57601027e-03,3.367074e-16,100.0000,1,100.7361,1.000000,2.913138e-03,NaN,1,NaN,15,SAM 2:1,0.070033,2.790993e-03,4.03,2.57601027e-03,3.989983e-14,0.000000e+00
105.00,0.4920,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.57601027e-03,5.23598776e-03,2.57601027e-03,2.57601027e-03,1.683537e-16,100.0000,1,71.1503,1.000000,2.829052e-03,NaN,1,NaN,15,SAM 2:1,0.070033,2.790993e-03,3.98,2.57601027e-03,4.023654e-14,0.000000e+00
135.00,0.4920,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.57601027e-03,5.23598776e-03,2.57601027e-03,2.57601027e-03,3.367074e-16,100.0000,1,124.2931,1.000000,3.417816e-03,NaN,1,NaN,15,SAM 2:1,0.070033,2.790993e-03,4.19,2.57601027e-03,3.232391e-14,0.000000e+00
165.00,0.4920,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.57601027e-03,5.23598776e-03,2.57601027e-03,2.57601027e-03,0.000000e+00,100.0000,1,60.8452,1.000000,3.247097e-03,NaN,1,NaN,15,SAM 2:1,0.070033,2.790993e-03,3.14,2.57601027e-03,1.633031e-14,0.000000e+00
15.00,0.5423,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.83960123e-03,5.23598776e-03,2.83960123e-03,2.83960123e-03,4.581779e-16,100.0000,1,25.1486,1.000000,2.750209e-03,NaN,1,NaN,15,SAM 2:1,0.070033,2.867301e-03,2.87,2.83960123e-03,1.481442e-14,0.000000e+00
45.00,0.5423,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.83960123e-03,5.23598776e-03,2.83960123e-03,2.83960123e-03,3.054520e-16,100.0000,1,125.7169,1.000000,2.835676e-03,NaN,1,NaN,15,SAM 2:1,0.070033,2.867301e-03,4.30,2.83960123e-03,2.703250e-14,0.000000e+00
75.00,0.5423,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.83960123e-03,5.23598776e-03,2.83960123e-03,2.83960123e-03,1.527260e-16,100.0000,1,90.2002,1.000000,2.859729e-03,NaN,1,NaN,15,SAM 2:1,0.070033,2.867301e-03,7.37,2.83960123e-03,3.558515e-14,0.000000e+00
105.00,0.5423,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.83960123e-03,5.23598776e-03,2.83960123e-03,2.83960123e-03,0.000000e+00,100.0000,1,64.6598,1.000000,2.355383e-03,NaN,1,NaN,15,SAM 2:1,0.070033,2.867301e-03,4.18,2.83960123e-03,3.573788e-14,0.000000e+00
135.00,0.5423,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.83960123e-03,5.23598776e-03,2.83960123e-03,2.83960123e-03,3.054520e-16,100.0000,1,40.5718,1.000000,2.744336e-03,NaN,1,NaN,15,SAM 2:1,0.070033,2.867301e-03,5.37,2.83960123e-03,2.733795e-14,0.000000e+00
165.00,0.5423,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.83960123e-03,5.23598776e-03,2.83960123e-03,2.83960123e-03,0.000000e+00,100.0000,1,163.5680,1.000000,2.661272e-03,NaN,1,NaN,15,SAM 2:1,0.070033,2.867301e-03,3.51,2.83960123e-03,1.466169e-14,0.000000e+00
15.00,0.5927,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.10319219e-03,5.23598776e-03,3.10319219e-03,3.10319219e-03,4.192594e-16,100.0000,1,133.4999,1.000000,2.356906e-03,NaN,1,NaN,14,SAM 2:1,0.070033,3.979731e-03,4.94,3.10319219e-03,1.341630e-14,0.000000e+00
45.00,0.5927,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.10319219e-03,5.23598776e-03,3.10319219e-03,3.10319219e-03,5.590126e-16,100.0000,1,52.6611,1.000000,2.352068e-03,NaN,1,NaN,14,SAM 2:1,0.070033,3.979553e-03,6.49,3.10319219e-03,2.361828e-14,0.000000e+00
75.00,0.5927,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.10319219e-03,5.23598776e-03,3.10319219e-03,3.10319219e-03,2.795063e-16,100.0000,1,80.7133,1.000000,2.501666e-03,NaN,1,NaN,14,SAM 2:1,0.070033,3.979574e-03,5.05,3.10319219e-03,3.158421e-14,0.000000e+00
105.00,0.5927,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.10319219e-03,5.23598776e-03,3.10319219e-03,3.10319219e-03,0.000000e+00,100.0000,1,62.4150,1.000000,2.165287e-03,NaN,1,NaN,14,SAM 2:1,0.070033,3.979591e-03,4.79,3.10319219e-03,3.158421e-14,0.000000e+00
135.00,0.5927,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.10319219e-03,5.23598776e-03,3.10319219e-03,3.10319219e-03,6.987657e-16,100.0000,1,139.1569,1.000000,2.788860e-03,NaN,1,NaN,14,SAM 2:1,0.070033,3.979623e-03,4.53,3.10319219e-03,2.417729e-14,0.000000e+00
165.00,0.5927,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.10319219e-03,5.23598776e-03,3.10319219e-03,3.10319219e-03,2.795063e-16,100.0000,1,35.1602,1.000000,3.249435e-03,NaN,1,NaN,14,SAM 2:1,0.070033,3.979806e-03,3.35,3.10319219e-03,1.355606e-14,0.000000e+00
15.00,0.6430,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.36678315e-03,5.23598776e-03,3.36678315e-03,3.36678315e-03,6.440582e-16,100.0000,1,103.4523,1.000000,2.008270e-03,NaN,1,NaN,14,SAM 2:1,0.070033,2.188818e-03,2.65,3.36678315e-03,1.210829e-14,0.000000e+00
45.00,0.6430,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.36678315e-03,5.23598776e-03,3.36678315e-03,3.36678315e-03,3.864349e-16,100.0000,1,89.4569,1.000000,2.571505e-03,NaN,1,NaN,14,SAM 2:1,0.070033,2.188818e-03,4.06,3.36678315e-03,2.254204e-14,0.000000e+00
75.00,0.6430,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.36678315e-03,5.23598776e-03,3.36678315e-03,3.36678315e-03,0.000000e+00,100.0000,1,116.5549,1.000000,2.148853e-03,NaN,1,NaN,14,SAM 2:1,0.070033,2.188818e-03,4.21,3.36678315e-03,2.911143e-14,0.000000e+00
105.00,0.6430,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.36678315e-03,5.23598776e-03,3.36678315e-03,3.36678315e-03,0.000000e+00,100.0000,1,93.1766,1.000000,2.246841e-03,NaN,1,NaN,14,SAM 2:1,0.070033,2.188818e-03,4.66,3.36678315e-03,2.911143e-14,0.000000e+00
135.00,0.6430,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.36678315e-03,5.23598776e-03,3.36678315e-03,3.36678315e-03,3.864349e-16,100.0000,1,58.9505,1.000000,2.046095e-03,NaN,1,NaN,14,SAM 2:1,0.070033,2.188818e-03,4.08,3.36678315e-03,2.254204e-14,0.000000e+00
165.00,0.6430,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.36678315e-03,5.23598776e-03,3.36678315e-03,3.36678315e-03,6.440582e-16,100.0000,1,64.7578,1.000000,2.102017e-03,NaN,1,NaN,14,SAM 2:1,0.070033,2.188818e-03,3.34,3.36678315e-03,1.249473e-14,0.000000e+00
15.00,0.6934,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.63037411e-03,5.23598776e-03,3.63037411e-03,3.63037411e-03,4.778360e-16,100.0000,1,17.8477,1.000000,1.797025e-03,NaN,1,NaN,12,SAM 2:1,0.070033,1.848778e-03,2.70,3.63037411e-03,1.146806e-14,0.000000e+00
45.00,0.6934,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.63037411e-03,5.23598776e-03,3.63037411e-03,3.63037411e-03,5.972950e-16,100.0000,1,84.2088,1.000000,1.801138e-03,NaN,1,NaN,12,SAM 2:1,0.070033,1.848498e-03,3.48,3.63037411e-03,1.994965e-14,0.000000e+00
75.00,0.6934,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.63037411e-03,5.23598776e-03,3.63037411e-03,3.63037411e-03,0.000000e+00,100.0000,1,70.0346,1.000000,1.952702e-03,NaN,1,NaN,12,SAM 2:1,0.070033,1.848605e-03,3.74,3.63037411e-03,2.711719e-14,0.000000e+00
105.00,0.6934,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.63037411e-03,5.23598776e-03,3.63037411e-03,3.63037411e-03,0.000000e+00,100.0000,1,65.2638,1.000000,1.855069e-03,NaN,1,NaN,12,SAM 2:1,0.070033,1.848680e-03,3.05,3.63037411e-03,2.687828e-14,0.000000e+00
135.00,0.6934,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.63037411e-03,5.23598776e-03,3.63037411e-03,3.63037411e-03,2.389180e-16,100.0000,1,63.5942,1.000000,1.803051e-03,NaN,1,NaN,12,SAM 2:1,0.070033,1.848691e-03,3.58,3.63037411e-03,2.114424e-14,0.000000e+00
165.00,0.6934,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.63037411e-03,5.23598776e-03,3.63037411e-03,3.63037411e-03,2.389180e-16,100.0000,1,166.2473,1.000000,2.374961e-03,NaN,1,NaN,12,SAM 2:1,0.070033,1.848711e-03,2.85,3.63037411e-03,1.170698e-14,0.000000e+00
15.00,0.7437,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.89396507e-03,5.23598776e-03,3.89396507e-03,3.89396507e-03,0.000000e+00,100.0000,1,129.2270,1.000000,1.597801e-03,NaN,1,NaN,11,SAM 2:1,0.070033,4.890288e-03,2.63,3.89396507e-03,1.147137e-14,0.000000e+00
45.00,0.7437,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.89396507e-03,5.23598776e-03,3.89396507e-03,3.89396507e-03,2.227451e-16,100.0000,1,136.2694,1.000000,1.597834e-03,NaN,1,NaN,11,SAM 2:1,0.070033,4.890288e-03,6.00,3.89396507e-03,1.871059e-14,0.000000e+00
75.00,0.7437,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.89396507e-03,5.23598776e-03,3.89396507e-03,3.89396507e-03,0.000000e+00,100.0000,1,62.4366,1.000000,1.346538e-03,NaN,1,NaN,11,SAM 2:1,0.070033,4.890288e-03,2.72,3.89396507e-03,2.483608e-14,0.000000e+00
105.00,0.7437,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.89396507e-03,5.23598776e-03,3.89396507e-03,3.89396507e-03,0.000000e+00,100.0000,1,78.7858,1.000000,1.318922e-03,NaN,1,NaN,11,SAM 2:1,0.070033,4.890288e-03,3.94,3.89396507e-03,2.505883e-14,0.000000e+00
135.00,0.7437,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.89396507e-03,5.23598776e-03,3.89396507e-03,3.89396507e-03,5.568628e-16,100.0000,1,46.4408,1.000000,2.213590e-03,NaN,1,NaN,11,SAM 2:1,0.070033,4.890288e-03,3.76,3.89396507e-03,1.871059e-14,0.000000e+00
165.00,0.7437,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,3.89396507e-03,5.23598776e-03,3.89396507e-03,3.89396507e-03,3.341177e-16,100.0000,1,62.4323,1.000000,1.599038e-03,NaN,1,NaN,11,SAM 2:1,0.070033,4.890288e-03,2.27,3.89396507e-03,1.113726e-14,0.000000e+00
15.00,0.7940,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.15755603e-03,5.23598776e-03,4.15755603e-03,4.15755603e-03,6.258689e-16,100.0000,1,160.7502,1.000000,1.498594e-03,NaN,1,NaN,9,SAM 2:1,0.070033,3.446943e-03,2.43,4.15755603e-03,1.084840e-14,0.000000e+00
45.00,0.7940,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.15755603e-03,5.23598776e-03,4.15755603e-03,4.15755603e-03,2.086230e-16,100.0000,1,119.8822,1.000000,1.720542e-03,NaN,1,NaN,9,SAM 2:1,0.070033,3.447011e-03,2.93,4.15755603e-03,1.648122e-14,0.000000e+00
75.00,0.7940,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.15755603e-03,5.23598776e-03,4.15755603e-03,4.15755603e-03,0.000000e+00,100.0000,1,90.4855,1.000000,1.572926e-03,NaN,1,NaN,9,SAM 2:1,0.070033,3.446936e-03,4.21,4.15755603e-03,2.357440e-14,0.000000e+00
105.00,0.7940,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.15755603e-03,5.23598776e-03,4.15755603e-03,4.15755603e-03,0.000000e+00,100.0000,1,115.6221,1.000000,1.170758e-03,NaN,1,NaN,9,SAM 2:1,0.070033,3.447008e-03,2.85,4.15755603e-03,2.336577e-14,0.000000e+00
135.00,0.7940,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.15755603e-03,5.23598776e-03,4.15755603e-03,4.15755603e-03,4.172460e-16,100.0000,1,40.7814,1.000000,1.735665e-03,NaN,1,NaN,9,SAM 2:1,0.070033,3.446922e-03,3.19,4.15755603e-03,1.648122e-14,0.000000e+00
165.00,0.7940,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.15755603e-03,5.23598776e-03,4.15755603e-03,4.15755603e-03,2.086230e-16,100.0000,1,13.8114,1.000000,1.421395e-03,NaN,1,NaN,9,SAM 2:1,0.070033,3.447153e-03,3.15,4.15755603e-03,1.105702e-14,0.000000e+00
15.00,0.8599,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.50263107e-03,5.23598776e-03,4.50263107e-03,4.50263107e-03,9.631721e-16,100.0000,1,30.5306,1.000000,1.252598e-03,NaN,1,NaN,3,SAM 2:1,0.070033,1.843053e-02,2.74,4.50263107e-03,1.040226e-14,0.000000e+00
45.00,0.8599,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.50263107e-03,5.23598776e-03,4.50263107e-03,4.50263107e-03,0.000000e+00,100.0000,1,40.8004,1.000000,1.256095e-03,NaN,1,NaN,3,SAM 2:1,0.070033,1.843053e-02,2.91,4.50263107e-03,1.598866e-14,0.000000e+00
75.00,0.8599,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.50263107e-03,5.23598776e-03,4.50263107e-03,4.50263107e-03,0.000000e+00,100.0000,1,72.6665,1.000000,1.034187e-03,NaN,1,NaN,3,SAM 2:1,0.070033,1.843053e-02,2.78,4.50263107e-03,2.157506e-14,0.000000e+00
105.00,0.8599,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.50263107e-03,5.23598776e-03,4.50263107e-03,4.50263107e-03,0.000000e+00,100.0000,1,102.5219,1.000000,1.021743e-03,NaN,1,NaN,3,SAM 2:1,0.070033,1.843053e-02,2.84,4.50263107e-03,2.157506e-14,0.000000e+00
135.00,0.8599,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.50263107e-03,5.23598776e-03,4.50263107e-03,4.50263107e-03,1.926344e-16,100.0000,1,119.7758,1.000000,1.255801e-03,NaN,1,NaN,3,SAM 2:1,0.070033,1.843053e-02,2.95,4.50263107e-03,1.579602e-14,0.000000e+00
165.00,0.8599,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.50263107e-03,5.23598776e-03,4.50263107e-03,4.50263107e-03,0.000000e+00,100.0000,1,159.5013,1.000000,1.248799e-03,NaN,1,NaN,3,SAM 2:1,0.070033,1.843053e-02,2.24,4.50263107e-03,1.040226e-14,0.000000e+00
15.00,0.8755,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.58411514e-03,5.23598776e-03,4.58411514e-03,4.58411514e-03,0.000000e+00,100.0000,1,112.4663,1.000000,1.208378e-03,NaN,1,NaN,2,SAM 2:1,0.070033,3.686106e-02,2.18,4.58411514e-03,1.059578e-14,0.000000e+00
45.00,0.8755,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.58411514e-03,5.23598776e-03,4.58411514e-03,4.58411514e-03,1.892103e-16,100.0000,1,72.0926,1.000000,1.251203e-03,NaN,1,NaN,2,SAM 2:1,0.070033,3.686106e-02,2.50,4.58411514e-03,1.589366e-14,0.000000e+00
75.00,0.8755,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.58411514e-03,5.23598776e-03,4.58411514e-03,4.58411514e-03,0.000000e+00,100.0000,1,63.9689,1.000000,9.965200e-04,NaN,1,NaN,2,SAM 2:1,0.070033,3.686106e-02,2.43,4.58411514e-03,2.119155e-14,0.000000e+00
105.00,0.8755,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.58411514e-03,5.23598776e-03,4.58411514e-03,4.58411514e-03,0.000000e+00,100.0000,1,72.3979,1.000000,1.000209e-03,NaN,1,NaN,2,SAM 2:1,0.070033,3.686106e-02,2.61,4.58411514e-03,2.119155e-14,0.000000e+00
135.00,0.8755,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.58411514e-03,5.23598776e-03,4.58411514e-03,4.58411514e-03,1.892103e-16,100.0000,1,134.5559,1.000000,1.218130e-03,NaN,1,NaN,2,SAM 2:1,0.070033,3.686106e-02,2.71,4.58411514e-03,1.589366e-14,0.000000e+00
165.00,0.8755,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.58411514e-03,5.23598776e-03,4.58411514e-03,4.58411514e-03,0.000000e+00,100.0000,1,55.8191,1.000000,1.208503e-03,NaN,1,NaN,2,SAM 2:1,0.070033,3.686106e-02,2.09,4.58411514e-03,1.059578e-14,0.000000e+00
15.00,0.8911,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.66559922e-03,5.23598776e-03,4.66559922e-03,4.66559922e-03,0.000000e+00,100.0000,1,118.4307,1.000000,1.184685e-03,NaN,1,NaN,1,SAM 2:1,0.070033,5.529159e-02,3.30,4.66559922e-03,1.003891e-14,0.000000e+00
45.00,0.8911,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.66559922e-03,5.23598776e-03,4.66559922e-03,4.66559922e-03,5.577173e-16,100.0000,1,139.2232,1.000000,1.186675e-03,NaN,1,NaN,1,SAM 2:1,0.070033,5.529159e-02,3.92,4.66559922e-03,1.561608e-14,0.000000e+00
75.00,0.8911,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.66559922e-03,5.23598776e-03,4.66559922e-03,4.66559922e-03,0.000000e+00,100.0000,1,68.5948,1.000000,9.733001e-04,NaN,1,NaN,1,SAM 2:1,0.070033,5.529159e-02,2.87,4.66559922e-03,2.063554e-14,0.000000e+00
105.00,0.8911,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.66559922e-03,5.23598776e-03,4.66559922e-03,4.66559922e-03,0.000000e+00,100.0000,1,66.3241,1.000000,9.892919e-04,NaN,1,NaN,1,SAM 2:1,0.070033,5.529159e-02,3.68,4.66559922e-03,2.100735e-14,0.000000e+00
135.00,0.8911,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.66559922e-03,5.23598776e-03,4.66559922e-03,4.66559922e-03,3.718115e-16,100.0000,1,60.0901,1.000000,1.183871e-03,NaN,1,NaN,1,SAM 2:1,0.070033,5.529159e-02,4.04,4.66559922e-03,1.561608e-14,0.000000e+00
165.00,0.8911,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.66559922e-03,5.23598776e-03,4.66559922e-03,4.66559922e-03,0.000000e+00,100.0000,1,73.3230,1.000000,1.181513e-03,NaN,1,NaN,1,SAM 2:1,0.070033,5.529159e-02,4.05,4.66559922e-03,1.096844e-14,0.000000e+00
15.00,0.9066,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.74708330e-03,5.23598776e-03,4.74708330e-03,4.74708330e-03,1.096288e-15,100.0000,1,14.8973,1.000000,1.149034e-03,NaN,1,NaN,1,SAM 2:1,0.070033,7.372212e-02,2.55,4.74708330e-03,9.866592e-15,0.000000e+00
45.00,0.9066,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.74708330e-03,5.23598776e-03,4.74708330e-03,4.74708330e-03,0.000000e+00,100.0000,1,53.9771,1.000000,1.151078e-03,NaN,1,NaN,1,SAM 2:1,0.070033,7.372212e-02,2.74,4.74708330e-03,1.589618e-14,0.000000e+00
75.00,0.9066,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.74708330e-03,5.23598776e-03,4.74708330e-03,4.74708330e-03,3.654293e-16,100.0000,1,62.5283,1.000000,9.401945e-04,NaN,1,NaN,1,SAM 2:1,0.070033,7.372212e-02,4.15,4.74708330e-03,2.046404e-14,0.000000e+00
105.00,0.9066,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.74708330e-03,5.23598776e-03,4.74708330e-03,4.74708330e-03,1.827147e-16,100.0000,1,77.7177,1.000000,9.358493e-04,NaN,1,NaN,1,SAM 2:1,0.070033,7.372212e-02,2.51,4.74708330e-03,2.046404e-14,0.000000e+00
135.00,0.9066,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,4.74708330e-03,5.23598776e-03,4.74708330e-03,4.74708330e-03,1.827147e-16,100.0000,1,95.4924,1.000000,1.150862e-03,NaN,1,NaN,1,SAM 2:1,0.070033,7.372212e-02,4.47,4.74708330e-03,1.571346e-14,0.000000e+00
