beta0_deg,Id0_over_Is,Pe_min,J,mu_over_J,sigma,omega_e0,fate,omega_e_final,omega_e_peak,omega_e_min,omega_e_tailmean,ripple,t_end_yr,reached_horizon,beta_final_deg,Id_final_over_Is,eps_beta_max,t_domain_exit_yr,in_domain,omega_e_tailmean_numeric,n_resonance_crossings,nearest_resonance,d_to_resonance,min_d_separatrix,wall_s,omega_e_pred,rel_err_pred,H_drift_rel
15.00,0.3913,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.04882836e-03,5.23598776e-03,2.04882836e-03,2.04882836e-03,1.905054e-15,100.0000,1,162.9870,1.000000,4.889044e-03,NaN,1,NaN,17,SAM 2:1,0.070033,3.687028e-03,12.65,2.04882836e-03,2.116726e-14,0.000000e+00
45.00,0.3913,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.04882836e-03,5.23598776e-03,2.04882836e-03,2.04882836e-03,1.058363e-15,100.0000,1,80.9714,1.000000,5.522411e-03,NaN,1,NaN,17,SAM 2:1,0.070033,3.686822e-03,6.09,2.04882836e-03,4.233452e-14,0.000000e+00
75.00,0.3913,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.04882836e-03,5.23598776e-03,2.04882836e-03,2.04882836e-03,2.116726e-16,100.0000,1,87.0286,1.000000,4.622912e-03,NaN,1,NaN,17,SAM 2:1,0.070033,3.686828e-03,6.30,2.04882836e-03,5.376485e-14,0.000000e+00
105.00,0.3913,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.04882836e-03,5.23598776e-03,2.04882836e-03,2.04882836e-03,6.350179e-16,100.0000,1,63.5062,1.000000,4.554363e-03,NaN,1,NaN,17,SAM 2:1,0.070033,3.686834e-03,6.21,2.04882836e-03,5.334150e-14,0.000000e+00
135.00,0.3913,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.04882836e-03,5.23598776e-03,2.04882836e-03,2.04882836e-03,6.350179e-16,100.0000,1,128.7207,1.000000,6.140717e-03,NaN,1,NaN,17,SAM 2:1,0.070033,3.686826e-03,5.53,2.04882836e-03,4.191118e-14,0.000000e+00
165.00,0.3913,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.04882836e-03,5.23598776e-03,2.04882836e-03,2.04882836e-03,0.000000e+00,100.0000,1,25.9872,1.000000,5.615641e-03,NaN,1,NaN,17,SAM 2:1,0.070033,3.686816e-03,4.54,2.04882836e-03,2.264897e-14,0.000000e+00
15.00,0.4416,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.31241931e-03,5.23598776e-03,2.31241931e-03,2.31241931e-03,3.750884e-16,100.0000,1,38.3079,1.000000,3.939064e-03,NaN,1,NaN,17,SAM 2:1,0.070033,1.954847e-04,3.20,2.31241931e-03,1.725407e-14,0.000000e+00
45.00,0.4416,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.31241931e-03,5.23598776e-03,2.31241931e-03,2.31241931e-03,5.626327e-16,100.0000,1,44.8330,1.000000,4.698569e-03,NaN,1,NaN,17,SAM 2:1,0.070033,1.954846e-04,4.84,2.31241931e-03,3.469568e-14,0.000000e+00
75.00,0.4416,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.31241931e-03,5.23598776e-03,2.31241931e-03,2.31241931e-03,1.875442e-16,100.0000,1,66.0836,1.000000,3.466808e-03,NaN,1,NaN,17,SAM 2:1,0.070033,1.954849e-04,4.37,2.31241931e-03,4.576079e-14,0.000000e+00
105.00,0.4416,20.0,0.1000,1.0e-03,+1,5.23598776e-03,equilibrium,2.31241931e-03,5.23598776e-03,2.31241931e-03,2.31241931e-03,3.750884e-16,100.0000,1,68.8939,1.000000,3.462125e-03,NaN,1,NaN,17,SAM 2:1,0.070033,1.954848e-04,4.39,2.31241931e-03,4.557324e-14,0.000000e+00
