label,J,mu_over_J,t_yr,omega_e,beta_deg,alpha_deg,Id_over_Is,eps_beta
J = 0.1,0.1000,1.0e-03,0.000000,5.23598776e-03,75.0000,0.0000,0.391297,1.006167e-03
J = 0.1,0.1000,1.0e-03,0.006669,5.23224642e-03,68.9476,355.9622,0.391577,8.595959e-04
J = 0.1,0.1000,1.0e-03,0.013338,5.22849169e-03,63.9830,350.6003,0.391858,6.627686e-04
J = 0.1,0.1000,1.0e-03,0.020007,5.22472356e-03,60.4415,344.0830,0.392141,4.231396e-04
J = 0.1,0.1000,1.0e-03,0.026676,5.22094203e-03,58.5971,336.8257,0.392425,1.582038e-04
J = 0.1,0.1000,1.0e-03,0.033344,5.21714709e-03,58.5790,329.4846,0.392710,1.056923e-04
J = 0.1,0.1000,1.0e-03,0.040013,5.21333874e-03,60.3139,322.7905,0.392997,3.418165e-04
J = 0.1,0.1000,1.0e-03,0.046682,5.20951699e-03,63.5445,317.3240,0.393286,5.326881e-04
J = 0.1,0.1000,1.0e-03,0.053351,5.20568183e-03,67.9072,313.4014,0.393575,6.724597e-04
J = 0.1,0.1000,1.0e-03,0.060020,5.20183327e-03,73.0130,311.1108,0.393867,7.621770e-04
J = 0.1,0.1000,1.0e-03,0.066689,5.19797130e-03,78.4940,310.4118,0.394159,8.038715e-04
J = 0.1,0.1000,1.0e-03,0.073358,5.19409592e-03,84.0160,311.2168,0.394453,7.972301e-04
J = 0.1,0.1000,1.0e-03,0.080027,5.19020715e-03,89.2734,313.4305,0.394749,7.391610e-04
J = 0.1,0.1000,1.0e-03,0.086696,5.18630498e-03,93.9810,316.9519,0.395046,6.255036e-04
J = 0.1,0.1000,1.0e-03,0.093364,5.18238941e-03,97.8715,321.6549,0.395344,4.542424e-04
J = 0.1,0.1000,1.0e-03,0.100033,5.17846045e-03,100.7046,327.3580,0.395644,2.294624e-04
J = 0.1,0.1000,1.0e-03,0.106702,5.17451810e-03,102.2880,333.8022,0.395946,3.550572e-05
J = 0.1,0.1000,1.0e-03,0.113371,5.17056237e-03,102.5040,340.6555,0.396249,3.179942e-04
J = 0.1,0.1000,1.0e-03,0.120040,5.16659326e-03,101.3295,347.5519,0.396553,5.902742e-04
J = 0.1,0.1000,1.0e-03,0.126709,5.16261077e-03,98.8370,354.1502,0.396859,8.266383e-04
J = 0.1,0.1000,1.0e-03,0.133378,5.15861492e-03,95.1757,0.1824,0.397166,1.009498e-03
J = 0.1,0.1000,1.0e-03,0.140047,5.15460571e-03,90.5407,5.4684,0.397475,1.131717e-03
J = 0.1,0.1000,1.0e-03,0.146716,5.15058315e-03,85.1451,9.8994,0.397786,1.195347e-03
J = 0.1,0.1000,1.0e-03,0.153384,5.14654724e-03,79.2022,13.4045,0.398098,1.208630e-03
J = 0.1,0.1000,1.0e-03,0.160053,5.14249800e-03,72.9196,15.9159,0.398411,1.182916e-03
J = 0.1,0.1000,1.0e-03,0.166722,5.13843542e-03,66.5031,17.3389,0.398726,1.130121e-03
