label,J,mu_over_J,t_yr,omega_e,beta_deg,alpha_deg,Id_over_Is,eps_beta
J = 0.1,0.1000,1.0e-03,0.326688,5.03702567e-03,91.5237,28.1533,0.406754,1.092588e-03
J = 0.1,0.1000,1.0e-03,0.333356,5.03263580e-03,88.3650,33.1827,0.407108,9.890530e-04
J = 0.1,0.1000,1.0e-03,0.340023,5.02823304e-03,84.5317,37.4330,0.407465,8.692381e-04
J = 0.1,0.1000,1.0e-03,0.346690,5.02381742e-03,80.1798,40.8044,0.407823,7.511833e-04
J = 0.1,0.1000,1.0e-03,0.353357,5.01938896e-03,75.4751,43.2098,0.408183,6.501412e-04
J = 0.1,0.1000,1.0e-03,0.360024,5.01494769e-03,70.5927,44.5619,0.408544,5.774374e-04
J = 0.1,0.1000,1.0e-03,0.366691,5.01049363e-03,65.7208,44.7642,0.408907,5.400383e-04
J = 0.1,0.1000,1.0e-03,0.373358,5.00602681e-03,61.0674,43.7120,0.409272,5.403527e-04
J = 0.1,0.1000,1.0e-03,0.380025,5.00154727e-03,56.8664,41.3124,0.409639,5.758811e-04
J = 0.1,0.1000,1.0e-03,0.386692,4.99705502e-03,53.3775,37.5294,0.410007,6.386362e-04
J = 0.1,0.1000,1.0e-03,0.393360,4.99255010e-03,50.8707,32.4589,0.410377,7.149670e-04
J = 0.1,0.1000,1.0e-03,0.400027,4.98803253e-03,49.5887,26.4024,0.410749,7.873619e-04
J = 0.1,0.1000,1.0e-03,0.406694,4.98350236e-03,49.6888,19.8744,0.411122,8.395123e-04
J = 0.1,0.1000,1.0e-03,0.413361,4.97895960e-03,51.1969,13.4889,0.411497,8.627443e-04
J = 0.1,0.1000,1.0e-03,0.420028,4.97440430e-03,54.0029,7.7778,0.411874,8.588814e-04
J = 0.1,0.1000,1.0e-03,0.426695,4.96983647e-03,57.9029,3.0655,0.412253,8.373308e-04
J = 0.1,0.1000,1.0e-03,0.433362,4.96525616e-03,62.6574,359.4668,0.412633,8.096804e-04
J = 0.1,0.1000,1.0e-03,0.440029,4.96066340e-03,68.0330,356.9578,0.413015,7.857981e-04
J = 0.1,0.1000,1.0e-03,0.446696,4.95605823e-03,73.8217,355.4554,0.413399,7.723797e-04
J = 0.1,0.1000,1.0e-03,0.453364,4.95144067e-03,79.8426,354.8687,0.413784,7.729617e-04
J = 0.1,0.1000,1.0e-03,0.460031,4.94681077e-03,85.9361,355.1264,0.414172,7.883822e-04
J = 0.1,0.1000,1.0e-03,0.466698,4.94216855e-03,91.9551,356.1845,0.414561,8.171967e-04
J = 0.1,0.1000,1.0e-03,0.473365,4.93751407e-03,97.7564,358.0261,0.414951,8.559172e-04
J = 0.1,0.1000,1.0e-03,0.480032,4.93284734e-03,103.1937,0.6523,0.415344,8.991099e-04
J = 0.1,0.1000,1.0e-03,0.486699,4.92816842e-03,108.1132,4.0676,0.415738,9.394950e-04
J = 0.1,0.1000,1.0e-03,0.493366,4.92347735e-03,112.3539,8.2562,0.416134,9.683095e-04
J = 0.1,0.1000,1.0e-03,0.500033,4.91877415e-03,115.7544,13.1510,0.416532,9.763125e-04
J = 0.1,0.1000,1.0e-03,0.506700,4.91405887e-03,118.1696,18.6030,0.416932,9.557446e-04
J = 0.1,0.1000,1.0e-03,0.513368,4.90933156e-03,119.4940,24.3661,0.417333,9.030101e-04
J = 0.1,0.1000,1.0e-03,0.520035,4.90459224e-03,119.6862,30.1162,0.417737,8.209089e-04
J = 0.1,0.1000,1.0e-03,0.526702,4.89984098e-03,118.7832,35.5068,0.418142,7.188081e-04
J = 0.1,0.1000,1.0e-03,0.533369,4.89507780e-03,116.8949,40.2363,0.418549,6.102492e-04
J = 0.1,0.1000,1.0e-03,0.540036,4.89030275e-03,114.1832,44.0936,0.418957,5.093388e-04
J = 0.1,0.1000,1.0e-03,0.546703,4.88551587e-03,110.8359,46.9664,0.419368,4.278625e-04
J = 0.1,0.1000,1.0e-03,0.553370,4.88071722e-03,107.0441,48.8205,0.419780,3.739974e-04
J = 0.1,0.1000,1.0e-03,0.560037,4.87590683e-03,102.9904,49.6708,0.420194,3.522652e-04
J = 0.1,0.1000,1.0e-03,0.566704,4.87108475e-03,98.8431,49.5562,0.420610,3.639818e-04
J = 0.1,0.1000,1.0e-03,0.573372,4.86625103e-03,94.7571,48.5255,0.421028,4.076890e-04
J = 0.1,0.1000,1.0e-03,0.580039,4.86140572e-03,90.8754,46.6307,0.421448,4.793924e-04
J = 0.1,0.1000,1.0e-03,0.586706,4.85654886e-03,87.3313,43.9283,0.421869,5.726599e-04
J = 0.1,0.1000,1.0e-03,0.593373,4.85168050e-03,84.2479,40.4850,0.422293,6.787548e-04
J = 0.1,0.1000,1.0e-03,0.600040,4.84680069e-03,81.7365,36.3844,0.422718,7.870322e-04
J = 0.1,0.1000,1.0e-03,0.606707,4.84190948e-03,79.8920,31.7333,0.423145,8.858032e-04
J = 0.1,0.1000,1.0e-03,0.613374,4.83700692e-03,78.7866,26.6633,0.423574,9.637319e-04
J = 0.1,0.1000,1.0e-03,0.620041,4.83209307e-03,78.4638,21.3263,0.424004,1.011563e-03
J = 0.1,0.1000,1.0e-03,0.626708,4.82716797e-03,78.9347,15.8834,0.424437,1.023708e-03
