row_id,beta0_deg,Id0_over_Is,Pe_min,J,mu_over_J,sigma,omega_e0,fate,omega_e_final,omega_e_peak,omega_e_min,omega_e_tailmean,ripple,t_end_yr,reached_horizon,beta_final_deg,Id_final_over_Is,eps_beta_max,t_domain_exit_yr,in_domain,omega_e_tailmean_numeric,n_resonance_crossings,nearest_resonance,d_to_resonance,min_d_separatrix,wall_s,omega_e_pred,rel_err_pred,H_drift_rel
1686,165.00,0.8755,20.0,10.0000,1.0e-03,+1,5.23598776e-03,equilibrium,4.58411514e-03,5.23598776e-03,4.58411514e-03,4.58411514e-03,0.000000e+00,100.0000,1,146.6512,1.000000,1.214954e-03,NaN,1,NaN,2,SAM 2:1,0.070033,3.686106e-02,12.62,4.58411514e-03,3.784206e-16,0.000000e+00
1692,165.00,0.8911,20.0,10.0000,1.0e-03,+1,5.23598776e-03,equilibrium,4.66559922e-03,5.23598776e-03,4.66559922e-03,4.66559922e-03,0.000000e+00,100.0000,1,55.8930,1.000000,1.183285e-03,NaN,1,NaN,1,SAM 2:1,0.070033,5.529159e-02,12.62,4.66559922e-03,1.859058e-16,0.000000e+00
1722,165.00,0.9689,20.0,10.0000,1.0e-03,+1,5.23598776e-03,equilibrium,5.07301960e-03,5.23598776e-03,5.07301960e-03,5.07301960e-03,0.000000e+00,100.0000,1,115.8340,1.000000,1.032139e-03,NaN,1,NaN,0,SAM 2:1,0.070033,1.474442e-01,12.62,5.07301960e-03,3.419509e-16,0.000000e+00
