config,ic_id,band0,t_yr,omega_e,Id_over_Is,beta_deg
goes8_sa17,1,LAM,3.996639,4.11331327e-02,0.975918,146.8027
goes8_sa17,1,LAM,4.406236,5.15286836e-02,0.972634,162.1267
goes8_sa17,1,LAM,4.857812,4.35024153e-02,0.970786,157.8772
goes8_sa17,1,LAM,5.355667,4.41599624e-02,0.970940,158.9871
goes8_sa17,1,LAM,5.904545,4.53325816e-02,0.971871,156.5648
goes8_sa17,1,LAM,6.509675,4.71831065e-02,0.975260,151.0344
goes8_sa17,1,LAM,7.176822,3.37521233e-02,0.970982,146.5536
goes8_sa17,1,LAM,7.912343,4.43756106e-02,0.971894,155.4693
goes8_sa17,1,LAM,8.723243,3.25175567e-02,0.970149,146.4759
goes8_sa17,1,LAM,9.617249,3.51758087e-02,0.973494,145.3149
goes8_sa17,1,LAM,10.602877,3.64243577e-02,0.974039,145.7098
goes8_sa17,1,LAM,11.689518,3.22435532e-02,0.970843,145.3198
goes8_sa17,1,LAM,12.887524,4.28340393e-02,0.971311,155.3947
goes8_sa17,1,LAM,14.208308,3.45521969e-02,0.970701,147.7957
goes8_sa17,1,LAM,15.664454,3.25989004e-02,0.971576,144.9032
goes8_sa17,1,LAM,17.269833,3.67452065e-02,0.970427,150.8075
goes8_sa17,1,LAM,19.039740,4.01288579e-02,0.974053,148.1381
goes8_sa17,1,LAM,20.991037,4.35125161e-02,0.973869,150.6115
goes8_sa17,1,LAM,23.142314,3.45328756e-02,0.971730,146.4348
goes8_sa17,1,LAM,25.514065,4.57510397e-02,0.974857,150.7568
goes8_sa17,1,LAM,28.128887,3.48762918e-02,0.972042,146.4133
goes8_sa17,1,LAM,31.011689,4.22284559e-02,0.974100,149.4170
goes8_sa17,1,LAM,34.189937,3.42787240e-02,0.970904,147.2045
goes8_sa17,1,LAM,37.693910,3.22336688e-02,0.970725,145.4437
goes8_sa17,1,LAM,41.556988,4.13311482e-02,0.975166,147.6232
goes8_sa17,1,LAM,45.815977,3.77455831e-02,0.970082,152.5825
goes8_sa17,1,LAM,50.511449,4.59628740e-02,0.974802,150.9890
goes8_sa17,1,LAM,55.688140,3.22375263e-02,0.970868,145.2853
goes8_sa17,1,LAM,61.395366,4.53086022e-02,0.971667,157.9036
goes8_sa17,1,LAM,67.687500,3.22399044e-02,0.970885,145.2693
goes8_sa17,1,LAM,74.624487,3.45693028e-02,0.973131,145.1667
goes8_sa17,1,LAM,82.272413,3.68761431e-02,0.970428,150.9627
goes8_sa17,1,LAM,90.704142,3.23024704e-02,0.970499,145.7851
goes8_sa17,1,LAM,100.000000,4.29963461e-02,0.973994,150.0699
goes8_sa17,2,LAM,0.000000,8.86467479e-04,0.367820,103.8745
goes8_sa17,2,LAM,0.001000,8.53751220e-04,0.384113,103.0637
goes8_sa17,2,LAM,0.001102,8.50310008e-04,0.385931,102.6754
goes8_sa17,2,LAM,0.001215,8.46494890e-04,0.387970,102.7822
goes8_sa17,2,LAM,0.001340,8.42303605e-04,0.390242,103.3833
goes8_sa17,2,LAM,0.001477,8.37718241e-04,0.392767,103.8786
goes8_sa17,2,LAM,0.001629,8.32657257e-04,0.395599,103.5662
goes8_sa17,2,LAM,0.001796,8.26995448e-04,0.398822,102.7792
goes8_sa17,2,LAM,0.001980,8.20684250e-04,0.402484,102.8521
goes8_sa17,2,LAM,0.002183,8.13781624e-04,0.406584,103.8384
goes8_sa17,2,LAM,0.002406,8.06234034e-04,0.411184,103.8299
goes8_sa17,2,LAM,0.002653,7.97806093e-04,0.416456,103.1105
goes8_sa17,2,LAM,0.002925,7.88493526e-04,0.422460,103.8582
goes8_sa17,2,LAM,0.003225,7.78343563e-04,0.429239,103.9507
goes8_sa17,2,LAM,0.003555,7.67047205e-04,0.437061,103.4778
goes8_sa17,2,LAM,0.003919,7.54733633e-04,0.445963,104.6428
goes8_sa17,2,LAM,0.004321,7.41326869e-04,0.456128,104.3272
goes8_sa17,2,LAM,0.004764,7.26684770e-04,0.467822,105.1751
goes8_sa17,2,LAM,0.005252,7.10899160e-04,0.481204,105.2104
goes8_sa17,2,LAM,0.005790,6.93955717e-04,0.496552,106.4568
goes8_sa17,2,LAM,0.006384,6.76180340e-04,0.513945,107.4285
goes8_sa17,2,LAM,0.007038,6.57753782e-04,0.533605,108.8902
goes8_sa17,2,LAM,0.007759,6.39333956e-04,0.555383,111.3138
goes8_sa17,2,LAM,0.008555,6.22152580e-04,0.578503,115.5842
goes8_sa17,2,LAM,0.009431,6.08456475e-04,0.600760,121.5372
goes8_sa17,2,LAM,0.010398,6.02374176e-04,0.616636,133.3107
goes8_sa17,2,LAM,0.011464,6.09698858e-04,0.616094,150.5226
goes8_sa17,2,LAM,0.012638,6.30594704e-04,0.596363,165.6380
goes8_sa17,2,LAM,0.013934,6.58371157e-04,0.567489,173.7783
goes8_sa17,2,LAM,0.015362,6.88705818e-04,0.536489,177.4552
goes8_sa17,2,LAM,0.016936,7.20522023e-04,0.505240,178.9851
goes8_sa17,2,LAM,0.018672,7.53671105e-04,0.474267,179.5349
goes8_sa17,2,LAM,0.020585,7.88142870e-04,0.443935,179.6319
goes8_sa17,2,LAM,0.022695,8.23854446e-04,0.414691,179.8963
goes8_sa17,2,LAM,0.025021,8.60540099e-04,0.387106,179.7085
goes8_sa17,2,LAM,0.027585,8.97667688e-04,0.361847,179.6594
goes8_sa17,2,LAM,0.030412,9.34410422e-04,0.339588,179.5985
goes8_sa17,2,LAM,0.033529,9.69743649e-04,0.320878,179.5530
goes8_sa17,2,LAM,0.036966,1.00269719e-03,0.305989,179.3924
goes8_sa17,2,LAM,0.040754,1.03268133e-03,0.294831,179.2652
goes8_sa17,2,LAM,0.044931,1.05970265e-03,0.286977,179.1309
goes8_sa17,2,LAM,0.049535,1.08434288e-03,0.281785,179.0639
goes8_sa17,2,LAM,0.054612,1.10754086e-03,0.278561,178.8667
goes8_sa17,2,LAM,0.060209,1.13032996e-03,0.276678,178.7784
goes8_sa17,2,LAM,0.066379,1.15365327e-03,0.275643,178.5590
goes8_sa17,2,LAM,0.073182,1.17828659e-03,0.275108,178.7308
goes8_sa17,2,LAM,0.080683,1.20484003e-03,0.274849,178.6349
goes8_sa17,2,LAM,0.088951,1.23379854e-03,0.274731,178.4161
goes8_sa17,2,LAM,0.098068,1.26556733e-03,0.274681,178.5740
goes8_sa17,2,LAM,0.108118,1.30051702e-03,0.274661,179.0610
goes8_sa17,2,LAM,0.119199,1.33900404e-03,0.274653,176.3289
goes8_sa17,2,LAM,0.131415,1.38138497e-03,0.274651,175.5327
goes8_sa17,2,LAM,0.144883,1.42798327e-03,0.274650,173.6649
goes8_sa17,2,LAM,0.159731,1.47879345e-03,0.274650,166.6904
goes8_sa17,2,LAM,0.176101,1.53195238e-03,0.274650,156.5151
goes8_sa17,2,LAM,0.194149,1.57143332e-03,0.274650,141.3705
goes8_sa17,2,LAM,0.214047,1.51609569e-03,0.274650,115.9922
goes8_sa17,2,LAM,0.235983,1.28039375e-03,0.274651,95.8234
goes8_sa17,2,LAM,0.260168,9.37322444e-04,0.274796,89.1543
goes8_sa17,2,LAM,0.286832,3.10106663e-04,0.670186,83.6482
goes8_sa17,2,LAM,0.316228,7.79123513e-04,0.308698,178.1399
goes8_sa17,2,LAM,0.348637,9.34023342e-04,0.274925,177.5851
goes8_sa17,2,LAM,0.384367,1.05852698e-03,0.274652,177.9470
goes8_sa17,2,LAM,0.423759,1.19538310e-03,0.274650,178.5661
goes8_sa17,2,LAM,0.467188,1.34631305e-03,0.274650,178.4876
goes8_sa17,2,LAM,0.515068,1.51228761e-03,0.274650,172.4624
goes8_sa17,2,LAM,0.567855,1.63432809e-03,0.274650,130.6314
goes8_sa17,2,LAM,0.626052,1.00957268e-03,0.274650,90.0259
goes8_sa17,2,LAM,0.690213,4.55714060e-04,0.331557,178.5632
goes8_sa17,2,LAM,0.760950,7.42729104e-04,0.274650,177.1740
goes8_sa17,2,LAM,0.838936,1.00288990e-03,0.274650,147.5965
goes8_sa17,2,LAM,0.924915,2.51292880e-03,0.962003,106.7615
goes8_sa17,2,LAM,1.019705,1.85246938e-02,0.968329,128.4584
goes8_sa17,2,LAM,1.124210,2.19496347e-02,0.966757,136.5779
goes8_sa17,2,LAM,1.239425,3.41152965e-02,0.968025,152.8318
goes8_sa17,2,LAM,1.366448,5.18108177e-02,0.972672,159.1898
goes8_sa17,2,LAM,1.506489,2.73086423e-02,0.974170,140.0259
goes8_sa17,2,LAM,1.660883,2.94209700e-02,0.967705,146.5876
goes8_sa17,2,LAM,1.831099,5.41533458e-02,0.972394,164.5650
goes8_sa17,2,LAM,2.018760,2.92493547e-02,0.971136,142.4304
goes8_sa17,2,LAM,2.225654,3.91975848e-02,0.969689,155.9590
goes8_sa17,2,LAM,2.453751,4.88217171e-02,0.978436,147.8338
goes8_sa17,2,LAM,2.705225,3.29987254e-02,0.968875,149.2352
goes8_sa17,2,LAM,2.982471,3.94403693e-02,0.975729,146.2079
goes8_sa17,2,LAM,3.288131,4.17512171e-02,0.970387,157.5114
goes8_sa17,2,LAM,3.625117,3.06168459e-02,0.971285,143.2582
goes8_sa17,2,LAM,3.996639,4.16095534e-02,0.975216,147.7089
goes8_sa17,2,LAM,4.406236,4.98399439e-02,0.972461,160.6965
goes8_sa17,2,LAM,4.857812,4.27455784e-02,0.970781,156.9018
goes8_sa17,2,LAM,5.355667,4.36673285e-02,0.970967,158.1918
goes8_sa17,2,LAM,5.904545,4.48754372e-02,0.971836,156.1705
goes8_sa17,2,LAM,6.509675,4.68699584e-02,0.975116,151.0709
goes8_sa17,2,LAM,7.176822,3.38803878e-02,0.971012,146.6464
goes8_sa17,2,LAM,7.912343,4.42939532e-02,0.971905,155.3534
goes8_sa17,2,LAM,8.723243,3.25615790e-02,0.970156,146.5148
goes8_sa17,2,LAM,9.617249,3.51591512e-02,0.973477,145.3157
goes8_sa17,2,LAM,10.602877,3.64067670e-02,0.974030,145.7050
goes8_sa17,2,LAM,11.689518,3.22408499e-02,0.970840,145.3202
goes8_sa17,2,LAM,12.887524,4.28380684e-02,0.971312,155.3979
goes8_sa17,2,LAM,14.208308,3.45511616e-02,0.970701,147.7951
goes8_sa17,2,LAM,15.664454,3.25985165e-02,0.971576,144.9028
goes8_sa17,2,LAM,17.269833,3.67450430e-02,0.970427,150.8073
goes8_sa17,2,LAM,19.039740,4.01289244e-02,0.974053,148.1382
goes8_sa17,2,LAM,20.991037,4.35125082e-02,0.973869,150.6115
goes8_sa17,2,LAM,23.142314,3.45328781e-02,0.971730,146.4348
goes8_sa17,2,LAM,25.514065,4.57510387e-02,0.974857,150.7568
goes8_sa17,2,LAM,28.128887,3.48762916e-02,0.972042,146.4133
goes8_sa17,2,LAM,31.011689,4.22284559e-02,0.974100,149.4170
goes8_sa17,2,LAM,34.189937,3.42787240e-02,0.970904,147.2045
goes8_sa17,2,LAM,37.693910,3.22336689e-02,0.970725,145.4437
goes8_sa17,2,LAM,41.556988,4.13311482e-02,0.975166,147.6232
goes8_sa17,2,LAM,45.815977,3.77455831e-02,0.970082,152.5825
goes8_sa17,2,LAM,50.511449,4.59628740e-02,0.974802,150.9890
goes8_sa17,2,LAM,55.688140,3.22375263e-02,0.970868,145.2853
goes8_sa17,2,LAM,61.395366,4.53086022e-02,0.971667,157.9036
goes8_sa17,2,LAM,67.687500,3.22399044e-02,0.970885,145.2693
goes8_sa17,2,LAM,74.624487,3.45693028e-02,0.973131,145.1667
goes8_sa17,2,LAM,82.272413,3.68761431e-02,0.970428,150.9627
goes8_sa17,2,LAM,90.704142,3.23024704e-02,0.970499,145.7851
goes8_sa17,2,LAM,100.000000,4.29963461e-02,0.973994,150.0699
goes8_sa17,3,SAM,0.000000,1.20056181e-03,0.981020,30.2245
goes8_sa17,3,SAM,0.001000,1.73684097e-03,0.995091,46.4279
goes8_sa17,3,SAM,0.001102,1.79904510e-03,0.995439,47.9391
goes8_sa17,3,SAM,0.001215,1.86672850e-03,0.995749,49.4828
goes8_sa17,3,SAM,0.001340,1.94014568e-03,0.996022,51.0397
goes8_sa17,3,SAM,0.001477,2.01958428e-03,0.996261,52.5895
goes8_sa17,3,SAM,0.001629,2.10537953e-03,0.996469,54.1126
goes8_sa17,3,SAM,0.001796,2.19792803e-03,0.996651,55.5907
goes8_sa17,3,SAM,0.001980,2.29770048e-03,0.996809,57.0072
goes8_sa17,3,SAM,0.002183,2.40525339e-03,0.996947,58.3481
goes8_sa17,3,SAM,0.002406,2.52123997e-03,0.997069,59.6020
goes8_sa17,3,SAM,0.002653,2.64642090e-03,0.997178,60.7600
goes8_sa17,3,SAM,0.002925,2.78167549e-03,0.997276,61.8158
goes8_sa17,3,SAM,0.003225,2.92801391e-03,0.997366,62.7652
goes8_sa17,3,SAM,0.003555,3.08659104e-03,0.997450,63.6057
goes8_sa17,3,SAM,0.003919,3.25872218e-03,0.997531,64.3365
goes8_sa17,3,SAM,0.004321,3.44590112e-03,0.997608,64.9582
goes8_sa17,3,SAM,0.004764,3.64982060e-03,0.997685,65.4723
goes8_sa17,3,SAM,0.005252,3.87239529e-03,0.997761,65.8811
goes8_sa17,3,SAM,0.005790,4.11578730e-03,0.997837,66.1878
goes8_sa17,3,SAM,0.006384,4.38243436e-03,0.997915,66.3964
goes8_sa17,3,SAM,0.007038,4.67508039e-03,0.997995,66.5114
goes8_sa17,3,SAM,0.007759,4.99680875e-03,0.998076,66.5381
goes8_sa17,3,SAM,0.008555,5.35107815e-03,0.998160,66.4821
goes8_sa17,3,SAM,0.009431,5.74176130e-03,0.998247,66.3500
goes8_sa17,3,SAM,0.010398,6.17318684e-03,0.998336,66.1484
goes8_sa17,3,SAM,0.011464,6.65018475e-03,0.998429,65.8846
goes8_sa17,3,SAM,0.012638,7.17813612e-03,0.998523,65.5661
goes8_sa17,3,SAM,0.013934,7.76302789e-03,0.998621,65.2005
goes8_sa17,3,SAM,0.015362,8.41151348e-03,0.998720,64.7953
goes8_sa17,3,SAM,0.016936,9.13098030e-03,0.998821,64.3580
goes8_sa17,3,SAM,0.018672,9.92962498e-03,0.998924,63.8957
goes8_sa17,3,SAM,0.020585,1.08165370e-02,0.999027,63.4153
goes8_sa17,3,SAM,0.022695,1.18017915e-02,0.999129,62.9231
goes8_sa17,3,SAM,0.025021,1.28965508e-02,0.999229,62.4252
goes8_sa17,3,SAM,0.027585,1.41131744e-02,0.999327,61.9272
goes8_sa17,3,SAM,0.030412,1.54653368e-02,0.999420,61.4342
goes8_sa17,3,SAM,0.033529,1.69681489e-02,0.999508,60.9513
goes8_sa17,3,SAM,0.036966,1.86382814e-02,0.999590,60.4833
goes8_sa17,3,SAM,0.040754,2.04940827e-02,0.999665,60.0351
goes8_sa17,3,SAM,0.044931,2.25556843e-02,0.999731,59.6120
goes8_sa17,3,SAM,0.049535,2.48450807e-02,0.999789,59.2198
goes8_sa17,3,SAM,0.054612,2.73861685e-02,0.999838,58.8656
goes8_sa17,3,SAM,0.060209,3.02047231e-02,0.999879,58.5575
goes8_sa17,3,SAM,0.066379,3.33282808e-02,0.999912,58.3059
goes8_sa17,3,SAM,0.073182,3.67858922e-02,0.999938,58.1237
goes8_sa17,3,SAM,0.080683,4.06076981e-02,0.999957,58.0266
goes8_sa17,3,SAM,0.088951,4.48242790e-02,0.999972,58.0341
goes8_sa17,3,SAM,0.098068,4.94657298e-02,0.999982,58.1694
goes8_sa17,3,SAM,0.108118,5.45604298e-02,0.999989,58.4595
goes8_sa17,3,SAM,0.119199,6.01335161e-02,0.999993,58.9347
goes8_sa17,3,SAM,0.131415,6.62051357e-02,0.999996,59.6271
goes8_sa17,3,SAM,0.144883,7.27886298e-02,0.999998,60.5695
goes8_sa17,3,SAM,0.159731,7.98888757e-02,0.999999,61.7927
goes8_sa17,3,SAM,0.176101,8.75010090e-02,0.999999,63.3241
goes8_sa17,3,SAM,0.194149,9.56095986e-02,1.000000,65.1863
goes8_sa17,3,SAM,0.214047,1.04187984e-01,1.000000,67.3989
goes8_sa17,3,SAM,0.235983,1.13196853e-01,1.000000,69.9825
goes8_sa17,3,SAM,0.260168,1.22580195e-01,1.000000,72.9670
goes8_sa17,3,SAM,0.286832,1.32255137e-01,1.000000,76.4051
goes8_sa17,3,SAM,0.316228,1.42088778e-01,1.000000,80.3956
goes8_sa17,3,SAM,0.348637,1.51846111e-01,1.000000,85.1249
goes8_sa17,3,SAM,0.384367,1.61065748e-01,1.000000,90.9566
goes8_sa17,3,SAM,0.423759,1.68723944e-01,1.000000,98.6513
goes8_sa17,3,SAM,0.467188,1.72149220e-01,1.000000,109.9854
goes8_sa17,3,SAM,0.515068,1.62925169e-01,1.000000,129.3896
goes8_sa17,3,SAM,0.567855,1.18439194e-01,1.000000,161.8258
goes8_sa17,3,SAM,0.626052,3.86811033e-02,1.000000,174.2943
goes8_sa17,3,SAM,0.690213,9.36086587e-04,0.285760,177.7604
goes8_sa17,3,SAM,0.760950,1.19863374e-03,0.274652,177.3339
goes8_sa17,3,SAM,0.838936,1.46939162e-03,0.274650,177.6783
goes8_sa17,3,SAM,0.924915,1.76806939e-03,0.274650,178.2360
goes8_sa17,3,SAM,1.019705,2.09590955e-03,0.274650,168.7695
goes8_sa17,3,SAM,1.124210,1.80798308e-03,0.274650,96.1389
goes8_sa17,3,SAM,1.239425,3.85027269e-04,0.545292,179.9429
goes8_sa17,3,SAM,1.366448,9.95276824e-04,0.274650,176.7499
goes8_sa17,3,SAM,1.506489,3.03184062e-04,0.276909,89.9420
goes8_sa17,3,SAM,1.660883,1.51943485e-04,0.448692,179.6081
goes8_sa17,3,SAM,1.831099,1.48423712e-02,0.966568,125.5082
goes8_sa17,3,SAM,2.018760,3.71427235e-02,0.968184,157.3770
goes8_sa17,3,SAM,2.225654,4.09407897e-02,0.980495,142.2625
goes8_sa17,3,SAM,2.453751,3.23924869e-02,0.968494,149.1287
goes8_sa17,3,SAM,2.705225,4.59403076e-02,0.977987,146.4195
goes8_sa17,3,SAM,2.982471,3.78012405e-02,0.969870,153.0697
goes8_sa17,3,SAM,3.288131,3.78198875e-02,0.973319,147.6730
goes8_sa17,3,SAM,3.625117,4.12295182e-02,0.972215,151.6537
goes8_sa17,3,SAM,3.996639,3.83419840e-02,0.971503,150.1969
goes8_sa17,3,SAM,4.406236,4.13998405e-02,0.972414,151.7699
goes8_sa17,3,SAM,4.857812,4.03569482e-02,0.971644,151.9822
goes8_sa17,3,SAM,5.355667,4.32664113e-02,0.971756,155.2840
goes8_sa17,3,SAM,5.904545,4.32131612e-02,0.972239,153.4402
goes8_sa17,3,SAM,6.509675,4.43040523e-02,0.974787,149.9526
goes8_sa17,3,SAM,7.176822,3.43332607e-02,0.970935,147.2042
goes8_sa17,3,SAM,7.912343,4.43981874e-02,0.972112,154.9102
goes8_sa17,3,SAM,8.723243,3.26624032e-02,0.970093,146.7125
goes8_sa17,3,SAM,9.617249,3.49280545e-02,0.973397,145.2179
goes8_sa17,3,SAM,10.602877,3.62888370e-02,0.974022,145.6391
goes8_sa17,3,SAM,11.689518,3.21966062e-02,0.970824,145.2939
goes8_sa17,3,SAM,12.887524,4.28540972e-02,0.971308,155.4250
goes8_sa17,3,SAM,14.208308,3.45440151e-02,0.970700,147.7886
goes8_sa17,3,SAM,15.664454,3.25989538e-02,0.971577,144.9020
goes8_sa17,3,SAM,17.269833,3.67444473e-02,0.970427,150.8064
goes8_sa17,3,SAM,19.039740,4.01290451e-02,0.974052,148.1384
goes8_sa17,3,SAM,20.991037,4.35123742e-02,0.973869,150.6114
goes8_sa17,3,SAM,23.142314,3.45328754e-02,0.971730,146.4348
goes8_sa17,3,SAM,25.514065,4.57510395e-02,0.974857,150.7568
goes8_sa17,3,SAM,28.128887,3.48762910e-02,0.972042,146.4133
goes8_sa17,3,SAM,31.011689,4.22284561e-02,0.974100,149.4170
goes8_sa17,3,SAM,34.189937,3.42787240e-02,0.970904,147.2045
goes8_sa17,3,SAM,37.693910,3.22336689e-02,0.970725,145.4437
goes8_sa17,3,SAM,41.556988,4.13311482e-02,0.975166,147.6232
goes8_sa17,3,SAM,45.815977,3.77455831e-02,0.970082,152.5825
goes8_sa17,3,SAM,50.511449,4.59628740e-02,0.974802,150.9890
goes8_sa17,3,SAM,55.688140,3.22375263e-02,0.970868,145.2853
goes8_sa17,3,SAM,61.395366,4.53086022e-02,0.971667,157.9036
goes8_sa17,3,SAM,67.687500,3.22399044e-02,0.970885,145.2693
goes8_sa17,3,SAM,74.624487,3.45693028e-02,0.973131,145.1667
goes8_sa17,3,SAM,82.272413,3.68761431e-02,0.970428,150.9627
goes8_sa17,3,SAM,90.704142,3.23024704e-02,0.970499,145.7851
goes8_sa17,3,SAM,100.000000,4.29963461e-02,0.973994,150.0699
goes8_sa17,4,SAM,0.000000,1.71067940e-03,0.974122,60.9249
goes8_sa17,4,SAM,0.001000,2.07923635e-03,0.981572,77.8838
goes8_sa17,4,SAM,0.001102,2.11192280e-03,0.982020,79.4935
goes8_sa17,4,SAM,0.001215,2.14574148e-03,0.982482,81.2168
goes8_sa17,4,SAM,0.001340,2.18020777e-03,0.982962,83.0526
goes8_sa17,4,SAM,0.001477,2.21469080e-03,0.983462,84.9976
