config,ic_id,band0,t_yr,omega_e,Id_over_Is,beta_deg
goes8_sa17,1,LAM,0.000000,7.89395007e-04,0.408497,38.2810
goes8_sa17,1,LAM,0.001000,7.67021416e-04,0.413121,44.6329
goes8_sa17,1,LAM,0.001102,7.64424470e-04,0.413857,45.1524
goes8_sa17,1,LAM,0.001215,7.61492713e-04,0.414729,46.0367
goes8_sa17,1,LAM,0.001340,7.58148466e-04,0.415795,47.2975
goes8_sa17,1,LAM,0.001477,7.54313256e-04,0.417111,48.6220
goes8_sa17,1,LAM,0.001629,7.49938206e-04,0.418704,49.5683
goes8_sa17,1,LAM,0.001796,7.44998825e-04,0.420574,50.1722
goes8_sa17,1,LAM,0.001980,7.39420799e-04,0.422771,51.2130
goes8_sa17,1,LAM,0.002183,7.33029056e-04,0.425452,53.0342
goes8_sa17,1,LAM,0.002406,7.25679706e-04,0.428746,54.4736
goes8_sa17,1,LAM,0.002653,7.17351138e-04,0.432652,55.2970
goes8_sa17,1,LAM,0.002925,7.07872102e-04,0.437341,57.3514
goes8_sa17,1,LAM,0.003225,6.96960495e-04,0.443153,59.3594
goes8_sa17,1,LAM,0.003555,6.84584588e-04,0.450121,60.5694
goes8_sa17,1,LAM,0.003919,6.70509219e-04,0.458596,62.9725
goes8_sa17,1,LAM,0.004321,6.54566771e-04,0.468878,64.2841
goes8_sa17,1,LAM,0.004764,6.36593468e-04,0.481352,66.8361
goes8_sa17,1,LAM,0.005252,6.16410621e-04,0.496559,68.4673
goes8_sa17,1,LAM,0.005790,5.93934503e-04,0.514985,70.4437
goes8_sa17,1,LAM,0.006384,5.69093113e-04,0.537310,72.2369
goes8_sa17,1,LAM,0.007038,5.41902413e-04,0.564367,74.2764
goes8_sa17,1,LAM,0.007759,5.12453847e-04,0.597023,75.1417
goes8_sa17,1,LAM,0.008555,4.80970224e-04,0.636225,77.0169
goes8_sa17,1,LAM,0.009431,4.47626198e-04,0.682855,78.5923
goes8_sa17,1,LAM,0.010398,4.12964205e-04,0.737670,77.2430
goes8_sa17,1,LAM,0.011464,3.77008977e-04,0.800467,79.9175
goes8_sa17,1,LAM,0.012638,3.36276982e-04,0.870345,76.5665
goes8_sa17,1,LAM,0.013934,2.82353659e-04,0.941236,74.3824
goes8_sa17,1,LAM,0.015362,3.06795429e-04,0.949885,132.7311
goes8_sa17,1,LAM,0.016936,4.42499194e-04,0.880586,163.4886
goes8_sa17,1,LAM,0.018672,5.23320682e-04,0.798584,176.9756
goes8_sa17,1,LAM,0.020585,5.90865392e-04,0.727082,179.3398
goes8_sa17,1,LAM,0.022695,6.52620762e-04,0.663934,179.9244
goes8_sa17,1,LAM,0.025021,7.11538887e-04,0.606404,179.9513
goes8_sa17,1,LAM,0.027585,7.69189751e-04,0.553015,179.9078
goes8_sa17,1,LAM,0.030412,8.26576889e-04,0.503108,179.8634
goes8_sa17,1,LAM,0.033529,8.84317209e-04,0.456646,179.8081
goes8_sa17,1,LAM,0.036966,9.42538935e-04,0.414146,179.7301
goes8_sa17,1,LAM,0.040754,1.00062672e-03,0.376553,179.6259
goes8_sa17,1,LAM,0.044931,1.05704011e-03,0.344958,179.4915
goes8_sa17,1,LAM,0.049535,1.10959261e-03,0.320148,179.3279
goes8_sa17,1,LAM,0.054612,1.15637766e-03,0.302166,179.1439
goes8_sa17,1,LAM,0.060209,1.19680698e-03,0.290196,178.9546
goes8_sa17,1,LAM,0.066379,1.23188430e-03,0.282868,178.7737
goes8_sa17,1,LAM,0.073182,1.26358728e-03,0.278722,178.6070
goes8_sa17,1,LAM,0.080683,1.29403110e-03,0.276543,178.4526
goes8_sa17,1,LAM,0.088951,1.32496802e-03,0.275475,178.3058
goes8_sa17,1,LAM,0.098068,1.35767394e-03,0.274987,178.1612
goes8_sa17,1,LAM,0.108118,1.39303972e-03,0.274779,178.0183
goes8_sa17,1,LAM,0.119199,1.43171124e-03,0.274696,177.8738
goes8_sa17,1,LAM,0.131415,1.47420751e-03,0.274665,177.7342
goes8_sa17,1,LAM,0.144883,1.52100051e-03,0.274655,177.5969
goes8_sa17,1,LAM,0.159731,1.57256312e-03,0.274651,177.4606
goes8_sa17,1,LAM,0.176101,1.62939630e-03,0.274650,177.3492
goes8_sa17,1,LAM,0.194149,1.69204449e-03,0.274650,177.2177
goes8_sa17,1,LAM,0.214047,1.76110540e-03,0.274650,177.1516
goes8_sa17,1,LAM,0.235983,1.83723826e-03,0.274650,177.0049
goes8_sa17,1,LAM,0.260168,1.92116976e-03,0.274650,177.2098
goes8_sa17,1,LAM,0.286832,2.01370214e-03,0.274650,176.9190
goes8_sa17,1,LAM,0.316228,2.11571381e-03,0.274650,178.3202
goes8_sa17,1,LAM,0.348637,2.22808011e-03,0.274650,178.7101
goes8_sa17,1,LAM,0.384367,2.35105654e-03,0.274650,168.7019
goes8_sa17,1,LAM,0.423759,2.47587174e-03,0.274650,154.9134
goes8_sa17,1,LAM,0.467188,2.47004914e-03,0.274650,120.6552
goes8_sa17,1,LAM,0.515068,1.97935802e-03,0.274650,94.1376
goes8_sa17,1,LAM,0.567855,1.21802107e-03,0.274650,90.1075
goes8_sa17,1,LAM,0.626052,3.89222721e-04,0.802492,175.1488
goes8_sa17,1,LAM,0.690213,1.03643579e-03,0.274827,177.4665
goes8_sa17,1,LAM,0.760950,1.28229885e-03,0.274650,177.3548
goes8_sa17,1,LAM,0.838936,1.55300737e-03,0.274650,177.2070
goes8_sa17,1,LAM,0.924915,1.79303601e-03,0.274650,130.6837
goes8_sa17,1,LAM,1.019705,6.76005804e-04,0.274657,89.5968
goes8_sa17,1,LAM,1.124210,7.00842440e-04,0.274650,177.8076
goes8_sa17,1,LAM,1.239425,5.56777409e-04,0.274650,90.0228
goes8_sa17,1,LAM,1.366448,5.86081908e-04,0.274650,128.2868
goes8_sa17,1,LAM,1.506489,5.62303541e-05,0.513879,86.0441
goes8_sa17,1,LAM,1.660883,1.11821919e-02,0.964417,120.6810
goes8_sa17,1,LAM,1.831099,3.74854191e-02,0.967608,160.2148
goes8_sa17,1,LAM,2.018760,2.75614558e-02,0.977639,139.5594
goes8_sa17,1,LAM,2.225654,3.36167438e-02,0.968363,151.1912
goes8_sa17,1,LAM,2.453751,5.11043814e-02,0.979267,146.1009
goes8_sa17,1,LAM,2.705225,3.14414314e-02,0.968068,148.7925
goes8_sa17,1,LAM,2.982471,3.86219166e-02,0.977572,144.6793
goes8_sa17,1,LAM,3.288131,4.25585211e-02,0.970127,159.7301
goes8_sa17,1,LAM,3.625117,2.90938044e-02,0.970693,142.1818
