Id_over_Is,beta_deg,Mz_num,Mz_ana,Mperp_num,Mperp_ana,Mx_num,Mx_ana,My_num,My_ana,Iddot_num,Iddot_ana,dev_Mz,dev_Mperp,dev_Iddot,sign_flip_Mz
0.281517,1.0000,4.27182735e-07,8.57549737e-07,1.01077759e-06,1.10551399e-06,5.29024463e-08,5.54194699e-08,-1.00939223e-06,-1.10412402e-06,-3.36847601e-05,-3.99345909e-05,2.90380153e-03,4.31770373e-04,5.30124841e-03,0
0.281517,4.7872,4.26174839e-07,8.46458717e-07,4.94062994e-06,5.35887280e-06,2.51880599e-07,2.63909302e-07,-4.93420514e-06,-5.35237046e-06,-3.34192886e-05,-3.93378702e-05,2.83576798e-03,1.90618269e-03,5.02027531e-03,0
0.281517,8.5745,4.26547115e-07,8.21128163e-07,9.28761310e-06,9.87048802e-06,4.45300711e-07,4.66950719e-07,-9.27693184e-06,-9.85943663e-06,-3.28175571e-05,-3.79731834e-05,2.66234410e-03,2.65650936e-03,4.37311925e-03,0
0.281517,12.3617,4.41012709e-07,7.82206102e-07,1.44989171e-05,1.48331923e-05,6.27680433e-07,6.60373084e-07,-1.44853241e-05,-1.48184851e-05,-3.19374811e-05,-3.58711233e-05,2.30212328e-03,1.52349205e-03,3.33660465e-03,0
0.281517,16.1489,4.62191190e-07,7.30683922e-07,2.10514456e-05,2.04207041e-05,7.96376456e-07,8.40239178e-07,-2.10363767e-05,-2.04034103e-05,-3.06745746e-05,-3.30786557e-05,1.81159243e-03,2.87466587e-03,2.03919622e-03,0
0.281517,19.9362,4.71012935e-07,6.67865495e-07,2.90607890e-05,2.67800838e-05,9.49964979e-07,1.00293939e-06,-2.90452582e-05,-2.67612967e-05,-2.89375932e-05,-2.96578667e-05,1.32821699e-03,1.03945369e-02,6.10952378e-04,0
0.281517,23.7234,4.64238158e-07,5.95326742e-07,3.84281776e-05,3.40251657e-05,1.08599540e-06,1.14527657e-06,-3.84128292e-05,-3.40058854e-05,-2.67448957e-05,-2.56843162e-05,8.84489816e-04,2.00671569e-02,8.99607624e-04,0
0.281517,27.5106,4.41886709e-07,5.14867043e-07,4.89976482e-05,4.22312317e-05,1.20218016e-06,1.26453917e-06,-4.89828979e-05,-4.22122952e-05,-2.41400710e-05,-2.12450469e-05,4.92417880e-04,3.08386044e-02,2.45562523e-03,0
0.281517,31.2979,4.05217895e-07,4.28454178e-07,6.05829223e-05,5.14311394e-05,1.29652664e-06,1.35856079e-06,-6.05690473e-05,-5.14131929e-05,-2.11801269e-05,-1.64363115e-05,1.56781431e-04,4.17101446e-02,4.02381191e-03,0
0.281517,35.0851,3.56105804e-07,3.38164701e-07,7.29766986e-05,6.16130561e-05,1.36741353e-06,1.42576444e-06,-7.29638864e-05,-6.15965574e-05,-1.79247913e-05,-1.13610864e-05,1.21053432e-04,5.17909107e-02,5.56748356e-03,0
