config,ic_id,band0,t_yr,omega_e,Id_over_Is,beta_deg
telstar401,1,LAM,0.000000,7.89395007e-04,0.439076,38.2810
telstar401,1,LAM,0.001000,7.89338563e-04,0.439107,36.9801
telstar401,1,LAM,0.001102,7.89332778e-04,0.439111,36.8469
telstar401,1,LAM,0.001215,7.89326400e-04,0.439114,36.7000
telstar401,1,LAM,0.001340,7.89319368e-04,0.439118,36.5381
telstar401,1,LAM,0.001477,7.89311615e-04,0.439122,36.3595
telstar401,1,LAM,0.001629,7.89303068e-04,0.439127,36.1628
telstar401,1,LAM,0.001796,7.89293645e-04,0.439132,35.9459
telstar401,1,LAM,0.001980,7.89283255e-04,0.439138,35.7068
telstar401,1,LAM,0.002183,7.89271801e-04,0.439145,35.4432
telstar401,1,LAM,0.002406,7.89259173e-04,0.439152,35.1527
telstar401,1,LAM,0.002653,7.89245249e-04,0.439159,34.8325
telstar401,1,LAM,0.002925,7.89229899e-04,0.439168,34.4796
telstar401,1,LAM,0.003225,7.89212974e-04,0.439177,34.0906
telstar401,1,LAM,0.003555,7.89194315e-04,0.439188,33.6619
telstar401,1,LAM,0.003919,7.89173742e-04,0.439199,33.1895
telstar401,1,LAM,0.004321,7.89151060e-04,0.439212,32.6688
telstar401,1,LAM,0.004764,7.89126052e-04,0.439226,32.0951
telstar401,1,LAM,0.005252,7.89098479e-04,0.439241,31.4630
telstar401,1,LAM,0.005790,7.89068079e-04,0.439258,30.7665
telstar401,1,LAM,0.006384,7.89034562e-04,0.439277,29.9993
telstar401,1,LAM,0.007038,7.88997606e-04,0.439297,29.1541
telstar401,1,LAM,0.007759,7.88956860e-04,0.439320,28.2233
telstar401,1,LAM,0.008555,7.88911934e-04,0.439345,27.1984
telstar401,1,LAM,0.009431,7.88862399e-04,0.439372,26.0701
telstar401,1,LAM,0.010398,7.88807782e-04,0.439403,24.8284
telstar401,1,LAM,0.011464,7.88747560e-04,0.439436,23.4624
telstar401,1,LAM,0.012638,7.88681157e-04,0.439473,21.9608
telstar401,1,LAM,0.013934,7.88607939e-04,0.439514,20.3114
telstar401,1,LAM,0.015362,7.88527204e-04,0.439559,18.5020
telstar401,1,LAM,0.016936,7.88438180e-04,0.439609,16.5213
telstar401,1,LAM,0.018672,7.88340014e-04,0.439664,14.3611
telstar401,1,LAM,0.020585,7.88231764e-04,0.439724,12.0222
telstar401,1,LAM,0.022695,7.88112393e-04,0.439791,9.5313
telstar401,1,LAM,0.025021,7.87980754e-04,0.439864,7.0020
telstar401,1,LAM,0.027585,7.87835583e-04,0.439945,4.8936
telstar401,1,LAM,0.030412,7.87675486e-04,0.440034,4.6606
telstar401,1,LAM,0.033529,7.87498921e-04,0.440133,7.0702
telstar401,1,LAM,0.036966,7.87304187e-04,0.440242,10.8736
telstar401,1,LAM,0.040754,7.87089409e-04,0.440362,15.4331
telstar401,1,LAM,0.044931,7.86852511e-04,0.440495,20.5969
telstar401,1,LAM,0.049535,7.86591205e-04,0.440641,26.3439
telstar401,1,LAM,0.054612,7.86302962e-04,0.440803,32.6940
telstar401,1,LAM,0.060209,7.85984987e-04,0.440981,39.6838
telstar401,1,LAM,0.066379,7.85634193e-04,0.441178,47.3576
telstar401,1,LAM,0.073182,7.85247167e-04,0.441395,55.7634
telstar401,1,LAM,0.080683,7.84820137e-04,0.441635,64.9492
telstar401,1,LAM,0.088951,7.84348931e-04,0.441901,74.9586
telstar401,1,LAM,0.098068,7.83828936e-04,0.442194,85.8229
telstar401,1,LAM,0.108118,7.83255046e-04,0.442518,97.5448
telstar401,1,LAM,0.119199,7.82621611e-04,0.442876,110.0627
telstar401,1,LAM,0.131415,7.81922379e-04,0.443272,123.1570
telstar401,1,LAM,0.144883,7.81150421e-04,0.443710,136.1679
telstar401,1,LAM,0.159731,7.80298064e-04,0.444195,147.0671
telstar401,1,LAM,0.176101,7.79356805e-04,0.444731,150.5537
telstar401,1,LAM,0.194149,7.78317215e-04,0.445325,142.0327
telstar401,1,LAM,0.214047,7.77168837e-04,0.445983,125.1068
