config,ic_id,alpha0_deg,beta0_deg,Pe_min,Id0_over_Is,band0,band_frac0,omega_e0,fate,omega_e_final,omega_e_tailmean,ripple,t_end_yr,reached_horizon,beta_final_deg,Id_final_over_Is,regime_final,n_sep_crossings,eps_beta_max,in_domain,wall_s,error
telstar401,1,52.681,38.281,132.658,0.439076,LAM,0.1949,7.89395007e-04,equilibrium,3.46604386e-04,3.46604386e-04,2.815261e-15,100.0000,1,92.0718,1.000000,SAM,1,1.437735e-01,1,21.53,
telstar401,2,264.884,103.874,118.132,0.409256,LAM,0.1357,8.86467479e-04,equilibrium,3.62792551e-04,3.62792551e-04,2.390793e-15,100.0000,1,126.0654,1.000000,SAM,1,1.304956e-01,1,11.26,
telstar401,3,194.529,30.225,87.226,0.923531,SAM,0.5086,1.20056181e-03,equilibrium,1.10875604e-03,1.10875604e-03,0.000000e+00,100.0000,1,69.6867,1.000000,SAM,0,1.168961e-02,1,4.02,
telstar401,4,200.455,60.925,61.215,0.895743,SAM,0.3301,1.71067940e-03,equilibrium,1.53232893e-03,1.53232893e-03,0.000000e+00,100.0000,1,124.8502,1.000000,SAM,0,6.294131e-03,1,2.81,
telstar401,5,108.291,94.232,44.569,0.859510,SAM,0.0972,2.34962900e-03,equilibrium,2.01953070e-03,2.01953070e-03,0.000000e+00,100.0000,1,138.3151,1.000000,SAM,0,3.603342e-03,1,1.55,
telstar401,6,207.889,56.230,199.143,0.397926,LAM,0.1132,5.25852431e-04,cycling,2.11287857e-04,2.12787771e-04,1.668999e-02,100.0000,1,59.3025,0.990358,SAM,1,4.868112e-01,1,17.74,
telstar401,7,19.462,21.135,151.466,0.864057,SAM,0.1265,6.91376261e-04,equilibrium,5.97388612e-04,5.97388612e-04,9.074513e-16,100.0000,1,158.8188,1.000000,SAM,0,4.938121e-02,1,7.99,
telstar401,8,236.749,97.952,38.511,0.882384,SAM,0.2442,2.71921918e-03,equilibrium,2.39939558e-03,2.39939558e-03,0.000000e+00,100.0000,1,99.4008,1.000000,SAM,0,3.603168e-03,1,0.74,
telstar401,9,285.293,97.441,243.979,0.722241,LAM,0.7574,4.29216554e-04,equilibrium,3.09997665e-04,3.09997665e-04,3.147707e-15,100.0000,1,56.6087,1.000000,SAM,1,1.808167e-01,1,17.25,
telstar401,10,298.233,145.041,43.208,0.533736,LAM,0.3829,2.42359495e-03,equilibrium,1.29356024e-03,1.29356024e-03,0.000000e+00,100.0000,1,43.5222,1.000000,SAM,1,1.138225e-02,1,4.34,
telstar401,11,149.199,44.401,96.535,0.884943,SAM,0.2607,1.08478174e-03,equilibrium,9.59970013e-04,9.59970013e-04,0.000000e+00,100.0000,1,45.6721,1.000000,SAM,0,1.713580e-02,1,4.54,
telstar401,12,142.217,85.601,33.409,0.991863,SAM,0.9477,3.13452034e-03,equilibrium,3.10901482e-03,3.10901482e-03,0.000000e+00,100.0000,1,91.1164,1.000000,SAM,0,1.500207e-03,1,1.27,
telstar401,13,305.654,133.791,50.962,0.474864,LAM,0.2660,2.05485823e-03,equilibrium,9.75777561e-04,9.75777561e-04,0.000000e+00,100.0000,1,108.3019,1.000000,SAM,1,1.940978e-02,1,5.27,
telstar401,14,35.528,16.368,288.722,0.988532,SAM,0.9263,3.62701039e-04,equilibrium,3.58541746e-04,3.58541746e-04,7.559804e-16,100.0000,1,14.6532,1.000000,SAM,0,1.339782e-01,1,7.68,
telstar401,15,188.236,52.272,70.510,0.957758,SAM,0.7286,1.48518321e-03,equilibrium,1.42244563e-03,1.42244563e-03,0.000000e+00,100.0000,1,44.1097,1.000000,SAM,0,7.558259e-03,1,3.10,
telstar401,16,90.627,16.569,46.785,0.973408,SAM,0.8291,2.23832861e-03,equilibrium,2.17880633e-03,2.17880633e-03,0.000000e+00,100.0000,1,161.5456,1.000000,SAM,0,4.365122e-03,1,0.65,
telstar401,17,235.358,35.492,52.340,0.628125,LAM,0.5704,2.00076967e-03,equilibrium,1.25673413e-03,1.25673413e-03,0.000000e+00,100.0000,1,24.6174,1.000000,SAM,1,1.194230e-02,1,0.94,
telstar401,18,169.417,38.878,47.927,0.368335,LAM,0.0544,2.18497286e-03,equilibrium,8.04802404e-04,8.04802404e-04,0.000000e+00,100.0000,1,132.3691,1.000000,SAM,1,2.356031e-02,1,5.10,
telstar401,19,277.155,83.403,82.486,0.944212,SAM,0.6415,1.26955086e-03,equilibrium,1.19872537e-03,1.19872537e-03,0.000000e+00,100.0000,1,58.4861,1.000000,SAM,0,1.317937e-02,1,4.46,
telstar401,20,69.754,138.152,270.875,0.768664,LAM,0.8496,3.86597528e-04,equilibrium,2.97163536e-04,2.97163536e-04,3.812686e-14,100.0000,1,163.4798,1.000000,SAM,1,1.945424e-01,1,2.54,
telstar401,21,252.742,68.755,35.698,0.898632,SAM,0.3486,2.93351415e-03,equilibrium,2.63614841e-03,2.63614841e-03,0.000000e+00,100.0000,1,48.0272,1.000000,SAM,0,3.127034e-03,1,1.30,
telstar401,22,212.313,42.678,353.215,0.950502,SAM,0.6819,2.96476303e-04,equilibrium,2.81801433e-04,2.81801433e-04,4.790010e-14,100.0000,1,23.8436,1.000000,SAM,0,1.982393e-01,1,19.13,
telstar401,23,269.663,77.518,31.427,0.490756,LAM,0.2976,3.33215928e-03,equilibrium,1.63527820e-03,1.63527820e-03,0.000000e+00,100.0000,1,79.5205,1.000000,SAM,1,7.374455e-03,1,3.75,
telstar401,24,355.373,57.820,37.664,0.766377,LAM,0.8451,2.78036422e-03,equilibrium,2.13080761e-03,2.13080761e-03,0.000000e+00,100.0000,1,126.2221,1.000000,SAM,1,4.347757e-03,1,2.36,
telstar401,25,342.489,158.377,139.179,0.855539,SAM,0.0717,7.52408181e-04,equilibrium,6.43714822e-04,6.43714822e-04,0.000000e+00,100.0000,1,110.4152,1.000000,SAM,0,4.305032e-02,1,8.35,
telstar401,26,347.547,35.062,309.530,0.877185,SAM,0.2108,3.38319106e-04,equilibrium,2.96768582e-04,2.96768582e-04,2.922687e-15,100.0000,1,101.5405,1.000000,SAM,0,1.923475e-01,1,19.17,
telstar401,27,16.840,108.236,192.640,0.964960,SAM,0.7748,5.43604690e-04,equilibrium,5.24556724e-04,5.24556724e-04,4.133784e-16,100.0000,1,83.6447,1.000000,SAM,0,6.383033e-02,1,12.01,
telstar401,28,25.659,31.108,42.103,0.986713,SAM,0.9146,2.48725381e-03,equilibrium,2.45420601e-03,2.45420601e-03,0.000000e+00,100.0000,1,155.8792,1.000000,SAM,0,3.531048e-03,1,2.79,
telstar401,29,95.184,88.675,252.734,0.925691,SAM,0.5225,4.14348203e-04,equilibrium,3.83558393e-04,3.83558393e-04,0.000000e+00,100.0000,1,74.8534,1.000000,SAM,0,1.074005e-01,1,13.53,
telstar401,30,247.968,41.007,178.899,0.714259,LAM,0.7415,5.85356922e-04,equilibrium,4.18096564e-04,4.18096564e-04,2.593186e-16,100.0000,1,5.6291,1.000000,SAM,1,9.937990e-02,1,2.86,
telstar401,31,322.285,154.811,446.233,0.668962,LAM,0.6516,2.34674891e-04,cycling,1.75406458e-04,1.77472186e-04,2.330443e-02,100.0000,1,127.7700,0.895000,SAM,1,8.363844e-01,1,19.50,
telstar401,32,138.125,104.482,301.435,0.577372,LAM,0.4696,3.47403647e-04,cycling,2.00998152e-04,2.01259980e-04,3.048248e-03,100.0000,1,99.4894,0.997925,SAM,1,5.071754e-01,1,15.95,
telstar401,33,158.819,114.065,186.593,0.930823,SAM,0.5555,5.61220578e-04,equilibrium,5.22396783e-04,5.22396783e-04,0.000000e+00,100.0000,1,66.5266,1.000000,SAM,0,5.942184e-02,1,21.16,
telstar401,34,76.431,142.913,53.720,0.893322,SAM,0.3145,1.94935864e-03,equilibrium,1.74140432e-03,1.74140432e-03,0.000000e+00,100.0000,1,122.0369,1.000000,SAM,0,6.567213e-03,1,0.72,
telstar401,35,325.722,143.296,375.761,0.564068,LAM,0.4432,2.78687292e-04,cycling,1.87436267e-04,1.89251761e-04,2.020739e-02,100.0000,1,68.4013,0.838677,LAM,0,6.505968e-01,1,11.43,
telstar401,36,165.112,125.354,68.075,0.914630,SAM,0.4514,1.53829528e-03,equilibrium,1.40697058e-03,1.40697058e-03,0.000000e+00,100.0000,1,80.6209,1.000000,SAM,0,7.851379e-03,1,2.40,
telstar401,37,1.407,48.623,414.254,0.454600,LAM,0.2257,2.52791406e-04,cycling,2.18623108e-04,2.20326823e-04,1.548039e-02,100.0000,1,73.5323,0.525649,LAM,0,2.953750e-01,1,25.91,
telstar401,38,219.589,32.620,89.033,0.896654,SAM,0.3359,1.17619231e-03,equilibrium,1.05463802e-03,1.05463802e-03,0.000000e+00,100.0000,1,127.9795,1.000000,SAM,0,1.551097e-02,1,2.84,
telstar401,39,42.169,129.978,174.289,0.717107,LAM,0.7472,6.00838169e-04,equilibrium,4.30865119e-04,4.30865119e-04,8.807182e-16,100.0000,1,49.2843,1.000000,SAM,1,9.174330e-02,1,12.27,
telstar401,40,127.438,49.806,227.770,0.387134,LAM,0.0917,4.59760133e-04,cycling,2.29920565e-04,2.36592836e-04,5.888217e-02,100.0000,1,129.9866,0.774132,LAM,0,1.851960e-01,1,13.51,
telstar401,41,113.235,52.916,67.055,0.650127,LAM,0.6141,1.56170991e-03,equilibrium,1.01530961e-03,1.01530961e-03,0.000000e+00,100.0000,1,138.9592,1.000000,SAM,1,1.425755e-02,1,4.78,
telstar401,42,65.738,72.619,100.873,0.963134,SAM,0.7631,1.03812990e-03,equilibrium,9.99857997e-04,9.99857997e-04,0.000000e+00,100.0000,1,29.4826,1.000000,SAM,0,1.855062e-02,1,1.68,
telstar401,43,100.949,90.725,40.653,0.812566,LAM,0.9368,2.57596268e-03,equilibrium,2.09313899e-03,2.09313899e-03,0.000000e+00,100.0000,1,48.4159,1.000000,SAM,1,3.076162e-03,1,2.25,
telstar401,44,229.967,161.841,144.001,0.455845,LAM,0.2282,7.27216965e-04,equilibrium,3.31497889e-04,3.31497889e-04,1.635308e-15,100.0000,1,31.8440,1.000000,SAM,1,2.038274e-01,1,4.28,
telstar401,45,39.593,46.980,75.930,0.654760,LAM,0.6233,1.37916690e-03,equilibrium,9.03022803e-04,9.03022803e-04,0.000000e+00,100.0000,1,114.1887,1.000000,SAM,1,2.252394e-02,1,5.76,
telstar401,46,300.496,161.974,207.998,0.883658,SAM,0.2524,5.03465743e-04,equilibrium,4.44891685e-04,4.44891685e-04,3.655504e-16,100.0000,1,30.3961,1.000000,SAM,0,8.805234e-02,1,9.29,
telstar401,47,81.699,130.631,35.139,0.873425,SAM,0.1867,2.98012411e-03,equilibrium,2.60291467e-03,2.60291467e-03,0.000000e+00,100.0000,1,101.2939,1.000000,SAM,0,3.080062e-03,1,0.61,
telstar401,48,12.055,148.644,150.267,0.934854,SAM,0.5814,6.96892474e-04,equilibrium,6.51492384e-04,6.51492384e-04,0.000000e+00,100.0000,1,146.6581,1.000000,SAM,0,4.165808e-02,1,9.36,
telstar401,49,307.776,23.643,59.887,0.795550,LAM,0.9030,1.74861690e-03,equilibrium,1.39111199e-03,1.39111199e-03,0.000000e+00,100.0000,1,24.0800,1.000000,SAM,1,9.967743e-03,1,4.23,
telstar401,50,151.565,73.491,475.710,0.697706,LAM,0.7087,2.20133656e-04,cycling,1.71173076e-04,1.73026098e-04,2.149015e-02,100.0000,1,73.9921,0.897271,SAM,1,7.747636e-01,1,17.80,
telstar401,51,102.981,150.398,320.731,0.952418,SAM,0.6943,3.26503798e-04,equilibrium,3.10968186e-04,3.10968186e-04,8.367689e-15,100.0000,1,38.1722,1.000000,SAM,0,1.652762e-01,1,14.17,
telstar401,52,338.653,102.453,90.678,0.421564,LAM,0.1601,1.15485272e-03,equilibrium,4.86844163e-04,4.86844163e-04,0.000000e+00,100.0000,1,100.1975,1.000000,SAM,1,7.158390e-02,1,9.49,
telstar401,53,88.675,63.825,56.881,0.443416,LAM,0.2035,1.84103074e-03,equilibrium,8.16343087e-04,8.16343087e-04,0.000000e+00,100.0000,1,158.3763,1.000000,SAM,1,2.678208e-02,1,4.92,
telstar401,54,246.810,156.928,82.205,0.695568,LAM,0.7044,1.27389021e-03,equilibrium,8.86077264e-04,8.86077264e-04,0.000000e+00,100.0000,1,143.7877,1.000000,SAM,1,2.328659e-02,1,1.83,
telstar401,55,328.611,123.442,207.625,0.919747,SAM,0.4843,5.04369878e-04,equilibrium,4.63892511e-04,4.63892511e-04,0.000000e+00,100.0000,1,116.0903,1.000000,SAM,0,7.873703e-02,1,9.62,
telstar401,56,330.604,115.826,45.777,0.799028,LAM,0.9099,2.28758581e-03,equilibrium,1.82784494e-03,1.82784494e-03,0.000000e+00,100.0000,1,86.9853,1.000000,SAM,1,5.417930e-03,1,2.63,
telstar401,57,259.945,92.042,226.509,0.521590,LAM,0.3588,4.62320595e-04,equilibrium,2.41141925e-04,2.41142238e-04,3.595582e-06,100.0000,1,119.8378,0.999999,SAM,1,3.092205e-01,1,14.29,
telstar401,58,289.772,28.546,63.786,0.905139,SAM,0.3904,1.64173465e-03,equilibrium,1.48599827e-03,1.48599827e-03,0.000000e+00,100.0000,1,65.4383,1.000000,SAM,0,7.919058e-03,1,3.87,
