config,ic_id,alpha0_deg,beta0_deg,Pe_min,Id0_over_Is,band0,band_frac0,omega_e0,fate,omega_e_final,omega_e_tailmean,ripple,t_end_yr,reached_horizon,beta_final_deg,Id_final_over_Is,regime_final,n_sep_crossings,eps_beta_max,in_domain,wall_s,error
skynet1a,1,52.681,38.281,132.658,0.783168,LAM,0.1949,7.89395007e-04,equilibrium,6.18228669e-04,6.18228669e-04,9.470107e-15,100.0000,1,38.1637,1.000000,SAM,1,5.497538e-02,1,28.03,
skynet1a,2,264.884,103.874,118.132,0.772412,LAM,0.1357,8.86467479e-04,equilibrium,6.84717720e-04,6.84717720e-04,1.773441e-14,100.0000,1,100.9657,1.000000,SAM,1,5.930208e-02,1,11.94,
skynet1a,3,194.529,30.225,87.226,0.965291,SAM,0.5086,1.20056181e-03,equilibrium,1.15889142e-03,1.15889142e-03,3.367984e-15,100.0000,1,29.5250,1.000000,SAM,0,1.535002e-02,1,12.51,
skynet1a,4,200.455,60.925,61.215,0.952678,SAM,0.3301,1.71067940e-03,equilibrium,1.62972661e-03,1.62972661e-03,1.742998e-14,100.0000,1,56.2014,1.000000,SAM,0,1.232328e-02,1,7.79,
skynet1a,5,108.291,94.232,44.569,0.936232,SAM,0.0972,2.34962900e-03,equilibrium,2.19979829e-03,2.19979829e-03,9.068704e-15,100.0000,1,104.4354,1.000000,SAM,0,8.400135e-03,1,10.96,
skynet1a,6,207.889,56.230,199.143,0.768325,LAM,0.1132,5.25852431e-04,equilibrium,4.04025394e-04,4.04025394e-04,9.419085e-14,100.0000,1,48.8404,1.000000,SAM,1,1.470809e-01,1,30.69,
skynet1a,7,19.462,21.135,151.466,0.938296,SAM,0.1265,6.91376261e-04,equilibrium,6.48715525e-04,6.48715525e-04,6.685224e-16,100.0000,1,24.5654,1.000000,SAM,0,3.802430e-02,1,23.16,
skynet1a,8,236.749,97.952,38.511,0.946614,SAM,0.2442,2.71921918e-03,equilibrium,2.57405212e-03,2.57405212e-03,1.347854e-15,100.0000,1,69.8952,1.000000,SAM,0,6.555655e-03,1,12.96,
skynet1a,9,285.293,97.441,243.979,0.885308,LAM,0.7574,4.29216554e-04,equilibrium,3.79988660e-04,3.79988660e-04,3.580827e-14,100.0000,1,96.6780,1.000000,SAM,1,1.846885e-01,1,20.35,
skynet1a,10,298.233,145.041,43.208,0.817312,LAM,0.3829,2.42359495e-03,equilibrium,1.98083422e-03,1.98083422e-03,4.553921e-14,100.0000,1,145.7172,1.000000,SAM,1,7.344122e-03,1,9.36,
skynet1a,11,149.199,44.401,96.535,0.947776,SAM,0.2607,1.08478174e-03,equilibrium,1.02813004e-03,1.02813004e-03,1.919259e-14,100.0000,1,48.8721,1.000000,SAM,0,2.422821e-02,1,12.77,
