label,J,mu_over_J,t_yr,omega_e,beta_deg,alpha_deg,Id_over_Is,eps_beta
J = 0.1,0.1000,1.0e-03,0.000000,5.23598776e-03,75.0000,0.0000,0.765934,6.947704e-04
J = 0.1,0.1000,1.0e-03,0.006669,5.22332229e-03,73.5091,7.2203,0.767791,6.777468e-04
J = 0.1,0.1000,1.0e-03,0.013338,5.20957667e-03,72.1144,14.5643,0.769817,6.023759e-04
J = 0.1,0.1000,1.0e-03,0.020007,5.19469546e-03,70.9374,22.0381,0.772022,4.663337e-04
J = 0.1,0.1000,1.0e-03,0.026676,5.17862776e-03,70.0954,29.6277,0.774417,2.722893e-04
J = 0.1,0.1000,1.0e-03,0.033344,5.16132887e-03,69.6908,37.2932,0.777013,2.841776e-05
J = 0.1,0.1000,1.0e-03,0.040013,5.14276212e-03,69.8016,44.9705,0.779818,2.518522e-04
J = 0.1,0.1000,1.0e-03,0.046682,5.12290083e-03,70.4733,52.5791,0.782841,5.511560e-04
J = 0.1,0.1000,1.0e-03,0.053351,5.10173031e-03,71.7145,60.0353,0.786090,8.504609e-04
J = 0.1,0.1000,1.0e-03,0.060020,5.07924985e-03,73.4983,67.2676,0.789569,1.131689e-03
J = 0.1,0.1000,1.0e-03,0.066689,5.05547456e-03,75.7672,74.2278,0.793282,1.379901e-03
J = 0.1,0.1000,1.0e-03,0.073358,5.03043704e-03,78.4415,80.8971,0.797231,1.584493e-03
J = 0.1,0.1000,1.0e-03,0.080027,5.00418873e-03,81.4280,87.2845,0.801412,1.739349e-03
J = 0.1,0.1000,1.0e-03,0.086696,4.97680076e-03,84.6284,93.4224,0.805823,1.842245e-03
J = 0.1,0.1000,1.0e-03,0.093364,4.94836433e-03,87.9452,99.3579,0.810453,1.893944e-03
J = 0.1,0.1000,1.0e-03,0.100033,4.91899039e-03,91.2866,105.1458,0.815293,1.897317e-03
J = 0.1,0.1000,1.0e-03,0.106702,4.88880866e-03,94.5689,110.8413,0.820326,1.856656e-03
J = 0.1,0.1000,1.0e-03,0.113371,4.85796597e-03,97.7191,116.4942,0.825535,1.777221e-03
J = 0.1,0.1000,1.0e-03,0.120040,4.82662381e-03,100.6752,122.1446,0.830895,1.664982e-03
J = 0.1,0.1000,1.0e-03,0.126709,4.79495534e-03,103.3877,127.8199,0.836383,1.526450e-03
J = 0.1,0.1000,1.0e-03,0.133378,4.76314184e-03,105.8195,133.5331,0.841969,1.368515e-03
J = 0.1,0.1000,1.0e-03,0.140047,4.73136880e-03,107.9465,139.2834,0.847623,1.198206e-03
J = 0.1,0.1000,1.0e-03,0.146716,4.69982189e-03,109.7569,145.0570,0.853313,1.022340e-03
J = 0.1,0.1000,1.0e-03,0.153384,4.66868285e-03,111.2506,150.8302,0.859004,8.470887e-04
J = 0.1,0.1000,1.0e-03,0.160053,4.63812568e-03,112.4373,156.5726,0.864664,6.775179e-04
J = 0.1,0.1000,1.0e-03,0.166722,4.60831321e-03,113.3349,162.2511,0.870257,5.172032e-04
J = 0.1,0.1000,1.0e-03,0.173391,4.57939426e-03,113.9668,167.8327,0.875753,3.679978e-04
J = 0.1,0.1000,1.0e-03,0.180060,4.55150140e-03,114.3598,173.2870,0.881120,2.299943e-04
J = 0.1,0.1000,1.0e-03,0.186729,4.52474950e-03,114.5416,178.5882,0.886329,1.016749e-04
J = 0.1,0.1000,1.0e-03,0.193398,4.49923509e-03,114.5392,183.7151,0.891356,1.980112e-05
J = 0.1,0.1000,1.0e-03,0.200067,4.47503645e-03,114.3774,188.6511,0.896176,1.382415e-04
J = 0.1,0.1000,1.0e-03,0.206736,4.45221447e-03,114.0784,193.3837,0.900769,2.580720e-04
J = 0.1,0.1000,1.0e-03,0.213404,4.43081425e-03,113.6610,197.9036,0.905120,3.840599e-04
J = 0.1,0.1000,1.0e-03,0.220073,4.41086740e-03,113.1408,202.2033,0.909213,5.211698e-04
J = 0.1,0.1000,1.0e-03,0.226742,4.39239534e-03,112.5306,206.2767,0.913037,6.746227e-04
J = 0.1,0.1000,1.0e-03,0.233411,4.37541366e-03,111.8404,210.1175,0.916580,8.502901e-04
J = 0.1,0.1000,1.0e-03,0.240080,4.35993858e-03,111.0781,213.7180,0.919834,1.055751e-03
J = 0.1,0.1000,1.0e-03,0.246749,4.34599810e-03,110.2499,217.0668,0.922784,1.303025e-03
J = 0.1,0.1000,1.0e-03,0.253418,4.33365482e-03,109.3605,220.1446,0.925413,1.617072e-03
J = 0.1,0.1000,1.0e-03,0.260087,4.32307324e-03,108.4131,222.9104,0.927678,2.075996e-03
J = 0.1,0.1000,1.0e-03,0.266756,4.31506271e-03,107.4055,225.2179,0.929400,Inf
J = 0.1,0.1000,1.0e-03,0.273424,4.30711404e-03,106.3477,228.6395,0.931115,2.494018e-03
J = 0.1,0.1000,1.0e-03,0.280093,4.29763950e-03,105.2329,232.6339,0.933168,2.457093e-03
J = 0.1,0.1000,1.0e-03,0.286762,4.28748834e-03,104.0484,236.9260,0.935377,2.539063e-03
J = 0.1,0.1000,1.0e-03,0.293431,4.27695508e-03,102.7866,241.4228,0.937681,2.670498e-03
J = 0.1,0.1000,1.0e-03,0.300100,4.26621451e-03,101.4404,246.0696,0.940042,2.826273e-03
J = 0.1,0.1000,1.0e-03,0.306769,4.25538878e-03,100.0020,250.8278,0.942433,2.991775e-03
J = 0.1,0.1000,1.0e-03,0.313438,4.24457038e-03,98.4626,255.6681,0.944835,3.155863e-03
J = 0.1,0.1000,1.0e-03,0.320107,4.23383250e-03,96.8133,260.5679,0.947231,3.308828e-03
J = 0.1,0.1000,1.0e-03,0.326776,4.22323440e-03,95.0445,265.5103,0.949608,3.441787e-03
J = 0.1,0.1000,1.0e-03,0.333444,4.21282462e-03,93.1475,270.4841,0.951955,3.546578e-03
J = 0.1,0.1000,1.0e-03,0.340113,4.20264301e-03,91.1144,275.4844,0.954261,3.615805e-03
J = 0.1,0.1000,1.0e-03,0.346782,4.19272211e-03,88.9398,280.5136,0.956519,3.642880e-03
J = 0.1,0.1000,1.0e-03,0.353451,4.18308815e-03,86.6209,285.5824,0.958722,3.621990e-03
J = 0.1,0.1000,1.0e-03,0.360120,4.17376193e-03,84.1593,290.7115,0.960864,3.547982e-03
J = 0.1,0.1000,1.0e-03,0.366789,4.16475938e-03,81.5619,295.9323,0.962941,3.416167e-03
J = 0.1,0.1000,1.0e-03,0.373458,4.15609220e-03,78.8429,301.2886,0.964949,3.222119e-03
J = 0.1,0.1000,1.0e-03,0.380127,4.14776829e-03,76.0255,306.8368,0.966886,2.961577e-03
J = 0.1,0.1000,1.0e-03,0.386796,4.13979226e-03,73.1448,312.6463,0.968749,2.630598e-03
J = 0.1,0.1000,1.0e-03,0.393464,4.13216576e-03,70.2510,318.7977,0.970537,2.226183e-03
J = 0.1,0.1000,1.0e-03,0.400133,4.12488791e-03,67.4125,325.3786,0.972249,1.747630e-03
J = 0.1,0.1000,1.0e-03,0.406802,4.11795562e-03,64.7200,332.4748,0.973886,1.198830e-03
J = 0.1,0.1000,1.0e-03,0.413471,4.11136392e-03,62.2870,340.1566,0.975447,5.915195e-04
J = 0.1,0.1000,1.0e-03,0.420140,4.10510621e-03,60.2486,348.4569,0.976934,5.116239e-05
J = 0.1,0.1000,1.0e-03,0.426809,4.09917458e-03,58.7512,357.3457,0.978348,6.925346e-04
J = 0.1,0.1000,1.0e-03,0.433478,4.09356001e-03,57.9355,6.7087,0.979690,1.284439e-03
J = 0.1,0.1000,1.0e-03,0.440147,4.08825262e-03,57.9106,16.3442,0.980962,1.775698e-03
J = 0.1,0.1000,1.0e-03,0.446816,4.08324182e-03,58.7298,25.9906,0.982165,2.125514e-03
J = 0.1,0.1000,1.0e-03,0.453484,4.07851656e-03,60.3762,35.3808,0.983303,2.315481e-03
J = 0.1,0.1000,1.0e-03,0.460153,4.07406541e-03,62.7661,44.2997,0.984378,2.353193e-03
J = 0.1,0.1000,1.0e-03,0.466822,4.06987673e-03,65.7682,52.6208,0.985391,2.266049e-03
J = 0.1,0.1000,1.0e-03,0.473491,4.06593880e-03,69.2281,60.3110,0.986345,2.090249e-03
J = 0.1,0.1000,1.0e-03,0.480160,4.06223990e-03,72.9895,67.4130,0.987243,1.861128e-03
J = 0.1,0.1000,1.0e-03,0.486829,4.05876841e-03,76.9077,74.0192,0.988088,1.607809e-03
J = 0.1,0.1000,1.0e-03,0.493498,4.05551287e-03,80.8554,80.2479,0.988881,1.351880e-03
J = 0.1,0.1000,1.0e-03,0.500167,4.05246207e-03,84.7223,86.2243,0.989625,1.108438e-03
J = 0.1,0.1000,1.0e-03,0.506836,4.04960507e-03,88.4135,92.0671,0.990323,8.879684e-04
J = 0.1,0.1000,1.0e-03,0.513505,4.04693123e-03,91.8465,97.8791,0.990978,6.980844e-04
J = 0.1,0.1000,1.0e-03,0.520173,4.04443030e-03,94.9496,103.7398,0.991591,5.446719e-04
J = 0.1,0.1000,1.0e-03,0.526842,4.04209238e-03,97.6622,109.7008,0.992164,4.322992e-04
J = 0.1,0.1000,1.0e-03,0.533511,4.03990795e-03,99.9364,115.7833,0.992701,3.639800e-04
J = 0.1,0.1000,1.0e-03,0.540180,4.03786792e-03,101.7400,121.9788,0.993202,3.405352e-04
J = 0.1,0.1000,1.0e-03,0.546849,4.03596359e-03,103.0598,128.2533,0.993671,3.599225e-04
J = 0.1,0.1000,1.0e-03,0.553518,4.03418667e-03,103.9034,134.5552,0.994108,4.169130e-04
J = 0.1,0.1000,1.0e-03,0.560187,4.03252927e-03,104.2994,140.8255,0.994517,5.033608e-04
J = 0.1,0.1000,1.0e-03,0.566856,4.03098391e-03,104.2950,147.0077,0.994898,6.090538e-04
J = 0.1,0.1000,1.0e-03,0.573525,4.02954350e-03,103.9516,153.0559,0.995254,7.229004e-04
J = 0.1,0.1000,1.0e-03,0.580193,4.02820132e-03,103.3391,158.9396,0.995585,8.340991e-04
J = 0.1,0.1000,1.0e-03,0.586862,4.02695105e-03,102.5303,164.6446,0.995895,9.330146e-04
J = 0.1,0.1000,1.0e-03,0.593531,4.02578669e-03,101.5962,170.1715,0.996183,1.011650e-03
J = 0.1,0.1000,1.0e-03,0.600200,4.02470263e-03,100.6020,175.5322,0.996451,1.063757e-03
J = 0.1,0.1000,1.0e-03,0.606869,4.02369355e-03,99.6046,180.7457,0.996701,1.084715e-03
J = 0.1,0.1000,1.0e-03,0.613538,4.02275447e-03,98.6506,185.8353,0.996934,1.071303e-03
J = 0.1,0.1000,1.0e-03,0.620207,4.02188071e-03,97.7758,190.8253,0.997150,1.021471e-03
J = 0.1,0.1000,1.0e-03,0.626876,4.02106789e-03,97.0046,195.7393,0.997352,9.341423e-04
J = 0.1,0.1000,1.0e-03,0.633545,4.02031188e-03,96.3498,200.5997,0.997539,8.090794e-04
J = 0.1,0.1000,1.0e-03,0.640213,4.01960883e-03,95.8128,205.4273,0.997714,6.467888e-04
J = 0.1,0.1000,1.0e-03,0.646882,4.01895513e-03,95.3839,210.2411,0.997876,4.484703e-04
J = 0.1,0.1000,1.0e-03,0.653551,4.01834739e-03,95.0434,215.0596,0.998027,2.160001e-04
J = 0.1,0.1000,1.0e-03,0.660220,4.01778246e-03,94.7620,219.9001,0.998167,4.804459e-05
J = 0.1,0.1000,1.0e-03,0.666889,4.01725738e-03,94.5023,224.7793,0.998298,3.403127e-04
J = 0.1,0.1000,1.0e-03,0.673558,4.01676941e-03,94.2204,229.7127,0.998419,6.565584e-04
J = 0.1,0.1000,1.0e-03,0.680227,4.01631596e-03,93.8677,234.7142,0.998532,9.914814e-04
J = 0.1,0.1000,1.0e-03,0.686896,4.01589463e-03,93.3929,239.7957,0.998636,1.338564e-03
J = 0.1,0.1000,1.0e-03,0.693565,4.01550318e-03,92.7449,244.9667,0.998734,1.689948e-03
J = 0.1,0.1000,1.0e-03,0.700233,4.01513953e-03,91.8754,250.2351,0.998824,2.036394e-03
J = 0.1,0.1000,1.0e-03,0.706902,4.01480172e-03,90.7421,255.6083,0.998908,2.367355e-03
J = 0.1,0.1000,1.0e-03,0.713571,4.01448795e-03,89.3120,261.0963,0.998986,2.671140e-03
J = 0.1,0.1000,1.0e-03,0.720240,4.01419652e-03,87.5639,266.7153,0.999059,2.935089e-03
J = 0.1,0.1000,1.0e-03,0.726909,4.01392585e-03,85.4916,272.4917,0.999126,3.145675e-03
J = 0.1,0.1000,1.0e-03,0.733578,4.01367449e-03,83.1064,278.4672,0.999189,3.288426e-03
J = 0.1,0.1000,1.0e-03,0.740247,4.01344106e-03,80.4397,284.7014,0.999247,3.347692e-03
J = 0.1,0.1000,1.0e-03,0.746916,4.01322431e-03,77.5461,291.2738,0.999301,3.306468e-03
J = 0.1,0.1000,1.0e-03,0.753585,4.01302304e-03,74.5070,298.2808,0.999351,3.146739e-03
J = 0.1,0.1000,1.0e-03,0.760253,4.01283616e-03,71.4341,305.8281,0.999398,2.851204e-03
J = 0.1,0.1000,1.0e-03,0.766922,4.01266265e-03,68.4721,314.0143,0.999441,2.407381e-03
J = 0.1,0.1000,1.0e-03,0.773591,4.01250155e-03,65.7957,322.9046,0.999481,1.814808e-03
J = 0.1,0.1000,1.0e-03,0.780260,4.01235199e-03,63.5985,332.4961,0.999518,1.094354e-03
J = 0.1,0.1000,1.0e-03,0.786929,4.01221314e-03,62.0678,342.6844,0.999553,2.954191e-04
J = 0.1,0.1000,1.0e-03,0.793598,4.01208424e-03,61.3481,353.2516,0.999585,5.062360e-04
J = 0.1,0.1000,1.0e-03,0.800267,4.01196458e-03,61.5048,3.8940,0.999615,1.224861e-03
J = 0.1,0.1000,1.0e-03,0.806936,4.01185350e-03,62.5049,14.2913,0.999642,1.789947e-03
J = 0.1,0.1000,1.0e-03,0.813605,4.01175039e-03,64.2264,24.1829,0.999668,2.165682e-03
J = 0.1,0.1000,1.0e-03,0.820273,4.01165467e-03,66.4909,33.4150,0.999692,2.353771e-03
J = 0.1,0.1000,1.0e-03,0.826942,4.01156582e-03,69.1023,41.9434,0.999714,2.382102e-03
J = 0.1,0.1000,1.0e-03,0.833611,4.01148335e-03,71.8768,49.8060,0.999735,2.289507e-03
J = 0.1,0.1000,1.0e-03,0.840280,4.01140680e-03,74.6596,57.0879,0.999754,2.114435e-03
J = 0.1,0.1000,1.0e-03,0.846949,4.01133575e-03,77.3301,63.8910,0.999771,1.889424e-03
J = 0.1,0.1000,1.0e-03,0.853618,4.01126980e-03,79.8003,70.3154,0.999788,1.639827e-03
J = 0.1,0.1000,1.0e-03,0.860287,4.01120859e-03,82.0115,76.4484,0.999803,1.384635e-03
J = 0.1,0.1000,1.0e-03,0.866956,4.01115178e-03,83.9301,82.3606,0.999817,1.137882e-03
J = 0.1,0.1000,1.0e-03,0.873625,4.01109905e-03,85.5437,88.1063,0.999830,9.099335e-04
J = 0.1,0.1000,1.0e-03,0.880293,4.01105011e-03,86.8579,93.7256,0.999843,7.083972e-04
J = 0.1,0.1000,1.0e-03,0.886962,4.01100468e-03,87.8937,99.2478,0.999854,5.387074e-04
J = 0.1,0.1000,1.0e-03,0.893631,4.01096253e-03,88.6845,104.6954,0.999864,4.044774e-04
J = 0.1,0.1000,1.0e-03,0.900300,4.01092340e-03,89.2731,110.0862,0.999874,3.077248e-04
J = 0.1,0.1000,1.0e-03,0.906969,4.01088709e-03,89.7092,115.4358,0.999883,2.490314e-04
J = 0.1,0.1000,1.0e-03,0.913638,4.01085338e-03,90.0459,120.7588,0.999892,2.276632e-04
J = 0.1,0.1000,1.0e-03,0.920307,4.01082211e-03,90.3372,126.0685,0.999899,2.416535e-04
J = 0.1,0.1000,1.0e-03,0.926976,4.01079308e-03,90.6354,131.3775,0.999907,2.878492e-04
J = 0.1,0.1000,1.0e-03,0.933645,4.01076614e-03,90.9880,136.6965,0.999913,3.619314e-04
J = 0.1,0.1000,1.0e-03,0.940313,4.01074114e-03,91.4357,142.0350,0.999920,4.584329e-04
J = 0.1,0.1000,1.0e-03,0.946982,4.01071793e-03,92.0101,147.4011,0.999925,5.707810e-04
J = 0.1,0.1000,1.0e-03,0.953651,4.01069640e-03,92.7322,152.8026,0.999931,6.913868e-04
J = 0.1,0.1000,1.0e-03,0.960320,4.01067642e-03,93.6108,158.2482,0.999936,8.117878e-04
J = 0.1,0.1000,1.0e-03,0.966989,4.01065787e-03,94.6418,163.7486,0.999940,9.228335e-04
J = 0.1,0.1000,1.0e-03,0.973658,4.01064066e-03,95.8080,169.3178,0.999945,1.014896e-03
J = 0.1,0.1000,1.0e-03,0.980327,4.01062468e-03,97.0790,174.9732,0.999949,1.078102e-03
J = 0.1,0.1000,1.0e-03,0.986996,4.01060986e-03,98.4120,180.7349,0.999952,1.102599e-03
J = 0.1,0.1000,1.0e-03,0.993665,4.01059610e-03,99.7525,186.6241,0.999956,1.078934e-03
J = 0.1,0.1000,1.0e-03,1.000333,4.01058334e-03,101.0356,192.6592,0.999959,9.986062e-04
J = 0.1,0.1000,1.0e-03,1.007002,4.01057149e-03,102.1886,198.8520,0.999962,8.548994e-04
J = 0.1,0.1000,1.0e-03,1.013671,4.01056049e-03,103.1331,205.2025,0.999965,6.439832e-04
J = 0.1,0.1000,1.0e-03,1.020340,4.01055029e-03,103.7901,211.6948,0.999967,3.661612e-04
J = 0.1,0.1000,1.0e-03,1.027009,4.01054082e-03,104.0847,218.2944,0.999970,2.694067e-05
J = 0.1,0.1000,1.0e-03,1.033678,4.01053203e-03,103.9521,224.9489,0.999972,3.625270e-04
J = 0.1,0.1000,1.0e-03,1.040347,4.01052388e-03,103.3434,231.5930,0.999974,7.860380e-04
J = 0.1,0.1000,1.0e-03,1.047016,4.01051631e-03,102.2299,238.1575,0.999976,1.224053e-03
J = 0.1,0.1000,1.0e-03,1.053685,4.01050928e-03,100.6047,244.5804,0.999977,1.656177e-03
J = 0.1,0.1000,1.0e-03,1.060353,4.01050277e-03,98.4824,250.8183,0.999979,2.063630e-03
J = 0.1,0.1000,1.0e-03,1.067022,4.01049672e-03,95.8950,256.8549,0.999981,2.430968e-03
J = 0.1,0.1000,1.0e-03,1.073691,4.01049111e-03,92.8888,262.7063,0.999982,2.746591e-03
J = 0.1,0.1000,1.0e-03,1.080360,4.01048590e-03,89.5197,268.4220,0.999983,3.002057e-03
J = 0.1,0.1000,1.0e-03,1.087029,4.01048106e-03,85.8510,274.0834,0.999984,3.190563e-03
J = 0.1,0.1000,1.0e-03,1.093698,4.01047658e-03,81.9535,279.8003,0.999986,3.305041e-03
J = 0.1,0.1000,1.0e-03,1.100367,4.01047241e-03,77.9073,285.7060,0.999987,3.336361e-03
J = 0.1,0.1000,1.0e-03,1.107036,4.01046855e-03,73.8060,291.9511,0.999988,3.272087e-03
J = 0.1,0.1000,1.0e-03,1.113705,4.01046497e-03,69.7626,298.6940,0.999988,3.096409e-03
J = 0.1,0.1000,1.0e-03,1.120373,4.01046164e-03,65.9150,306.0857,0.999989,2.792140e-03
J = 0.1,0.1000,1.0e-03,1.127042,4.01045855e-03,62.4278,314.2452,0.999990,2.345813e-03
J = 0.1,0.1000,1.0e-03,1.133711,4.01045569e-03,59.4875,323.2246,0.999991,1.756428e-03
J = 0.1,0.1000,1.0e-03,1.140380,4.01045303e-03,57.2841,332.9676,0.999991,1.046059e-03
J = 0.1,0.1000,1.0e-03,1.147049,4.01045056e-03,55.9801,343.2812,0.999992,2.665171e-04
J = 0.1,0.1000,1.0e-03,1.153718,4.01044827e-03,55.6717,353.8472,0.999993,5.061670e-04
J = 0.1,0.1000,1.0e-03,1.160387,4.01044614e-03,56.3614,4.2884,0.999993,1.191971e-03
J = 0.1,0.1000,1.0e-03,1.167056,4.01044417e-03,57.9571,14.2657,0.999994,1.731677e-03
J = 0.1,0.1000,1.0e-03,1.173725,4.01044234e-03,60.2987,23.5529,0.999994,2.100598e-03
J = 0.1,0.1000,1.0e-03,1.180393,4.01044064e-03,63.1971,32.0587,0.999995,2.305510e-03
J = 0.1,0.1000,1.0e-03,1.187062,4.01043907e-03,66.4676,39.8039,0.999995,2.371869e-03
J = 0.1,0.1000,1.0e-03,1.193731,4.01043761e-03,69.9490,46.8811,0.999995,2.331043e-03
J = 0.1,0.1000,1.0e-03,1.200400,4.01043625e-03,73.5104,53.4186,0.999996,2.212307e-03
J = 0.1,0.1000,1.0e-03,1.207069,4.01043499e-03,77.0489,59.5552,0.999996,2.039608e-03
J = 0.1,0.1000,1.0e-03,1.213738,4.01043382e-03,80.4849,65.4254,0.999996,1.831378e-03
J = 0.1,0.1000,1.0e-03,1.220407,4.01043274e-03,83.7559,71.1517,0.999997,1.601739e-03
J = 0.1,0.1000,1.0e-03,1.227076,4.01043173e-03,86.8118,76.8398,0.999997,1.362108e-03
J = 0.1,0.1000,1.0e-03,1.233745,4.01043079e-03,89.6114,82.5771,0.999997,1.122647e-03
J = 0.1,0.1000,1.0e-03,1.240413,4.01042993e-03,92.1201,88.4313,0.999997,8.933031e-04
J = 0.1,0.1000,1.0e-03,1.247082,4.01042912e-03,94.3095,94.4497,0.999997,6.843188e-04
J = 0.1,0.1000,1.0e-03,1.253751,4.01042838e-03,96.1579,100.6599,0.999998,5.061422e-04
J = 0.1,0.1000,1.0e-03,1.260420,4.01042768e-03,97.6511,107.0703,0.999998,3.687503e-04
J = 0.1,0.1000,1.0e-03,1.267089,4.01042704e-03,98.7845,113.6732,0.999998,2.805085e-04
J = 0.1,0.1000,1.0e-03,1.273758,4.01042645e-03,99.5643,120.4477,0.999998,2.468019e-04
J = 0.1,0.1000,1.0e-03,1.280427,4.01042589e-03,100.0081,127.3645,0.999998,2.687676e-04
J = 0.1,0.1000,1.0e-03,1.287096,4.01042538e-03,100.1449,134.3902,0.999998,3.424528e-04
J = 0.1,0.1000,1.0e-03,1.293765,4.01042490e-03,100.0140,141.4922,0.999998,4.586287e-04
J = 0.1,0.1000,1.0e-03,1.300433,4.01042446e-03,99.6627,148.6413,0.999999,6.033162e-04
J = 0.1,0.1000,1.0e-03,1.307102,4.01042405e-03,99.1432,155.8139,0.999999,7.589219e-04
J = 0.1,0.1000,1.0e-03,1.313771,4.01042367e-03,98.5100,162.9922,0.999999,9.057828e-04
J = 0.1,0.1000,1.0e-03,1.320440,4.01042331e-03,97.8161,170.1631,0.999999,1.023900e-03
J = 0.1,0.1000,1.0e-03,1.327109,4.01042299e-03,97.1102,177.3173,0.999999,1.094678e-03
J = 0.1,0.1000,1.0e-03,1.333778,4.01042268e-03,96.4338,184.4470,0.999999,1.102521e-03
J = 0.1,0.1000,1.0e-03,1.340447,4.01042240e-03,95.8191,191.5446,0.999999,1.036178e-03
J = 0.1,0.1000,1.0e-03,1.347116,4.01042214e-03,95.2870,198.6025,0.999999,8.897064e-04
J = 0.1,0.1000,1.0e-03,1.353785,4.01042189e-03,94.8464,205.6120,0.999999,6.629781e-04
J = 0.1,0.1000,1.0e-03,1.360453,4.01042167e-03,94.4933,212.5641,0.999999,3.616470e-04
J = 0.1,0.1000,1.0e-03,1.367122,4.01042146e-03,94.2118,219.4499,0.999999,3.402835e-06
J = 0.1,0.1000,1.0e-03,1.373791,4.01042126e-03,93.9747,226.2611,0.999999,4.170486e-04
J = 0.1,0.1000,1.0e-03,1.380460,4.01042108e-03,93.7460,232.9909,0.999999,8.612086e-04
J = 0.1,0.1000,1.0e-03,1.387129,4.01042092e-03,93.4825,239.6333,0.999999,1.316239e-03
J = 0.1,0.1000,1.0e-03,1.393798,4.01042076e-03,93.1370,246.1842,1.000000,1.762289e-03
J = 0.1,0.1000,1.0e-03,1.400467,4.01042062e-03,92.6611,252.6404,1.000000,2.180499e-03
J = 0.1,0.1000,1.0e-03,1.407136,4.01042048e-03,92.0080,259.0010,1.000000,2.553958e-03
J = 0.1,0.1000,1.0e-03,1.413805,4.01042036e-03,91.1353,265.2674,1.000000,2.868380e-03
J = 0.1,0.1000,1.0e-03,1.420473,4.01042024e-03,90.0075,271.4456,1.000000,3.112445e-03
J = 0.1,0.1000,1.0e-03,1.427142,4.01042014e-03,88.5978,277.5484,1.000000,3.277789e-03
J = 0.1,0.1000,1.0e-03,1.433811,4.01042004e-03,86.8900,283.5984,1.000000,3.358650e-03
J = 0.1,0.1000,1.0e-03,1.440480,4.01041994e-03,84.8799,289.6309,1.000000,3.351207e-03
J = 0.1,0.1000,1.0e-03,1.447149,4.01041986e-03,82.5765,295.6976,1.000000,3.252755e-03
J = 0.1,0.1000,1.0e-03,1.453818,4.01041978e-03,80.0038,301.8684,1.000000,3.060930e-03
J = 0.1,0.1000,1.0e-03,1.460487,4.01041971e-03,77.2030,308.2330,1.000000,2.773254e-03
J = 0.1,0.1000,1.0e-03,1.467156,4.01041964e-03,74.2368,314.9003,1.000000,2.387423e-03
J = 0.1,0.1000,1.0e-03,1.473825,4.01041957e-03,71.1934,321.9933,1.000000,1.902799e-03
J = 0.1,0.1000,1.0e-03,1.480493,4.01041951e-03,68.1925,329.6397,1.000000,1.323607e-03
J = 0.1,0.1000,1.0e-03,1.487162,4.01041946e-03,65.3890,337.9515,1.000000,6.640236e-04
J = 0.1,0.1000,1.0e-03,1.493831,4.01041941e-03,62.9711,346.9947,1.000000,4.571581e-05
J = 0.1,0.1000,1.0e-03,1.500500,4.01041936e-03,61.1476,356.7486,1.000000,7.552045e-04
J = 0.1,0.1000,1.0e-03,1.507169,4.01041932e-03,60.1186,7.0698,1.000000,1.397053e-03
J = 0.1,0.1000,1.0e-03,1.513838,4.01041928e-03,60.0337,17.6868,1.000000,1.901631e-03
J = 0.1,0.1000,1.0e-03,1.520507,4.01041924e-03,60.9516,28.2468,1.000000,2.219712e-03
J = 0.1,0.1000,1.0e-03,1.527176,4.01041921e-03,62.8232,38.4061,1.000000,2.339643e-03
J = 0.1,0.1000,1.0e-03,1.533845,4.01041917e-03,65.5066,47.9158,1.000000,2.287079e-03
J = 0.1,0.1000,1.0e-03,1.540514,4.01041914e-03,68.8059,56.6623,1.000000,2.109422e-03
J = 0.1,0.1000,1.0e-03,1.547182,4.01041912e-03,72.5120,64.6560,1.000000,1.857381e-03
J = 0.1,0.1000,1.0e-03,1.553851,4.01041909e-03,76.4303,71.9918,1.000000,1.573264e-03
J = 0.1,0.1000,1.0e-03,1.560520,4.01041907e-03,80.3940,78.8083,1.000000,1.287414e-03
J = 0.1,0.1000,1.0e-03,1.567189,4.01041904e-03,84.2654,85.2551,1.000000,1.019681e-03
J = 0.1,0.1000,1.0e-03,1.573858,4.01041902e-03,87.9327,91.4715,1.000000,7.825654e-04
J = 0.1,0.1000,1.0e-03,1.580527,4.01041900e-03,91.3054,97.5734,1.000000,5.840611e-04
J = 0.1,0.1000,1.0e-03,1.587196,4.01041899e-03,94.3118,103.6455,1.000000,4.294601e-04
