beta0_deg,Id0_over_Is,Pe_min,J,mu_over_J,sigma,omega_e0,fate,omega_e_final,omega_e_tailmean,ripple,t_end_yr,reached_horizon,beta_final_deg,Id_final_over_Is,eps_beta_max,in_domain,omega_e_pred,rel_err_pred,alpha_rev_per_yr,beta_pole_min_deg,wall_s,error
15.00,0.7659,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.01041876e-03,4.01041876e-03,1.513940e-15,100.0000,1,44.1075,1.000000,2.696624e-03,1,4.01041876e-03,-8.651084e-15,4.575463,15.0000,9.61,
45.00,0.7659,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.01041876e-03,4.01041876e-03,1.189524e-14,100.0000,1,61.0850,1.000000,3.208970e-03,1,4.01041876e-03,-1.126804e-13,3.281880,38.5221,2.68,
75.00,0.7659,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.01041876e-03,4.01041876e-03,7.785976e-15,100.0000,1,102.5619,1.000000,3.363907e-03,1,4.01041876e-03,-6.380174e-14,2.815559,54.2275,2.25,
105.00,0.7659,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.01041876e-03,4.01041876e-03,4.758096e-15,100.0000,1,92.7274,1.000000,3.679212e-03,1,4.01041876e-03,-9.083638e-15,2.841339,57.3624,2.21,
135.00,0.7659,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.01041876e-03,4.01041876e-03,2.097888e-14,100.0000,1,98.9968,1.000000,3.975847e-03,1,4.01041876e-03,1.563683e-13,3.110250,33.0009,2.21,
165.00,0.7659,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.01041876e-03,4.01041876e-03,3.633455e-14,100.0000,1,140.4464,1.000000,2.554313e-03,1,4.01041876e-03,3.719966e-13,2.579812,1.1036,2.87,
15.00,0.7841,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.10549820e-03,4.10549820e-03,2.535220e-15,100.0000,1,35.8255,1.000000,2.781062e-03,1,4.10549820e-03,-3.845084e-14,4.058015,15.0000,3.32,
45.00,0.7841,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.10549820e-03,4.10549820e-03,1.267610e-14,100.0000,1,77.6509,1.000000,3.185139e-03,1,4.10549820e-03,-1.200004e-13,2.996910,43.4729,2.59,
75.00,0.7841,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.10549820e-03,4.10549820e-03,6.126781e-15,100.0000,1,80.9609,1.000000,3.183082e-03,1,4.10549820e-03,-2.746488e-15,2.790681,58.0531,2.44,
105.00,0.7841,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.10549820e-03,4.10549820e-03,2.091556e-14,100.0000,1,150.9653,1.000000,2.991852e-03,1,4.10549820e-03,1.761978e-13,3.145997,27.1017,2.26,
135.00,0.7841,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.10549820e-03,4.10549820e-03,2.661981e-14,100.0000,1,127.0913,1.000000,3.444444e-03,1,4.10549820e-03,2.866911e-13,3.500444,12.8366,2.46,
165.00,0.7841,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.10549820e-03,4.10549820e-03,3.422547e-14,100.0000,1,166.1632,1.000000,2.482851e-03,1,4.10549820e-03,3.287335e-13,3.703665,6.2919,2.59,
