beta0_deg,Id0_over_Is,Pe_min,J,mu_over_J,sigma,omega_e0,fate,omega_e_final,omega_e_tailmean,ripple,t_end_yr,reached_horizon,beta_final_deg,Id_final_over_Is,eps_beta_max,in_domain,omega_e_pred,rel_err_pred,alpha_rev_per_yr,beta_pole_min_deg,wall_s,error
15.00,0.8023,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.20057765e-03,4.20057765e-03,7.639993e-15,100.0000,1,48.8498,1.000000,2.770727e-03,1,4.20057765e-03,-7.041183e-14,3.777319,15.0000,3.13,
45.00,0.8023,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.20057765e-03,4.20057765e-03,1.424755e-14,100.0000,1,82.4668,1.000000,3.106035e-03,1,4.20057765e-03,-1.092313e-13,2.804169,45.0000,2.46,
75.00,0.8023,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.20057765e-03,4.20057765e-03,7.846479e-15,100.0000,1,115.5598,1.000000,3.126924e-03,1,4.20057765e-03,4.150375e-14,2.792974,50.7859,2.30,
105.00,0.8023,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.20057765e-03,4.20057765e-03,2.209403e-14,100.0000,1,155.3140,1.000000,2.668620e-03,1,4.20057765e-03,2.508809e-13,3.313620,18.6401,2.35,
135.00,0.8023,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.20057765e-03,4.20057765e-03,3.861294e-14,100.0000,1,179.4487,1.000000,2.585005e-03,1,4.20057765e-03,3.807607e-13,1.407140,0.4566,3.00,
165.00,0.8023,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.20057765e-03,4.20057765e-03,2.994051e-14,100.0000,1,123.8148,1.000000,2.530510e-03,1,4.20057765e-03,3.113813e-13,3.490129,10.9788,2.24,
15.00,0.8204,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.29565709e-03,4.29565709e-03,9.086218e-15,100.0000,1,47.5130,1.000000,2.719333e-03,1,4.29565709e-03,-6.239203e-14,3.601998,15.0000,2.81,
45.00,0.8204,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.29565709e-03,4.29565709e-03,1.554753e-14,100.0000,1,87.9968,1.000000,3.010731e-03,1,4.29565709e-03,-9.429475e-14,2.704428,45.0000,2.20,
75.00,0.8204,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.29565709e-03,4.29565709e-03,9.288134e-15,100.0000,1,81.5970,1.000000,2.962443e-03,1,4.29565709e-03,5.209432e-14,2.789947,45.5469,2.27,
105.00,0.8204,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.29565709e-03,4.29565709e-03,2.665291e-14,100.0000,1,121.2250,1.000000,2.471037e-03,1,4.29565709e-03,2.869226e-13,3.409523,11.2587,2.43,
135.00,0.8204,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.29565709e-03,4.29565709e-03,4.785408e-14,100.0000,1,164.5814,1.000000,1.918797e-03,1,4.29565709e-03,4.676374e-13,0.509843,0.3904,2.39,
165.00,0.8204,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.29565709e-03,4.29565709e-03,2.887398e-14,100.0000,1,124.0238,1.000000,2.496619e-03,1,4.29565709e-03,2.794517e-13,3.369114,12.6428,2.19,
15.00,0.8386,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.39073654e-03,4.39073654e-03,7.309112e-15,100.0000,1,58.5607,1.000000,2.662423e-03,1,4.39073654e-03,-7.921497e-14,3.474532,15.0000,2.74,
45.00,0.8386,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.39073654e-03,4.39073654e-03,1.066735e-14,100.0000,1,86.4833,1.000000,2.946687e-03,1,4.39073654e-03,-7.467147e-14,2.633134,45.0000,2.13,
75.00,0.8386,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.39073654e-03,4.39073654e-03,1.046981e-14,100.0000,1,137.4013,1.000000,2.882726e-03,1,4.39073654e-03,9.659880e-14,2.775365,41.4387,2.07,
105.00,0.8386,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.39073654e-03,4.39073654e-03,3.121188e-14,100.0000,1,170.1209,1.000000,2.278358e-03,1,4.39073654e-03,3.050073e-13,3.415297,7.6801,2.41,
135.00,0.8386,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.39073654e-03,4.39073654e-03,4.820063e-14,100.0000,1,160.9756,1.000000,1.933841e-03,1,4.39073654e-03,4.446706e-13,0.550462,1.3595,2.26,
165.00,0.8386,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.39073654e-03,4.39073654e-03,2.133470e-14,100.0000,1,112.9419,1.000000,2.506201e-03,1,4.39073654e-03,2.581894e-13,3.199583,15.0000,2.22,
15.00,0.8567,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.48581598e-03,4.48581598e-03,9.474469e-15,100.0000,1,56.1707,1.000000,2.586309e-03,1,4.48581598e-03,-6.825485e-14,3.393605,15.0000,2.66,
45.00,0.8567,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.48581598e-03,4.48581598e-03,1.140803e-14,100.0000,1,68.2800,1.000000,2.862551e-03,1,4.48581598e-03,-9.126427e-14,2.578246,45.0000,1.95,
75.00,0.8567,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.48581598e-03,4.48581598e-03,4.447200e-15,100.0000,1,133.5611,1.000000,2.791009e-03,1,4.48581598e-03,8.797721e-14,2.744210,39.6173,2.01,
105.00,0.8567,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.48581598e-03,4.48581598e-03,2.977690e-14,100.0000,1,169.9537,1.000000,2.292642e-03,1,4.48581598e-03,2.929351e-13,3.344300,7.0497,2.45,
135.00,0.8567,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.48581598e-03,4.48581598e-03,3.422410e-14,100.0000,1,156.2831,1.000000,1.904876e-03,1,4.48581598e-03,3.567428e-13,1.060770,7.0833,2.35,
165.00,0.8567,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.48581598e-03,4.48581598e-03,2.126922e-14,100.0000,1,107.6141,1.000000,2.658862e-03,1,4.48581598e-03,2.007041e-13,2.990063,15.0000,2.11,
15.00,0.8749,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.58089543e-03,4.58089543e-03,4.922925e-15,100.0000,1,58.4257,1.000000,2.502350e-03,1,4.58089543e-03,-6.380868e-14,3.354542,15.0000,2.91,
45.00,0.8749,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.58089543e-03,4.58089543e-03,9.467164e-15,100.0000,1,103.3283,1.000000,2.779487e-03,1,4.58089543e-03,-7.422256e-14,2.536159,45.0000,2.04,
75.00,0.8749,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.58089543e-03,4.58089543e-03,5.301612e-15,100.0000,1,84.0373,1.000000,2.694026e-03,1,4.58089543e-03,8.842331e-14,2.699663,39.0880,2.02,
105.00,0.8749,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.58089543e-03,4.58089543e-03,2.480397e-14,100.0000,1,135.4385,1.000000,2.238054e-03,1,4.58089543e-03,2.662166e-13,3.230703,8.1893,2.19,
135.00,0.8749,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.58089543e-03,4.58089543e-03,3.237770e-14,100.0000,1,172.2101,1.000000,2.011765e-03,1,4.58089543e-03,3.336228e-13,1.512213,1.5150,2.72,
165.00,0.8749,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.58089543e-03,4.58089543e-03,2.328922e-14,100.0000,1,123.4967,1.000000,2.457224e-03,1,4.58089543e-03,2.302414e-13,2.990794,15.0000,2.09,
15.00,0.8930,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.67597488e-03,4.67597488e-03,6.677757e-15,100.0000,1,57.5249,1.000000,2.400237e-03,1,4.67597488e-03,-5.509149e-14,3.364754,15.0000,2.70,
45.00,0.8930,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.67597488e-03,4.67597488e-03,7.419730e-15,100.0000,1,80.1791,1.000000,2.698362e-03,1,4.67597488e-03,-6.418066e-14,2.507613,45.0000,2.07,
75.00,0.8930,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.67597488e-03,4.67597488e-03,8.532689e-15,100.0000,1,139.6026,1.000000,2.646454e-03,1,4.67597488e-03,8.365745e-14,2.646009,40.1248,1.94,
105.00,0.8930,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.67597488e-03,4.67597488e-03,2.522708e-14,100.0000,1,136.4460,1.000000,2.344470e-03,1,4.67597488e-03,2.283422e-13,2.998588,9.1676,2.03,
135.00,0.8930,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.67597488e-03,4.67597488e-03,3.876809e-14,100.0000,1,140.6686,1.000000,2.013156e-03,1,4.67597488e-03,3.383397e-13,1.659176,1.1496,3.02,
165.00,0.8930,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.67597488e-03,4.67597488e-03,2.207370e-14,100.0000,1,154.0780,1.000000,2.372567e-03,1,4.67597488e-03,2.368749e-13,2.993391,15.0000,2.10,
15.00,0.9112,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.77105432e-03,4.77105432e-03,4.363120e-15,100.0000,1,57.3333,1.000000,2.285863e-03,1,4.77105432e-03,-2.472435e-14,3.435661,15.0000,2.97,
45.00,0.9112,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.77105432e-03,4.77105432e-03,5.999290e-15,100.0000,1,77.5641,1.000000,2.613045e-03,1,4.77105432e-03,-7.453663e-14,2.482079,45.0000,2.15,
75.00,0.9112,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.77105432e-03,4.77105432e-03,8.726240e-15,100.0000,1,128.5294,1.000000,2.580357e-03,1,4.77105432e-03,2.181560e-14,2.587176,41.9899,2.30,
105.00,0.9112,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.77105432e-03,4.77105432e-03,1.290756e-14,100.0000,1,159.4164,1.000000,2.288382e-03,1,4.77105432e-03,9.253450e-14,2.995868,4.4604,2.46,
135.00,0.9112,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.77105432e-03,4.77105432e-03,1.327116e-14,100.0000,1,140.5370,1.000000,1.976477e-03,1,4.77105432e-03,1.305300e-13,1.499161,0.7739,2.93,
165.00,0.9112,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.77105432e-03,4.77105432e-03,1.272577e-14,100.0000,1,148.3795,1.000000,2.254176e-03,1,4.77105432e-03,9.507965e-14,2.991833,11.9343,2.20,
15.00,0.9364,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.90311917e-03,4.90311917e-03,1.769000e-15,100.0000,1,45.5017,1.000000,2.105264e-03,1,4.90311917e-03,-8.491200e-15,3.644552,15.0000,3.11,
45.00,0.9364,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.90311917e-03,4.90311917e-03,4.953200e-15,100.0000,1,68.4159,1.000000,2.462784e-03,1,4.90311917e-03,-6.792960e-14,2.501779,41.1183,2.07,
75.00,0.9364,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.90311917e-03,4.90311917e-03,2.476600e-15,100.0000,1,89.8948,1.000000,2.514079e-03,1,4.90311917e-03,1.963590e-14,2.498406,46.8072,1.96,
105.00,0.9364,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.90311917e-03,4.90311917e-03,1.043710e-14,100.0000,1,112.8838,1.000000,2.275171e-03,1,4.90311917e-03,9.251870e-14,2.799277,14.2997,1.95,
135.00,0.9364,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.90311917e-03,4.90311917e-03,1.362130e-14,100.0000,1,164.6442,1.000000,1.793426e-03,1,4.90311917e-03,1.250683e-13,0.839081,0.6186,2.25,
165.00,0.9364,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.90311917e-03,4.90311917e-03,1.202920e-14,100.0000,1,133.9941,1.000000,1.980128e-03,1,4.90311917e-03,1.395741e-13,2.329190,0.3904,2.79,
15.00,0.9435,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.94010456e-03,4.94010456e-03,1.580180e-15,100.0000,1,24.4277,1.000000,2.061354e-03,1,4.94010456e-03,-6.496297e-15,3.671028,13.9401,2.85,
45.00,0.9435,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.94010456e-03,4.94010456e-03,8.427628e-15,100.0000,1,51.7975,1.000000,2.458845e-03,1,4.94010456e-03,-7.145926e-14,2.498765,40.3217,1.88,
75.00,0.9435,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.94010456e-03,4.94010456e-03,3.687087e-15,100.0000,1,99.8043,1.000000,2.483729e-03,1,4.94010456e-03,2.932112e-14,2.498213,43.4514,1.76,
105.00,0.9435,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.94010456e-03,4.94010456e-03,1.106126e-14,100.0000,1,107.1155,1.000000,2.245681e-03,1,4.94010456e-03,7.848229e-14,2.779789,13.8230,1.95,
135.00,0.9435,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.94010456e-03,4.94010456e-03,1.404605e-14,100.0000,1,143.4446,1.000000,1.780165e-03,1,4.94010456e-03,1.306282e-13,0.809833,1.8121,2.22,
165.00,0.9435,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.94010456e-03,4.94010456e-03,1.650410e-14,100.0000,1,143.5097,1.000000,1.886169e-03,1,4.94010456e-03,1.423918e-13,1.159044,2.7427,2.53,
15.00,0.9506,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.97708996e-03,4.97708996e-03,1.742709e-15,100.0000,1,45.5517,1.000000,2.022061e-03,1,4.97708996e-03,-4.531042e-15,3.685407,12.8276,3.21,
45.00,0.9506,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.97708996e-03,4.97708996e-03,7.842189e-15,100.0000,1,51.7996,1.000000,2.426410e-03,1,4.97708996e-03,-5.576667e-14,2.500778,39.6347,2.04,
75.00,0.9506,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.97708996e-03,4.97708996e-03,3.833959e-15,100.0000,1,124.7401,1.000000,2.460683e-03,1,4.97708996e-03,2.631490e-14,2.473873,45.1474,1.93,
105.00,0.9506,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.97708996e-03,4.97708996e-03,5.576667e-15,100.0000,1,111.9774,1.000000,2.212679e-03,1,4.97708996e-03,8.016459e-14,2.759283,14.0871,1.94,
135.00,0.9506,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.97708996e-03,4.97708996e-03,1.446448e-14,100.0000,1,145.0067,1.000000,1.758873e-03,1,4.97708996e-03,1.362798e-13,0.819475,1.4804,2.24,
165.00,0.9506,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,4.97708996e-03,4.97708996e-03,1.289604e-14,100.0000,1,138.1842,1.000000,1.834768e-03,1,4.97708996e-03,1.232095e-13,1.039978,0.9447,2.32,
15.00,0.9576,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.01407536e-03,5.01407536e-03,1.556868e-15,100.0000,1,38.5924,1.000000,1.993074e-03,1,5.01407536e-03,-9.341211e-15,3.693605,12.1822,3.01,
45.00,0.9576,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.01407536e-03,5.01407536e-03,3.632693e-15,100.0000,1,64.8536,1.000000,2.392330e-03,1,5.01407536e-03,-5.293353e-14,2.501989,39.1273,1.84,
75.00,0.9576,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.01407536e-03,5.01407536e-03,4.324635e-15,100.0000,1,79.1327,1.000000,2.433383e-03,1,5.01407536e-03,1.972033e-14,2.458894,45.4236,1.76,
105.00,0.9576,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.01407536e-03,5.01407536e-03,9.168225e-15,100.0000,1,145.6609,1.000000,2.194288e-03,1,5.01407536e-03,9.496897e-14,2.737930,14.3029,1.76,
135.00,0.9576,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.01407536e-03,5.01407536e-03,1.245495e-14,100.0000,1,170.9007,1.000000,1.715072e-03,1,5.01407536e-03,1.197059e-13,0.820475,0.5955,2.08,
165.00,0.9576,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.01407536e-03,5.01407536e-03,1.089808e-14,100.0000,1,154.1983,1.000000,1.802599e-03,1,5.01407536e-03,1.257604e-13,0.920786,0.6448,2.15,
15.00,0.9647,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.05106076e-03,5.05106076e-03,2.060625e-15,100.0000,1,43.7436,1.000000,1.957771e-03,1,5.05106076e-03,-4.464687e-15,3.695460,11.5011,2.82,
45.00,0.9647,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.05106076e-03,5.05106076e-03,4.979843e-15,100.0000,1,58.8710,1.000000,2.367860e-03,1,5.05106076e-03,-4.670749e-14,2.501574,38.1016,1.84,
75.00,0.9647,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.05106076e-03,5.05106076e-03,2.919218e-15,100.0000,1,134.5301,1.000000,2.406528e-03,1,5.05106076e-03,9.101093e-15,2.445600,45.4699,1.65,
105.00,0.9647,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.05106076e-03,5.05106076e-03,9.787968e-15,100.0000,1,141.7562,1.000000,2.175166e-03,1,5.05106076e-03,8.534421e-14,2.718120,14.5967,1.75,
135.00,0.9647,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.05106076e-03,5.05106076e-03,1.236375e-14,100.0000,1,146.6058,1.000000,1.773314e-03,1,5.05106076e-03,1.179708e-13,0.839254,2.0504,1.93,
165.00,0.9647,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.05106076e-03,5.05106076e-03,1.219203e-14,100.0000,1,147.8598,1.000000,1.754499e-03,1,5.05106076e-03,1.246678e-13,0.839236,1.9097,2.06,
15.00,0.9717,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.08804616e-03,5.08804616e-03,1.022823e-15,100.0000,1,39.8273,1.000000,1.932956e-03,1,5.08804616e-03,-2.897998e-15,3.694359,10.4655,2.76,
45.00,0.9717,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.08804616e-03,5.08804616e-03,4.773174e-15,100.0000,1,48.9425,1.000000,2.325237e-03,1,5.08804616e-03,-5.216397e-14,2.498751,37.9630,2.00,
75.00,0.9717,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.08804616e-03,5.08804616e-03,3.920821e-15,100.0000,1,117.2972,1.000000,2.384657e-03,1,5.08804616e-03,7.330231e-15,2.432784,45.2628,1.60,
105.00,0.9717,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.08804616e-03,5.08804616e-03,7.159761e-15,100.0000,1,136.6080,1.000000,2.146873e-03,1,5.08804616e-03,8.216678e-14,2.698327,14.4167,1.82,
135.00,0.9717,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.08804616e-03,5.08804616e-03,1.448999e-14,100.0000,1,150.9455,1.000000,1.774788e-03,1,5.08804616e-03,1.302395e-13,0.859054,2.9297,1.92,
165.00,0.9717,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.08804616e-03,5.08804616e-03,1.772893e-14,100.0000,1,147.6923,1.000000,1.734176e-03,1,5.08804616e-03,1.437066e-13,0.769317,4.3711,1.96,
15.00,0.9788,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.12503156e-03,5.12503156e-03,8.462014e-16,100.0000,1,17.7662,1.000000,1.905079e-03,1,5.12503156e-03,1.353922e-15,3.688923,9.5642,2.83,
45.00,0.9788,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.12503156e-03,5.12503156e-03,5.923410e-15,100.0000,1,50.0072,1.000000,2.316146e-03,1,5.12503156e-03,-4.958740e-14,2.478609,37.3432,1.86,
75.00,0.9788,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.12503156e-03,5.12503156e-03,8.123533e-15,100.0000,1,90.3210,1.000000,2.355720e-03,1,5.12503156e-03,2.453984e-14,2.421037,44.8785,1.61,
105.00,0.9788,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.12503156e-03,5.12503156e-03,1.269302e-14,100.0000,1,123.4327,1.000000,2.077465e-03,1,5.12503156e-03,8.326621e-14,2.668658,14.4925,1.72,
135.00,0.9788,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.12503156e-03,5.12503156e-03,1.540086e-14,100.0000,1,136.8162,1.000000,1.811177e-03,1,5.12503156e-03,1.343768e-13,0.929528,1.9122,2.11,
165.00,0.9788,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.12503156e-03,5.12503156e-03,1.540086e-14,100.0000,1,168.0805,1.000000,1.685732e-03,1,5.12503156e-03,1.507931e-13,0.690275,1.0778,1.78,
15.00,0.9859,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.16201696e-03,5.16201696e-03,1.344221e-15,100.0000,1,32.5397,1.000000,1.877254e-03,1,5.16201696e-03,2.184360e-15,3.682987,9.5572,2.90,
45.00,0.9859,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.16201696e-03,5.16201696e-03,9.577578e-15,100.0000,1,70.0565,1.000000,2.290981e-03,1,5.16201696e-03,-4.671170e-14,2.467385,37.0810,1.86,
75.00,0.9859,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.16201696e-03,5.16201696e-03,4.704775e-15,100.0000,1,73.8823,1.000000,2.336035e-03,1,5.16201696e-03,3.965453e-14,2.409507,44.6631,1.74,
105.00,0.9859,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.16201696e-03,5.16201696e-03,8.569412e-15,100.0000,1,140.3350,1.000000,2.077648e-03,1,5.16201696e-03,9.006284e-14,2.668207,13.3948,1.62,
135.00,0.9859,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.16201696e-03,5.16201696e-03,1.478644e-14,100.0000,1,157.9463,1.000000,1.917038e-03,1,5.16201696e-03,1.330779e-13,1.588715,1.9110,2.03,
165.00,0.9859,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.16201696e-03,5.16201696e-03,1.529052e-14,100.0000,1,150.3117,1.000000,1.663201e-03,1,5.16201696e-03,1.655073e-13,0.639338,2.3569,1.83,
15.00,0.9929,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.19900236e-03,5.19900236e-03,1.167826e-15,100.0000,1,35.6984,1.000000,1.858023e-03,1,5.19900236e-03,5.004970e-15,3.673727,8.7074,3.10,
45.00,0.9929,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.19900236e-03,5.19900236e-03,5.672300e-15,100.0000,1,75.4269,1.000000,2.265535e-03,1,5.19900236e-03,-4.304274e-14,2.457123,36.7415,1.80,
75.00,0.9929,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.19900236e-03,5.19900236e-03,4.504473e-15,100.0000,1,86.6825,1.000000,2.315844e-03,1,5.19900236e-03,3.520162e-14,2.398500,44.4485,1.76,
105.00,0.9929,20.0,0.1000,1.0e-03,-1,5.23598776e-03,equilibrium,5.19900236e-03,5.19900236e-03,7.841120e-15,100.0000,1,145.4062,1.000000,2.085106e-03,1,5.19900236e-03,7.791070e-14,2.647960,14.2088,1.61,
