label,J,mu_over_J,t_yr,omega_e,beta_deg,alpha_deg,Id_over_Is,eps_beta
J = 0.1,0.1000,1.0e-03,0.000000,5.23598776e-03,75.0000,0.0000,0.765934,6.947704e-04
J = 0.1,0.1000,1.0e-03,0.006667,5.22332581e-03,73.5095,7.2184,0.767790,6.777590e-04
J = 0.1,0.1000,1.0e-03,0.013334,5.20958430e-03,72.1151,14.5603,0.769816,6.024323e-04
J = 0.1,0.1000,1.0e-03,0.020001,5.19470783e-03,70.9382,22.0321,0.772020,4.664665e-04
J = 0.1,0.1000,1.0e-03,0.026668,5.17864555e-03,70.0960,29.6195,0.774415,2.725248e-04
J = 0.1,0.1000,1.0e-03,0.033336,5.16135278e-03,69.6910,37.2829,0.777009,2.877069e-05
J = 0.1,0.1000,1.0e-03,0.040003,5.14279286e-03,69.8010,44.9583,0.779813,2.513836e-04
J = 0.1,0.1000,1.0e-03,0.046670,5.12293913e-03,70.4715,52.5650,0.782836,5.505913e-04
J = 0.1,0.1000,1.0e-03,0.053337,5.10177688e-03,71.7112,60.0197,0.786083,8.498356e-04
J = 0.1,0.1000,1.0e-03,0.060004,5.07930537e-03,73.4934,67.2506,0.789560,1.131048e-03
J = 0.1,0.1000,1.0e-03,0.066671,5.05553966e-03,75.7606,74.2097,0.793272,1.379293e-03
J = 0.1,0.1000,1.0e-03,0.073338,5.03051229e-03,78.4331,80.8779,0.797219,1.583964e-03
J = 0.1,0.1000,1.0e-03,0.080005,5.00427459e-03,81.4181,87.2645,0.801399,1.738936e-03
J = 0.1,0.1000,1.0e-03,0.086672,4.97689758e-03,84.6171,93.4015,0.805807,1.841978e-03
J = 0.1,0.1000,1.0e-03,0.093340,4.94847232e-03,87.9328,99.3360,0.810436,1.893843e-03
J = 0.1,0.1000,1.0e-03,0.100007,4.91910959e-03,91.2733,105.1229,0.815273,1.897395e-03
J = 0.1,0.1000,1.0e-03,0.106674,4.88893896e-03,94.5552,110.8171,0.820305,1.856916e-03
J = 0.1,0.1000,1.0e-03,0.113341,4.85810706e-03,97.7052,116.4686,0.825511,1.777660e-03
J = 0.1,0.1000,1.0e-03,0.120008,4.82677519e-03,100.6616,122.1175,0.830869,1.665589e-03
J = 0.1,0.1000,1.0e-03,0.126675,4.79511633e-03,103.3746,127.7910,0.836355,1.527207e-03
J = 0.1,0.1000,1.0e-03,0.133342,4.76331158e-03,105.8073,133.5025,0.841939,1.369397e-03
J = 0.1,0.1000,1.0e-03,0.140009,4.73154629e-03,107.9355,139.2511,0.847592,1.199181e-03
J = 0.1,0.1000,1.0e-03,0.146676,4.70000597e-03,109.7472,145.0231,0.853280,1.023376e-03
J = 0.1,0.1000,1.0e-03,0.153344,4.66887225e-03,111.2424,150.7948,0.858969,8.481509e-04
J = 0.1,0.1000,1.0e-03,0.160011,4.63831905e-03,112.4307,156.5360,0.864628,6.785767e-04
