case_id,block,backend,ic_id,alpha0_deg,beta0_deg,Pe_min,Id0_over_Is,band0,band_frac0,d_sep0,J,mu_over_J,sigma,omega_e0,fate,omega_e_final,omega_e_tailmean,omega_e_peak,omega_e_min,ripple,t_end_yr,reached_horizon,alpha_final_deg,beta_final_deg,Id_final_over_Is,regime_final,n_sep_crossings,min_d_separatrix,eps_beta_max,in_domain,t_eps_exit_yr,timed_out,wall_s,error
1,backend,numeric,2,264.884,103.874,118.132,0.367820,LAM,0.1357,0.818298,1.8000,1.0e-03,-1,8.86467479e-04,cycling,5.01292619e-03,7.34025072e-03,1.31199187e-02,8.21012214e-04,5.465017e-01,100.0000,1,351.699,120.2318,0.969791,SAM,1,3.238777e-03,1.875248e-02,1,NaN,0,637.26,
2,backend,numeric,5,108.291,94.232,44.569,0.965129,SAM,0.0972,0.005179,10.0000,1.0e-03,-1,2.34962900e-03,incomplete,1.77062907e-03,1.95593937e-03,2.34962900e-03,1.60315266e-03,3.166402e-01,55.1393,0,14.008,114.0127,0.966614,SAM,0,5.178643e-03,1.435934e-01,1,NaN,1,900.33,
3,backend,numeric,9,285.293,97.441,243.979,0.794765,LAM,0.7574,0.229692,0.1000,1.0e-03,-1,4.29216554e-04,cycling,1.17917822e-01,1.87511812e-01,3.26706753e-01,4.29216554e-04,1.286305e+00,100.0000,1,319.201,145.5221,0.980665,SAM,31,5.609265e-05,9.064800e-02,1,NaN,0,177.19,
4,backend,numeric,12,142.217,85.601,33.409,0.997980,SAM,0.9477,0.050469,1.8000,1.0e-03,-1,3.13452034e-03,cycling,8.07545663e-03,7.35133301e-03,1.70747243e-02,3.01229346e-03,5.439723e-01,100.0000,1,63.057,111.0406,0.968282,SAM,0,2.678946e-03,1.670928e-02,1,NaN,0,730.85,
5,backend,numeric,15,188.236,52.272,70.510,0.989515,SAM,0.7286,0.038798,10.0000,1.0e-03,-1,1.48518321e-03,incomplete,1.93037454e-03,1.95698260e-03,4.06436719e-03,1.15940017e-03,3.113352e-01,37.2562,0,142.899,114.0744,0.972712,SAM,2,5.455059e-03,1.438699e-01,1,NaN,1,900.03,
6,backend,numeric,19,277.155,83.403,82.486,0.986153,SAM,0.6415,0.034163,0.1000,1.0e-03,-1,1.26955086e-03,spinup,9.99999999e-01,9.04881717e-01,9.99999999e-01,8.57070383e-04,2.197504e-01,5.8719,0,179.511,88.4544,0.999981,SAM,6,3.560151e-04,1.519306e-01,1,NaN,0,15.42,
7,backend,numeric,22,212.313,42.678,353.215,0.987714,SAM,0.6819,0.036316,1.8000,1.0e-03,-1,2.96476303e-04,cycling,7.20681706e-03,7.35497387e-03,1.65306748e-02,2.96476303e-04,5.435988e-01,100.0000,1,38.511,110.4866,0.964853,SAM,2,3.155299e-03,3.098246e+00,0,0.0000,0,642.39,
8,backend,numeric,25,342.489,158.377,139.179,0.964143,SAM,0.0717,0.003820,10.0000,1.0e-03,-1,7.52408181e-04,incomplete,1.90732877e-03,1.95770696e-03,3.04356962e-03,7.52408181e-04,3.105543e-01,41.1116,0,128.923,114.4560,0.972801,SAM,0,3.819755e-03,2.201853e-01,1,NaN,1,900.05,
9,backend,numeric,29,95.184,88.675,252.734,0.981556,SAM,0.5225,0.027825,0.1000,1.0e-03,-1,4.14348203e-04,cycling,1.33420812e-01,1.78405272e-01,3.26885277e-01,4.14348203e-04,1.343037e+00,100.0000,1,331.176,93.4643,0.974429,SAM,28,6.986321e-06,2.218325e+00,0,0.0000,0,127.38,
10,backend,numeric,32,138.125,104.482,301.435,0.597148,LAM,0.4696,0.502136,1.8000,1.0e-03,-1,3.47403647e-04,cycling,7.89166778e-03,7.34979773e-03,1.11155679e-02,3.47403647e-04,5.466494e-01,100.0000,1,196.407,114.9959,0.968211,SAM,1,2.704335e-03,1.788714e-02,1,NaN,0,735.41,
11,backend,numeric,35,325.722,143.296,375.761,0.579000,LAM,0.4432,0.527156,10.0000,1.0e-03,-1,2.78687292e-04,incomplete,2.14858978e-03,1.95430018e-03,2.57370765e-03,2.78687292e-04,2.998849e-01,44.3308,0,90.944,112.2860,0.969590,SAM,1,5.486389e-03,5.255411e-01,1,NaN,1,900.01,
12,backend,numeric,39,42.169,129.978,174.289,0.787762,LAM,0.7472,0.239347,0.1000,1.0e-03,-1,6.00838169e-04,spinup,9.99999951e-01,8.97303819e-01,9.99999951e-01,6.00838169e-04,2.013323e-01,11.0164,0,11.789,61.6668,1.000000,SAM,9,3.240306e-03,1.473996e-01,1,NaN,0,18.04,
13,backend,numeric,42,65.738,72.619,100.873,0.990849,SAM,0.7631,0.040638,1.8000,1.0e-03,-1,1.03812990e-03,cycling,7.37749324e-03,7.35439629e-03,1.66002854e-02,1.03812990e-03,5.464292e-01,100.0000,1,41.813,110.2640,0.965293,SAM,0,3.482436e-04,1.481069e-01,1,NaN,0,399.28,
14,backend,numeric,45,39.593,46.980,75.930,0.702714,LAM,0.6233,0.356599,10.0000,1.0e-03,-1,1.37916690e-03,incomplete,2.01774587e-03,1.96020491e-03,2.63077129e-03,1.37916690e-03,3.130710e-01,98.4318,0,330.841,112.7080,0.973851,SAM,1,5.466491e-03,1.440128e-01,1,NaN,1,900.01,
