label,J,mu_over_J,t_yr,omega_e,beta_deg,alpha_deg,Id_over_Is,eps_beta
J = 0.1,0.1000,1.0e-03,0.173345,1.76854532e-02,108.2252,190.6543,0.961926,2.827386e-04
J = 0.1,0.1000,1.0e-03,0.180012,1.96989359e-02,108.5054,196.8410,0.961615,7.912775e-05
J = 0.1,0.1000,1.0e-03,0.186679,2.19476543e-02,107.4471,202.0992,0.961489,2.758927e-04
J = 0.1,0.1000,1.0e-03,0.193346,2.41325124e-02,106.1130,206.7252,0.961537,1.947971e-04
J = 0.1,0.1000,1.0e-03,0.200013,2.60640412e-02,105.3080,211.0899,0.961690,8.025050e-05
J = 0.1,0.1000,1.0e-03,0.206680,2.77817267e-02,105.0231,215.3171,0.961885,1.907868e-05
J = 0.1,0.1000,1.0e-03,0.213348,2.93556540e-02,105.0645,219.4347,0.962082,6.386402e-06
J = 0.1,0.1000,1.0e-03,0.220015,3.08344108e-02,105.2700,223.4473,0.962259,1.242290e-05
J = 0.1,0.1000,1.0e-03,0.226682,3.22480916e-02,105.5286,227.3518,0.962410,8.615423e-06
J = 0.1,0.1000,1.0e-03,0.233349,3.36145052e-02,105.7711,231.1431,0.962536,4.990392e-07
J = 0.1,0.1000,1.0e-03,0.240016,3.49433357e-02,105.9606,234.8167,0.962644,8.741560e-06
J = 0.1,0.1000,1.0e-03,0.246683,3.62387985e-02,106.0822,238.3702,0.962740,1.734139e-05
J = 0.1,0.1000,1.0e-03,0.253350,3.75015009e-02,106.1362,241.8035,0.962832,2.441932e-05
J = 0.1,0.1000,1.0e-03,0.260017,3.87298736e-02,106.1313,245.1191,0.962926,2.964699e-05
J = 0.1,0.1000,1.0e-03,0.266684,3.99212980e-02,106.0812,248.3215,0.963025,3.303133e-05
J = 0.1,0.1000,1.0e-03,0.273352,4.10729544e-02,106.0008,251.4164,0.963133,3.476683e-05
J = 0.1,0.1000,1.0e-03,0.280019,4.21823971e-02,105.9045,254.4107,0.963251,3.513507e-05
J = 0.1,0.1000,1.0e-03,0.286686,4.32478815e-02,105.8055,257.3113,0.963378,3.443919e-05
J = 0.1,0.1000,1.0e-03,0.293353,4.42684909e-02,105.7142,260.1251,0.963514,3.296463e-05
J = 0.1,0.1000,1.0e-03,0.300020,4.52441215e-02,105.6392,262.8590,0.963659,3.095881e-05
J = 0.1,0.1000,1.0e-03,0.306687,4.61753837e-02,105.5863,265.5188,0.963809,2.862381e-05
J = 0.1,0.1000,1.0e-03,0.313354,4.70634659e-02,105.5596,268.1101,0.963964,2.611682e-05
J = 0.1,0.1000,1.0e-03,0.320021,4.79099948e-02,105.5612,270.6377,0.964121,2.355487e-05
J = 0.1,0.1000,1.0e-03,0.326688,4.87169108e-02,105.5917,273.1056,0.964278,2.102127e-05
J = 0.1,0.1000,1.0e-03,0.333356,4.94863683e-02,105.6509,275.5174,0.964433,1.857234e-05
J = 0.1,0.1000,1.0e-03,0.340023,5.02206624e-02,105.7372,277.8759,0.964584,1.624365e-05
J = 0.1,0.1000,1.0e-03,0.346690,5.09221788e-02,105.8487,280.1836,0.964729,1.405531e-05
J = 0.1,0.1000,1.0e-03,0.353357,5.15933637e-02,105.9830,282.4422,0.964866,1.201634e-05
J = 0.1,0.1000,1.0e-03,0.360024,5.22367066e-02,106.1373,284.6534,0.964995,1.012812e-05
J = 0.1,0.1000,1.0e-03,0.366691,5.28547322e-02,106.3088,286.8184,0.965113,8.387004e-06
J = 0.1,0.1000,1.0e-03,0.373358,5.34499977e-02,106.4945,288.9380,0.965221,6.786310e-06
J = 0.1,0.1000,1.0e-03,0.380025,5.40250911e-02,106.6916,291.0129,0.965316,5.317671e-06
J = 0.1,0.1000,1.0e-03,0.386692,5.45826287e-02,106.8973,293.0438,0.965400,3.972028e-06
J = 0.1,0.1000,1.0e-03,0.393360,5.51252510e-02,107.1089,295.0309,0.965470,2.740253e-06
J = 0.1,0.1000,1.0e-03,0.400027,5.56556151e-02,107.3238,296.9744,0.965528,1.613526e-06
J = 0.1,0.1000,1.0e-03,0.406694,5.61763834e-02,107.5398,298.8747,0.965572,5.835276e-07
J = 0.1,0.1000,1.0e-03,0.413361,5.66902090e-02,107.7547,300.7319,0.965604,3.574918e-07
J = 0.1,0.1000,1.0e-03,0.420028,5.71997182e-02,107.9665,302.5460,0.965624,1.216734e-06
J = 0.1,0.1000,1.0e-03,0.426695,5.77074900e-02,108.1735,304.3172,0.965632,2.000924e-06
J = 0.1,0.1000,1.0e-03,0.433362,5.82160327e-02,108.3742,306.0456,0.965628,2.716398e-06
J = 0.1,0.1000,1.0e-03,0.440029,5.87277610e-02,108.5672,307.7313,0.965614,3.369204e-06
J = 0.1,0.1000,1.0e-03,0.446696,5.92449714e-02,108.7514,309.3747,0.965590,3.965190e-06
J = 0.1,0.1000,1.0e-03,0.453364,5.97698183e-02,108.9261,310.9758,0.965558,4.510060e-06
J = 0.1,0.1000,1.0e-03,0.460031,6.03042920e-02,109.0905,312.5350,0.965518,5.009412e-06
J = 0.1,0.1000,1.0e-03,0.466698,6.08501993e-02,109.2443,314.0527,0.965471,5.468743e-06
J = 0.1,0.1000,1.0e-03,0.473365,6.14091464e-02,109.3872,315.5293,0.965419,5.893421e-06
J = 0.1,0.1000,1.0e-03,0.480032,6.19825276e-02,109.5193,316.9653,0.965362,6.288629e-06
J = 0.1,0.1000,1.0e-03,0.486699,6.25715164e-02,109.6409,318.3612,0.965302,6.659293e-06
J = 0.1,0.1000,1.0e-03,0.493366,6.31770635e-02,109.7522,319.7177,0.965238,7.009982e-06
J = 0.1,0.1000,1.0e-03,0.500033,6.37998990e-02,109.8540,321.0355,0.965174,7.344828e-06
J = 0.1,0.1000,1.0e-03,0.506700,6.44405396e-02,109.9470,322.3153,0.965108,7.667410e-06
J = 0.1,0.1000,1.0e-03,0.513368,6.50993008e-02,110.0321,323.5579,0.965043,7.980692e-06
J = 0.1,0.1000,1.0e-03,0.520035,6.57763146e-02,110.1102,324.7642,0.964978,8.286948e-06
J = 0.1,0.1000,1.0e-03,0.526702,6.64715458e-02,110.1825,325.9349,0.964914,8.587710e-06
J = 0.1,0.1000,1.0e-03,0.533369,6.71848198e-02,110.2500,327.0709,0.964851,8.883778e-06
J = 0.1,0.1000,1.0e-03,0.540036,6.79158426e-02,110.3140,328.1732,0.964791,9.175212e-06
J = 0.1,0.1000,1.0e-03,0.546703,6.86642293e-02,110.3755,329.2424,0.964733,9.461389e-06
J = 0.1,0.1000,1.0e-03,0.553370,6.94295282e-02,110.4359,330.2796,0.964678,9.741064e-06
J = 0.1,0.1000,1.0e-03,0.560037,7.02112454e-02,110.4960,331.2854,0.964625,1.001246e-05
J = 0.1,0.1000,1.0e-03,0.566704,7.10088696e-02,110.5571,332.2606,0.964574,1.027338e-05
J = 0.1,0.1000,1.0e-03,0.573372,7.18218909e-02,110.6201,333.2059,0.964526,1.052130e-05
J = 0.1,0.1000,1.0e-03,0.580039,7.26498220e-02,110.6857,334.1221,0.964481,1.075352e-05
J = 0.1,0.1000,1.0e-03,0.586706,7.34922119e-02,110.7548,335.0096,0.964437,1.096726e-05
J = 0.1,0.1000,1.0e-03,0.593373,7.43486594e-02,110.8280,335.8691,0.964396,1.115976e-05
J = 0.1,0.1000,1.0e-03,0.600040,7.52188244e-02,110.9058,336.7010,0.964357,1.132841e-05
J = 0.1,0.1000,1.0e-03,0.606707,7.61024315e-02,110.9886,337.5057,0.964319,1.147082e-05
J = 0.1,0.1000,1.0e-03,0.613374,7.69992763e-02,111.0766,338.2836,0.964283,1.158487e-05
J = 0.1,0.1000,1.0e-03,0.620041,7.79092257e-02,111.1701,339.0350,0.964247,1.166880e-05
J = 0.1,0.1000,1.0e-03,0.626708,7.88322173e-02,111.2691,339.7601,0.964213,1.172120e-05
J = 0.1,0.1000,1.0e-03,0.633376,7.97682551e-02,111.3735,340.4592,0.964180,1.174110e-05
J = 0.1,0.1000,1.0e-03,0.640043,8.07174050e-02,111.4831,341.1324,0.964147,1.172792e-05
J = 0.1,0.1000,1.0e-03,0.646710,8.16797882e-02,111.5977,341.7798,0.964114,1.168148e-05
J = 0.1,0.1000,1.0e-03,0.653377,8.26555723e-02,111.7170,342.4015,0.964082,1.160200e-05
J = 0.1,0.1000,1.0e-03,0.660044,8.36449635e-02,111.8405,342.9976,0.964050,1.149007e-05
J = 0.1,0.1000,1.0e-03,0.666711,8.46481955e-02,111.9679,343.5682,0.964018,1.134661e-05
J = 0.1,0.1000,1.0e-03,0.673378,8.56655205e-02,112.0987,344.1131,0.963985,1.117285e-05
J = 0.1,0.1000,1.0e-03,0.680045,8.66971972e-02,112.2323,344.6326,0.963953,1.097028e-05
J = 0.1,0.1000,1.0e-03,0.686712,8.77434814e-02,112.3681,345.1266,0.963921,1.074065e-05
J = 0.1,0.1000,1.0e-03,0.693380,8.88046142e-02,112.5056,345.5951,0.963889,1.048585e-05
J = 0.1,0.1000,1.0e-03,0.700047,8.98808129e-02,112.6443,346.0381,0.963856,1.020795e-05
J = 0.1,0.1000,1.0e-03,0.706714,9.09722600e-02,112.7835,346.4558,0.963824,9.909129e-06
J = 0.1,0.1000,1.0e-03,0.713381,9.20790944e-02,112.9227,346.8482,0.963792,9.591624e-06
J = 0.1,0.1000,1.0e-03,0.720048,9.32014029e-02,113.0613,347.2155,0.963760,9.257726e-06
J = 0.1,0.1000,1.0e-03,0.726715,9.43392117e-02,113.1988,347.5576,0.963729,8.909727e-06
J = 0.1,0.1000,1.0e-03,0.733382,9.54924804e-02,113.3346,347.8748,0.963698,8.549902e-06
J = 0.1,0.1000,1.0e-03,0.740049,9.66610950e-02,113.4682,348.1672,0.963668,8.180480e-06
J = 0.1,0.1000,1.0e-03,0.746716,9.78448641e-02,113.5993,348.4351,0.963638,7.803623e-06
J = 0.1,0.1000,1.0e-03,0.753384,9.90435133e-02,113.7273,348.6786,0.963610,7.421406e-06
J = 0.1,0.1000,1.0e-03,0.760051,1.00256685e-01,113.8518,348.8981,0.963582,7.035806e-06
J = 0.1,0.1000,1.0e-03,0.766718,1.01483933e-01,113.9724,349.0940,0.963556,6.648684e-06
J = 0.1,0.1000,1.0e-03,0.773385,1.02724725e-01,114.0889,349.2664,0.963531,6.261781e-06
J = 0.1,0.1000,1.0e-03,0.780052,1.03978443e-01,114.2007,349.4158,0.963508,5.876710e-06
J = 0.1,0.1000,1.0e-03,0.786719,1.05244381e-01,114.3078,349.5426,0.963487,5.494949e-06
J = 0.1,0.1000,1.0e-03,0.793386,1.06521750e-01,114.4098,349.6473,0.963467,5.117847e-06
J = 0.1,0.1000,1.0e-03,0.800053,1.07809682e-01,114.5064,349.7304,0.963449,4.746614e-06
J = 0.1,0.1000,1.0e-03,0.806720,1.09107232e-01,114.5975,349.7922,0.963433,4.382335e-06
J = 0.1,0.1000,1.0e-03,0.813388,1.10413383e-01,114.6829,349.8335,0.963419,4.025964e-06
J = 0.1,0.1000,1.0e-03,0.820055,1.11727051e-01,114.7624,349.8546,0.963408,3.678335e-06
J = 0.1,0.1000,1.0e-03,0.826722,1.13047089e-01,114.8359,349.8563,0.963399,3.340167e-06
J = 0.1,0.1000,1.0e-03,0.833389,1.14372299e-01,114.9033,349.8391,0.963392,3.012070e-06
J = 0.1,0.1000,1.0e-03,0.840056,1.15701431e-01,114.9645,349.8037,0.963387,2.694552e-06
J = 0.1,0.1000,1.0e-03,0.846723,1.17033193e-01,115.0194,349.7507,0.963386,2.388027e-06
J = 0.1,0.1000,1.0e-03,0.853390,1.18366260e-01,115.0680,349.6807,0.963387,2.092826e-06
J = 0.1,0.1000,1.0e-03,0.860057,1.19699276e-01,115.1102,349.5945,0.963390,1.809199e-06
J = 0.1,0.1000,1.0e-03,0.866724,1.21030863e-01,115.1461,349.4927,0.963396,1.537330e-06
J = 0.1,0.1000,1.0e-03,0.873392,1.22359629e-01,115.1755,349.3761,0.963405,1.277339e-06
J = 0.1,0.1000,1.0e-03,0.880059,1.23684173e-01,115.1986,349.2453,0.963417,1.029290e-06
J = 0.1,0.1000,1.0e-03,0.886726,1.25003089e-01,115.2153,349.1011,0.963431,7.932009e-07
J = 0.1,0.1000,1.0e-03,0.893393,1.26314978e-01,115.2258,348.9442,0.963448,5.690474e-07
J = 0.1,0.1000,1.0e-03,0.900060,1.27618448e-01,115.2299,348.7753,0.963468,3.567678e-07
J = 0.1,0.1000,1.0e-03,0.906727,1.28912120e-01,115.2279,348.5951,0.963491,1.562712e-07
J = 0.1,0.1000,1.0e-03,0.913394,1.30194637e-01,115.2198,348.4044,0.963517,3.256018e-08
J = 0.1,0.1000,1.0e-03,0.920061,1.31464662e-01,115.2057,348.2039,0.963546,2.098666e-07
J = 0.1,0.1000,1.0e-03,0.926728,1.32720890e-01,115.1857,347.9943,0.963578,3.758059e-07
J = 0.1,0.1000,1.0e-03,0.933396,1.33962045e-01,115.1599,347.7762,0.963612,5.305516e-07
J = 0.1,0.1000,1.0e-03,0.940063,1.35186886e-01,115.1285,347.5505,0.963650,6.742909e-07
J = 0.1,0.1000,1.0e-03,0.946730,1.36394212e-01,115.0916,347.3178,0.963690,8.072206e-07
J = 0.1,0.1000,1.0e-03,0.953397,1.37582861e-01,115.0494,347.0787,0.963733,9.295469e-07
J = 0.1,0.1000,1.0e-03,0.960064,1.38751716e-01,115.0020,346.8340,0.963780,1.041484e-06
J = 0.1,0.1000,1.0e-03,0.966731,1.39899703e-01,114.9497,346.5842,0.963829,1.143252e-06
J = 0.1,0.1000,1.0e-03,0.973398,1.41025798e-01,114.8926,346.3301,0.963881,1.235077e-06
J = 0.1,0.1000,1.0e-03,0.980065,1.42129024e-01,114.8309,346.0723,0.963937,1.317189e-06
J = 0.1,0.1000,1.0e-03,0.986732,1.43208452e-01,114.7649,345.8113,0.963995,1.389825e-06
J = 0.1,0.1000,1.0e-03,0.993400,1.44263206e-01,114.6948,345.5478,0.964056,1.453224e-06
J = 0.1,0.1000,1.0e-03,1.000067,1.45292462e-01,114.6208,345.2824,0.964120,1.507629e-06
J = 0.1,0.1000,1.0e-03,1.006734,1.46295445e-01,114.5433,345.0155,0.964187,1.553288e-06
J = 0.1,0.1000,1.0e-03,1.013401,1.47271435e-01,114.4623,344.7478,0.964257,1.590452e-06
J = 0.1,0.1000,1.0e-03,1.020068,1.48219762e-01,114.3783,344.4798,0.964330,1.619375e-06
J = 0.1,0.1000,1.0e-03,1.026735,1.49139809e-01,114.2916,344.2119,0.964407,1.640315e-06
J = 0.1,0.1000,1.0e-03,1.033402,1.50031012e-01,114.2023,343.9446,0.964486,1.653532e-06
J = 0.1,0.1000,1.0e-03,1.040069,1.50892856e-01,114.1107,343.6784,0.964568,1.659290e-06
J = 0.1,0.1000,1.0e-03,1.046736,1.51724879e-01,114.0173,343.4138,0.964652,1.657856e-06
J = 0.1,0.1000,1.0e-03,1.053404,1.52526668e-01,113.9223,343.1511,0.964740,1.649499e-06
J = 0.1,0.1000,1.0e-03,1.060071,1.53297859e-01,113.8259,342.8907,0.964831,1.634489e-06
J = 0.1,0.1000,1.0e-03,1.066738,1.54038136e-01,113.7286,342.6330,0.964925,1.613099e-06
J = 0.1,0.1000,1.0e-03,1.073405,1.54747230e-01,113.6306,342.3784,0.965021,1.585604e-06
J = 0.1,0.1000,1.0e-03,1.080072,1.55424918e-01,113.5322,342.1271,0.965121,1.552279e-06
J = 0.1,0.1000,1.0e-03,1.086739,1.56071020e-01,113.4337,341.8796,0.965223,1.513399e-06
J = 0.1,0.1000,1.0e-03,1.093406,1.56685398e-01,113.3355,341.6360,0.965328,1.469240e-06
J = 0.1,0.1000,1.0e-03,1.100073,1.57267957e-01,113.2378,341.3967,0.965436,1.420076e-06
J = 0.1,0.1000,1.0e-03,1.106740,1.57818639e-01,113.1409,341.1619,0.965546,1.366182e-06
J = 0.1,0.1000,1.0e-03,1.113408,1.58337424e-01,113.0452,340.9318,0.965659,1.307830e-06
J = 0.1,0.1000,1.0e-03,1.120075,1.58824327e-01,112.9510,340.7066,0.965775,1.245290e-06
J = 0.1,0.1000,1.0e-03,1.126742,1.59279397e-01,112.8584,340.4866,0.965894,1.178828e-06
J = 0.1,0.1000,1.0e-03,1.133409,1.59702713e-01,112.7679,340.2718,0.966015,1.108708e-06
J = 0.1,0.1000,1.0e-03,1.140076,1.60094384e-01,112.6796,340.0625,0.966138,1.035190e-06
J = 0.1,0.1000,1.0e-03,1.146743,1.60454546e-01,112.5939,339.8587,0.966264,9.585269e-07
J = 0.1,0.1000,1.0e-03,1.153410,1.60783359e-01,112.5110,339.6606,0.966392,8.789696e-07
J = 0.1,0.1000,1.0e-03,1.160077,1.61081009e-01,112.4311,339.4683,0.966523,7.967613e-07
J = 0.1,0.1000,1.0e-03,1.166744,1.61347700e-01,112.3544,339.2819,0.966655,7.121389e-07
J = 0.1,0.1000,1.0e-03,1.173412,1.61583655e-01,112.2813,339.1015,0.966790,6.253329e-07
J = 0.1,0.1000,1.0e-03,1.180079,1.61789115e-01,112.2118,338.9270,0.966927,5.365659e-07
J = 0.1,0.1000,1.0e-03,1.186746,1.61964335e-01,112.1462,338.7586,0.967066,4.460531e-07
J = 0.1,0.1000,1.0e-03,1.193413,1.62109583e-01,112.0847,338.5962,0.967207,3.540009e-07
J = 0.1,0.1000,1.0e-03,1.200080,1.62225140e-01,112.0275,338.4399,0.967350,2.606074e-07
J = 0.1,0.1000,1.0e-03,1.206747,1.62311295e-01,111.9747,338.2897,0.967494,1.660612e-07
J = 0.1,0.1000,1.0e-03,1.213414,1.62368343e-01,111.9265,338.1455,0.967640,7.054158e-08
J = 0.1,0.1000,1.0e-03,1.220081,1.62396590e-01,111.8830,338.0075,0.967788,2.578181e-08
J = 0.1,0.1000,1.0e-03,1.226748,1.62396343e-01,111.8443,337.8754,0.967937,1.227496e-07
J = 0.1,0.1000,1.0e-03,1.233416,1.62367915e-01,111.8106,337.7493,0.968087,2.202127e-07
J = 0.1,0.1000,1.0e-03,1.240083,1.62311620e-01,111.7819,337.6291,0.968238,3.180325e-07
J = 0.1,0.1000,1.0e-03,1.246750,1.62227775e-01,111.7584,337.5149,0.968391,4.160809e-07
J = 0.1,0.1000,1.0e-03,1.253417,1.62116697e-01,111.7400,337.4064,0.968544,5.142410e-07
J = 0.1,0.1000,1.0e-03,1.260084,1.61978701e-01,111.7270,337.3036,0.968699,6.124063e-07
J = 0.1,0.1000,1.0e-03,1.266751,1.61814105e-01,111.7192,337.2066,0.968854,7.104819e-07
J = 0.1,0.1000,1.0e-03,1.273418,1.61623222e-01,111.7169,337.1150,0.969009,8.083834e-07
J = 0.1,0.1000,1.0e-03,1.280085,1.61406365e-01,111.7199,337.0290,0.969166,9.060377e-07
J = 0.1,0.1000,1.0e-03,1.286752,1.61163845e-01,111.7284,336.9484,0.969322,1.003382e-06
J = 0.1,0.1000,1.0e-03,1.293420,1.60895969e-01,111.7422,336.8730,0.969479,1.100366e-06
J = 0.1,0.1000,1.0e-03,1.300087,1.60603044e-01,111.7615,336.8029,0.969635,1.196949e-06
J = 0.1,0.1000,1.0e-03,1.306754,1.60285372e-01,111.7863,336.7378,0.969792,1.293100e-06
J = 0.1,0.1000,1.0e-03,1.313421,1.59943254e-01,111.8164,336.6777,0.969948,1.388801e-06
J = 0.1,0.1000,1.0e-03,1.320088,1.59576990e-01,111.8519,336.6225,0.970104,1.484043e-06
J = 0.1,0.1000,1.0e-03,1.326755,1.59186875e-01,111.8927,336.5721,0.970260,1.578825e-06
J = 0.1,0.1000,1.0e-03,1.333422,1.58773206e-01,111.9388,336.5263,0.970415,1.673161e-06
J = 0.1,0.1000,1.0e-03,1.340089,1.58336278e-01,111.9902,336.4851,0.970569,1.767068e-06
J = 0.1,0.1000,1.0e-03,1.346756,1.57876383e-01,112.0468,336.4483,0.970722,1.860579e-06
J = 0.1,0.1000,1.0e-03,1.353424,1.57393816e-01,112.1085,336.4159,0.970874,1.953730e-06
J = 0.1,0.1000,1.0e-03,1.360091,1.56888872e-01,112.1753,336.3878,0.971025,2.046569e-06
J = 0.1,0.1000,1.0e-03,1.366758,1.56361846e-01,112.2471,336.3638,0.971174,2.139150e-06
J = 0.1,0.1000,1.0e-03,1.373425,1.55813037e-01,112.3239,336.3438,0.971322,2.231537e-06
J = 0.1,0.1000,1.0e-03,1.380092,1.55242745e-01,112.4056,336.3278,0.971467,2.323800e-06
J = 0.1,0.1000,1.0e-03,1.386759,1.54651277e-01,112.4920,336.3157,0.971611,2.416013e-06
J = 0.1,0.1000,1.0e-03,1.393426,1.54038939e-01,112.5832,336.3073,0.971753,2.508259e-06
J = 0.1,0.1000,1.0e-03,1.400093,1.53406049e-01,112.6791,336.3027,0.971893,2.600626e-06
J = 0.1,0.1000,1.0e-03,1.406760,1.52752927e-01,112.7795,336.3016,0.972030,2.693204e-06
J = 0.1,0.1000,1.0e-03,1.413428,1.52079902e-01,112.8844,336.3042,0.972164,2.786089e-06
J = 0.1,0.1000,1.0e-03,1.420095,1.51387311e-01,112.9938,336.3102,0.972296,2.879380e-06
J = 0.1,0.1000,1.0e-03,1.426762,1.50675503e-01,113.1076,336.3196,0.972424,2.973175e-06
J = 0.1,0.1000,1.0e-03,1.433429,1.49944837e-01,113.2256,336.3324,0.972549,3.067575e-06
J = 0.1,0.1000,1.0e-03,1.440096,1.49195682e-01,113.3479,336.3484,0.972671,3.162679e-06
J = 0.1,0.1000,1.0e-03,1.446763,1.48428426e-01,113.4744,336.3677,0.972789,3.258584e-06
J = 0.1,0.1000,1.0e-03,1.453430,1.47643467e-01,113.6049,336.3902,0.972903,3.355385e-06
J = 0.1,0.1000,1.0e-03,1.460097,1.46841225e-01,113.7395,336.4159,0.973013,3.453171e-06
J = 0.1,0.1000,1.0e-03,1.466764,1.46022136e-01,113.8781,336.4446,0.973118,3.552021e-06
J = 0.1,0.1000,1.0e-03,1.473432,1.45186659e-01,114.0206,336.4764,0.973219,3.652008e-06
J = 0.1,0.1000,1.0e-03,1.480099,1.44335274e-01,114.1670,336.5112,0.973314,3.753191e-06
J = 0.1,0.1000,1.0e-03,1.486766,1.43468489e-01,114.3173,336.5490,0.973405,3.855616e-06
J = 0.1,0.1000,1.0e-03,1.493433,1.42586838e-01,114.4713,336.5898,0.973489,3.959311e-06
J = 0.1,0.1000,1.0e-03,1.500100,1.41690890e-01,114.6290,336.6334,0.973568,4.064280e-06
J = 0.1,0.1000,1.0e-03,1.506767,1.40781245e-01,114.7904,336.6799,0.973641,4.170507e-06
J = 0.1,0.1000,1.0e-03,1.513434,1.39858543e-01,114.9555,336.7292,0.973707,4.277942e-06
J = 0.1,0.1000,1.0e-03,1.520101,1.38923464e-01,115.1241,336.7813,0.973766,4.386504e-06
J = 0.1,0.1000,1.0e-03,1.526768,1.37976738e-01,115.2962,336.8361,0.973818,4.496072e-06
J = 0.1,0.1000,1.0e-03,1.533436,1.37019144e-01,115.4718,336.8935,0.973863,4.606479e-06
J = 0.1,0.1000,1.0e-03,1.540103,1.36051516e-01,115.6507,336.9535,0.973899,4.717506e-06
J = 0.1,0.1000,1.0e-03,1.546770,1.35074750e-01,115.8328,337.0161,0.973927,4.828878e-06
J = 0.1,0.1000,1.0e-03,1.553437,1.34089814e-01,116.0182,337.0811,0.973946,4.940250e-06
J = 0.1,0.1000,1.0e-03,1.560104,1.33097746e-01,116.2066,337.1485,0.973955,5.051204e-06
J = 0.1,0.1000,1.0e-03,1.566771,1.32099669e-01,116.3978,337.2181,0.973955,5.161238e-06
J = 0.1,0.1000,1.0e-03,1.573438,1.31096790e-01,116.5918,337.2898,0.973944,5.269754e-06
J = 0.1,0.1000,1.0e-03,1.580105,1.30090420e-01,116.7883,337.3635,0.973923,5.376053e-06
J = 0.1,0.1000,1.0e-03,1.586772,1.29081976e-01,116.9871,337.4390,0.973890,5.479322e-06
J = 0.1,0.1000,1.0e-03,1.593440,1.28072983e-01,117.1879,337.5163,0.973846,5.578621e-06
J = 0.1,0.1000,1.0e-03,1.600107,1.27065094e-01,117.3904,337.5950,0.973789,5.672875e-06
J = 0.1,0.1000,1.0e-03,1.606774,1.26060097e-01,117.5942,337.6750,0.973720,5.760866e-06
J = 0.1,0.1000,1.0e-03,1.613441,1.25059921e-01,117.7988,337.7560,0.973637,5.841220e-06
J = 0.1,0.1000,1.0e-03,1.620108,1.24066644e-01,118.0039,337.8379,0.973540,5.912402e-06
J = 0.1,0.1000,1.0e-03,1.626775,1.23082508e-01,118.2089,337.9203,0.973429,5.972709e-06
J = 0.1,0.1000,1.0e-03,1.633442,1.22109919e-01,118.4131,338.0030,0.973303,6.020268e-06
J = 0.1,0.1000,1.0e-03,1.640109,1.21151458e-01,118.6158,338.0856,0.973162,6.053041e-06
J = 0.1,0.1000,1.0e-03,1.646776,1.20209885e-01,118.8163,338.1678,0.973006,6.068824e-06
