label,J,mu_over_J,t_yr,omega_e,beta_deg,alpha_deg,Id_over_Is,eps_beta
J = 0.1,0.1000,1.0e-03,0.000000,5.23598776e-03,75.0000,0.0000,0.343300,8.595185e-04
J = 0.1,0.1000,1.0e-03,0.006667,4.98224137e-03,77.0986,49.4487,0.360824,3.366021e-04
J = 0.1,0.1000,1.0e-03,0.013334,4.71041030e-03,76.7222,113.7081,0.382452,1.467589e-03
J = 0.1,0.1000,1.0e-03,0.020001,4.42354751e-03,77.1420,196.4856,0.408960,7.968537e-04
J = 0.1,0.1000,1.0e-03,0.026668,4.12726536e-03,78.5520,298.8533,0.440816,3.587743e-04
J = 0.1,0.1000,1.0e-03,0.033336,3.82706250e-03,79.6891,62.9809,0.478579,4.037342e-04
J = 0.1,0.1000,1.0e-03,0.040003,3.52951917e-03,79.1021,210.7102,0.522765,1.387850e-04
J = 0.1,0.1000,1.0e-03,0.046670,3.24051986e-03,80.9375,21.0885,0.573253,5.035662e-04
J = 0.1,0.1000,1.0e-03,0.053337,2.96560485e-03,79.4365,214.5544,0.629857,4.268533e-04
J = 0.1,0.1000,1.0e-03,0.060004,2.70695156e-03,80.0613,70.5485,0.691577,4.453124e-04
J = 0.1,0.1000,1.0e-03,0.066671,2.47414644e-03,81.1068,308.1637,0.756810,2.367126e-03
J = 0.1,0.1000,1.0e-03,0.073338,2.24114125e-03,78.3793,203.1119,0.823616,2.044669e-03
J = 0.1,0.1000,1.0e-03,0.080005,2.01614476e-03,77.0680,122.9140,0.888260,4.473249e-03
J = 0.1,0.1000,1.0e-03,0.086672,1.62891870e-03,70.4912,55.2189,0.950325,1.690020e-02
J = 0.1,0.1000,1.0e-03,0.093340,1.90549538e-03,120.0752,95.3122,0.955576,2.060920e-02
J = 0.1,0.1000,1.0e-03,0.100007,2.70517305e-03,105.7150,83.2248,0.952483,1.372044e-02
J = 0.1,0.1000,1.0e-03,0.106674,2.91299726e-03,88.7358,76.4936,0.964227,4.912960e-02
J = 0.1,0.1000,1.0e-03,0.113341,4.11668256e-03,109.2649,107.2447,0.960521,2.192676e-02
J = 0.1,0.1000,1.0e-03,0.120008,5.00429009e-03,99.2707,114.3514,0.963619,1.266378e-02
J = 0.1,0.1000,1.0e-03,0.126675,6.30819437e-03,111.3350,135.3676,0.961647,1.004892e-03
J = 0.1,0.1000,1.0e-03,0.133342,8.01928615e-03,98.6425,140.7576,0.961948,2.273241e-03
J = 0.1,0.1000,1.0e-03,0.140009,9.15557108e-03,106.1580,153.3374,0.962654,2.625488e-03
J = 0.1,0.1000,1.0e-03,0.146676,1.09073830e-02,109.5492,164.6353,0.961609,1.551146e-06
J = 0.1,0.1000,1.0e-03,0.153344,1.31349940e-02,101.3953,168.9962,0.961435,Inf
J = 0.1,0.1000,1.0e-03,0.160011,1.45811516e-02,103.0472,176.1977,0.962112,8.692681e-04
J = 0.1,0.1000,1.0e-03,0.166678,1.60073004e-02,106.2287,183.6436,0.962226,6.727828e-04
