case_id,block,backend,ic_id,alpha0_deg,beta0_deg,Pe_min,Id0_over_Is,band0,band_frac0,d_sep0,J,mu_over_J,sigma,omega_e0,fate,omega_e_final,omega_e_tailmean,omega_e_peak,omega_e_min,ripple,t_end_yr,reached_horizon,alpha_final_deg,beta_final_deg,Id_final_over_Is,regime_final,n_sep_crossings,min_d_separatrix,eps_beta_max,in_domain,t_eps_exit_yr,timed_out,wall_s,error
1,backend,numeric,1,52.681,38.281,132.658,0.408497,LAM,0.1949,0.762218,1.8000,1.0e-03,-1,7.89395007e-04,cycling,8.11345061e-03,7.35109459e-03,1.78594602e-02,3.38411937e-04,5.447633e-01,100.0000,1,65.313,111.2448,0.968565,SAM,1,2.623315e-03,3.317268e-02,1,NaN,0,648.25,
2,backend,numeric,4,200.455,60.925,61.215,0.974122,SAM,0.3301,0.017577,10.0000,1.0e-03,-1,1.71067940e-03,incomplete,2.04156891e-03,1.95656010e-03,2.41139332e-03,1.17108941e-03,3.196725e-01,54.0805,0,219.837,112.8253,0.967214,SAM,0,5.438118e-03,1.439729e-01,1,NaN,1,900.05,
3,backend,numeric,8,236.749,97.952,38.511,0.970806,SAM,0.2442,0.013006,0.1000,1.0e-03,-1,2.71921918e-03,spinup,9.99999989e-01,9.06333288e-01,9.99999989e-01,2.71921918e-03,1.812993e-01,3.4787,0,178.234,70.4617,1.000000,SAM,4,9.543026e-05,7.091099e-02,1,NaN,0,7.97,
4,backend,numeric,11,149.199,44.401,96.535,0.971442,SAM,0.2607,0.013882,1.8000,1.0e-03,-1,1.08478174e-03,cycling,7.86708978e-03,7.34997560e-03,8.98936619e-03,1.08478174e-03,5.478176e-01,100.0000,1,194.696,115.0743,0.968224,SAM,0,2.802756e-03,1.313102e-01,1,NaN,0,737.92,
5,backend,numeric,14,35.528,16.368,288.722,0.997154,SAM,0.9263,0.049329,10.0000,1.0e-03,-1,3.62701039e-04,incomplete,1.70179279e-03,1.95429242e-03,3.31890390e-03,3.33692095e-04,3.146358e-01,35.3428,0,27.077,115.6736,0.968242,SAM,2,5.437716e-03,1.953037e+00,0,0.0000,1,900.01,
6,backend,numeric,18,169.417,38.878,47.927,0.311999,LAM,0.0544,0.895255,0.1000,1.0e-03,-1,2.18497286e-03,spinup,1.00000000e+00,8.96745591e-01,1.00000000e+00,4.29191808e-04,1.775071e-01,5.7198,0,181.867,76.8029,0.999997,SAM,5,1.432948e-03,1.386719e-01,1,NaN,0,26.16,
7,backend,numeric,21,252.742,68.755,35.698,0.974839,SAM,0.3486,0.018566,1.8000,1.0e-03,-1,2.93351415e-03,cycling,7.87856476e-03,7.34620815e-03,1.26618849e-02,2.93351415e-03,5.376305e-01,100.0000,1,119.044,115.3715,0.971293,SAM,0,6.127575e-04,4.850739e-02,1,NaN,0,637.03,
8,backend,numeric,24,355.373,57.820,37.664,0.854972,LAM,0.8451,0.146688,10.0000,1.0e-03,-1,2.78036422e-03,incomplete,2.08093407e-03,1.95374241e-03,8.08387461e-03,8.79343724e-04,3.121219e-01,41.6006,0,84.345,111.7808,0.966349,SAM,1,5.806389e-04,1.439288e-01,1,NaN,1,900.05,
9,backend,numeric,28,25.659,31.108,42.103,0.996702,SAM,0.9146,0.048707,0.1000,1.0e-03,-1,2.48725381e-03,spinup,1.00000000e+00,8.98228646e-01,1.00000000e+00,2.48725381e-03,2.076580e-01,11.2844,0,15.165,58.8704,1.000000,SAM,4,8.055362e-03,5.827808e-02,1,NaN,0,22.36,
10,backend,numeric,31,322.285,154.811,446.233,0.722088,LAM,0.6516,0.329888,1.8000,1.0e-03,-1,2.34674891e-04,cycling,7.37966938e-03,7.34339519e-03,8.98748486e-03,2.34674891e-04,5.331179e-01,100.0000,1,289.737,112.1599,0.976923,SAM,1,3.002135e-03,8.196526e-01,1,NaN,0,672.74,
11,backend,numeric,34,76.431,142.913,53.720,0.973521,SAM,0.3145,0.016749,10.0000,1.0e-03,-1,1.94935864e-03,incomplete,2.13401070e-03,1.95447484e-03,2.42455126e-03,1.60388373e-03,3.099843e-01,36.1251,0,64.631,111.9638,0.969640,SAM,0,5.441823e-03,1.430217e-01,1,NaN,1,900.05,
12,backend,numeric,38,219.589,32.620,89.033,0.974348,SAM,0.3359,0.017889,0.1000,1.0e-03,-1,1.17619231e-03,spinup,9.99999988e-01,8.61250717e-01,9.99999988e-01,1.17619231e-03,3.240712e-01,11.1842,0,48.072,80.2979,1.000000,SAM,4,1.157127e-02,6.407904e-02,1,NaN,0,14.40,
13,backend,numeric,41,113.235,52.916,67.055,0.696394,LAM,0.6141,0.365311,1.8000,1.0e-03,-1,1.56170991e-03,cycling,7.78158144e-03,7.35128928e-03,1.83000165e-02,1.56170991e-03,5.496103e-01,100.0000,1,188.458,115.3324,0.968323,SAM,1,3.646786e-03,1.314480e-02,1,NaN,0,430.21,
14,backend,numeric,44,229.967,161.841,144.001,0.431372,LAM,0.2282,0.730683,10.0000,1.0e-03,-1,7.27216965e-04,incomplete,1.79043770e-03,1.95553326e-03,2.87757243e-03,6.93988092e-04,3.073576e-01,80.0909,0,154.046,115.2680,0.971208,SAM,1,5.425370e-03,1.440107e-01,1,NaN,1,900.02,
15,backend,numeric,48,12.055,148.644,150.267,0.983830,SAM,0.5814,0.030961,0.1000,1.0e-03,-1,6.96892474e-04,spinup,1.00000000e+00,8.83285200e-01,1.00000000e+00,6.96892474e-04,2.089653e-01,4.9098,0,175.888,74.3233,1.000000,SAM,6,7.160458e-05,3.751073e-01,1,NaN,0,5.57,
