beta0_deg,Id0_over_Is,Pe_min,J,mu_over_J,sigma,omega_e0,fate,omega_e_final,omega_e_peak,omega_e_min,omega_e_tailmean,ripple,t_end_yr,reached_horizon,beta_final_deg,Id_final_over_Is,eps_beta_max,t_domain_exit_yr,in_domain,omega_e_tailmean_numeric,n_resonance_crossings,nearest_resonance,d_to_resonance,min_d_separatrix,wall_s
15.00,0.3433,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.10161291e-02,4.91183248e-02,1.49002525e-03,2.75669543e-02,2.501412e-01,20.0000,1,177.5660,0.274675,2.910083e-03,NaN,1,NaN,35,LAM 2:5,-0.010870,3.544622e-02,5.87
45.00,0.3433,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164018e-01,1.69001350e-01,1.49409614e-03,1.32605994e-01,1.623303e-01,20.0000,1,113.8422,0.966464,3.825756e-02,NaN,1,NaN,22,SAM 5:1,0.000613,2.212141e-04,0.05
75.00,0.3433,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164018e-01,1.62711751e-01,1.46815771e-03,1.32605994e-01,1.623303e-01,20.0000,1,113.8422,0.966464,1.432006e-02,NaN,1,NaN,20,SAM 5:1,0.000613,6.058345e-05,0.05
105.00,0.3433,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164018e-01,1.49419659e-01,1.13325367e-03,1.32605994e-01,1.623303e-01,20.0000,1,113.8422,0.966464,4.314262e-03,NaN,1,NaN,28,SAM 5:1,0.000613,8.115705e-04,0.16
135.00,0.3433,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164018e-01,1.45289858e-01,1.43093169e-03,1.32605994e-01,1.623303e-01,20.0000,1,113.8422,0.966464,1.658555e-01,NaN,1,NaN,48,SAM 5:1,0.000613,6.588801e-05,0.23
165.00,0.3433,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164015e-01,3.73697393e-01,7.39450734e-04,1.32605990e-01,1.623300e-01,20.0000,1,113.8422,0.966464,1.907531e-01,NaN,1,NaN,60,SAM 5:1,0.000613,1.483348e-05,0.30
15.00,0.4120,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39371699e-01,2.02317606e-01,1.43885349e-03,1.32772294e-01,1.651256e-01,20.0000,1,113.8323,0.966519,4.281029e-03,NaN,1,NaN,81,SAM 5:1,0.000669,1.318508e-05,0.25
45.00,0.4120,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164156e-01,3.36062808e-01,1.37437987e-03,1.32606232e-01,1.623478e-01,20.0000,1,113.8421,0.966464,8.063611e-03,NaN,1,NaN,73,SAM 5:1,0.000613,1.378495e-05,0.27
75.00,0.4120,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.81727652e-02,3.20890763e-02,1.78402886e-03,1.59788036e-02,2.015698e-01,20.0000,1,178.5594,0.276140,5.312866e-03,NaN,1,NaN,86,LAM 2:5,-0.009405,4.885020e-03,0.25
105.00,0.4120,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,4.87272706e-03,1.69432826e-02,1.09455658e-03,1.35371548e-02,1.102670e+00,20.0000,1,163.2065,0.882920,4.984203e-01,NaN,1,NaN,151,LAM 2:1,-0.009056,1.026994e-02,0.69
135.00,0.4120,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164074e-01,3.66820804e-01,1.63334455e-03,1.32605970e-01,1.623313e-01,20.0000,1,113.8422,0.966464,6.348560e-03,NaN,1,NaN,73,SAM 5:1,0.000613,5.214350e-05,0.22
165.00,0.4120,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,2.33901098e-02,3.25643558e-02,1.78810123e-03,2.36396542e-02,1.124758e+00,20.0000,1,174.2237,0.703178,2.811680e-02,NaN,1,NaN,116,LAM 1:1,-0.002151,1.095340e-02,0.38
15.00,0.4807,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,2.92662838e-02,3.08743360e-02,1.57746237e-03,2.58158123e-02,2.671570e-01,20.0000,1,177.8548,0.274670,1.126465e-02,NaN,1,NaN,83,LAM 2:5,-0.010875,2.031478e-02,0.60
45.00,0.4807,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.02098965e-01,4.11982896e-01,1.95760317e-03,1.74630013e-01,2.038394e+00,20.0000,1,112.1449,0.969808,3.915931e-02,NaN,1,NaN,86,SAM 5:1,0.003957,2.724363e-03,0.25
