beta0_deg,Id0_over_Is,Pe_min,J,mu_over_J,sigma,omega_e0,fate,omega_e_final,omega_e_peak,omega_e_min,omega_e_tailmean,ripple,t_end_yr,reached_horizon,beta_final_deg,Id_final_over_Is,eps_beta_max,t_domain_exit_yr,in_domain,omega_e_tailmean_numeric,n_resonance_crossings,nearest_resonance,d_to_resonance,min_d_separatrix,wall_s
75.00,0.4807,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39166890e-01,3.84279088e-01,2.29238437e-03,1.32609403e-01,1.624395e-01,20.0000,1,113.8440,0.966466,1.155709e-02,NaN,1,NaN,68,SAM 5:1,0.000615,1.940580e-03,0.15
105.00,0.4807,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.30270773e-01,3.30270773e-01,1.53468070e-03,9.29358804e-02,3.137546e+00,20.0000,1,83.5639,0.999579,5.775484e-02,NaN,1,NaN,99,SAM 4:1,0.025138,5.900069e-04,0.35
135.00,0.4807,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164457e-01,3.19621090e-01,1.70721047e-03,1.32606616e-01,1.623650e-01,20.0000,1,113.8420,0.966464,4.617101e-03,NaN,1,NaN,82,SAM 5:1,0.000613,3.426863e-06,0.35
165.00,0.4807,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164018e-01,1.71263857e-01,1.71514258e-03,1.32605994e-01,1.623303e-01,20.0000,1,113.8422,0.966464,8.958038e-03,NaN,1,NaN,48,SAM 5:1,0.000613,7.348816e-05,0.23
15.00,0.5493,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.46733805e-02,4.53946002e-02,2.10420595e-03,3.12272108e-02,2.207137e-01,20.0000,1,177.1316,0.274688,1.050758e-03,NaN,1,NaN,32,LAM 2:5,-0.010858,2.700020e-02,0.16
45.00,0.5493,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.57565811e-02,4.05934537e-02,2.01542397e-03,2.22628756e-02,1.082829e+00,20.0000,1,178.1578,0.469918,2.185823e-03,NaN,1,NaN,72,LAM 3:5,-0.001017,3.450739e-03,0.22
75.00,0.5493,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.81364248e-02,3.99237475e-02,2.48339145e-03,3.30309075e-02,6.596041e-01,20.0000,1,177.0822,0.573546,9.894507e-04,NaN,1,NaN,66,LAM 3:4,-0.005680,2.303165e-02,0.22
105.00,0.5493,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164041e-01,1.58943195e-01,2.16516971e-03,1.32606036e-01,1.623341e-01,20.0000,1,113.8421,0.966464,9.352556e-03,NaN,1,NaN,65,SAM 5:1,0.000613,4.676250e-04,0.26
135.00,0.5493,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164013e-01,3.07016245e-01,1.61479701e-03,1.32605982e-01,1.623291e-01,20.0000,1,113.8422,0.966464,7.652356e-02,NaN,1,NaN,61,SAM 5:1,0.000613,5.555166e-05,0.28
165.00,0.5493,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164120e-01,1.45960913e-01,2.04260445e-03,1.32606398e-01,1.623713e-01,20.0000,1,113.8420,0.966464,9.912717e-02,NaN,1,NaN,91,SAM 5:1,0.000613,9.643396e-04,0.36
15.00,0.6180,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.43315162e-01,4.19429636e-01,2.05944096e-03,1.86117998e-01,1.819728e+00,20.0000,1,114.1981,0.966390,3.989006e-03,NaN,1,NaN,95,SAM 5:1,0.000539,6.806573e-04,0.25
45.00,0.6180,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39183050e-01,3.24687041e-01,2.40301482e-03,1.32657466e-01,1.627176e-01,20.0000,1,113.8556,0.966478,2.042847e-03,NaN,1,NaN,77,SAM 5:1,0.000627,6.864438e-05,0.15
75.00,0.6180,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164013e-01,1.47045010e-01,2.43839307e-03,1.32605982e-01,1.623291e-01,20.0000,1,113.8422,0.966464,2.165117e-03,NaN,1,NaN,49,SAM 5:1,0.000613,3.904490e-04,0.15
105.00,0.6180,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39200642e-01,1.69752245e-01,3.11390926e-03,1.32632007e-01,1.628180e-01,20.0000,1,113.8388,0.966472,1.007933e-02,NaN,1,NaN,67,SAM 5:1,0.000622,4.903243e-04,0.24
135.00,0.6180,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,2.21415141e-02,2.94307965e-02,2.11079061e-03,1.87541400e-02,3.504904e-01,20.0000,1,178.2480,0.274754,3.005929e-03,NaN,1,NaN,106,LAM 2:5,-0.010791,6.936346e-03,0.34
165.00,0.6180,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,2.19550852e-02,2.64537231e-02,2.03814788e-03,1.85780529e-02,3.505458e-01,20.0000,1,178.2520,0.274766,6.684247e-02,NaN,1,NaN,88,LAM 2:5,-0.010779,1.780285e-02,0.36
15.00,0.6867,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.80861566e-02,3.80861566e-02,2.37616031e-03,3.46652607e-02,1.978575e-01,20.0000,1,170.1562,0.274744,9.549256e-02,NaN,1,NaN,50,LAM 2:5,-0.010801,2.003642e-03,0.21
45.00,0.6867,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.68980297e-02,3.86733874e-02,2.09936895e-03,1.58326274e-02,1.487540e-01,20.0000,1,178.6641,0.279821,4.031172e-02,NaN,1,NaN,62,LAM 2:5,-0.005724,4.493853e-03,0.24
75.00,0.6867,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39220563e-01,3.15206545e-01,3.08228583e-03,1.32498495e-01,1.635678e-01,20.0000,1,113.8006,0.966456,9.829677e-03,NaN,1,NaN,69,SAM 5:1,0.000605,4.799438e-05,0.15
105.00,0.6867,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39200466e-01,3.89190421e-01,4.71713414e-03,1.32683422e-01,1.627893e-01,20.0000,1,113.8563,0.966483,1.762098e-03,NaN,1,NaN,69,SAM 5:1,0.000632,5.755369e-04,0.14
135.00,0.6867,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,2.95178068e-02,3.21056747e-02,2.68065884e-03,2.60678855e-02,2.645370e-01,20.0000,1,177.6014,0.274672,1.794319e-03,NaN,1,NaN,74,LAM 2:5,-0.010873,2.157371e-02,0.26
165.00,0.6867,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.20743269e-01,3.29147496e-01,2.06281303e-03,1.80586728e-01,1.328964e+00,20.0000,1,112.1558,0.964459,1.203368e-03,NaN,1,NaN,80,SAM 5:1,-0.001392,2.833953e-04,0.25
15.00,0.7554,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.43107841e-01,4.05309924e-01,2.74327787e-03,1.76307485e-01,1.791357e+00,20.0000,1,113.6496,0.966616,1.098016e-02,NaN,1,NaN,68,SAM 5:1,0.000765,2.366801e-03,0.16
45.00,0.7554,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.60790275e-02,4.52978852e-02,2.65929408e-03,3.26370154e-02,2.109857e-01,20.0000,1,176.9678,0.274705,2.548882e-03,NaN,1,NaN,27,LAM 2:5,-0.010840,7.332381e-03,0.16
75.00,0.7554,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39173403e-01,3.75796730e-01,2.66300129e-03,1.32612032e-01,1.629639e-01,20.0000,1,113.8365,0.966463,1.442067e-02,NaN,1,NaN,70,SAM 5:1,0.000612,6.326998e-04,0.15
105.00,0.7554,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164018e-01,1.56756359e-01,3.96592602e-03,1.32605994e-01,1.623303e-01,20.0000,1,113.8422,0.966464,2.442889e-03,NaN,1,NaN,20,SAM 5:1,0.000613,1.016246e-04,0.05
135.00,0.7554,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,4.19041359e-02,4.19041359e-02,2.99592715e-03,3.24274023e-02,4.735413e-01,20.0000,1,162.3700,0.832493,5.727292e-02,NaN,1,NaN,52,LAM 3:2,-0.002471,1.094569e-02,0.23
165.00,0.7554,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.38818883e-01,2.99894672e-01,2.83352406e-03,1.30116999e-01,3.808086e-01,20.0000,1,114.2652,0.966601,2.927626e-03,NaN,1,NaN,74,SAM 5:1,0.000750,9.852561e-05,0.25
15.00,0.8240,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164018e-01,3.57177159e-01,3.53360470e-03,1.32605994e-01,1.623303e-01,20.0000,1,113.8422,0.966464,6.936754e-03,NaN,1,NaN,34,SAM 5:1,0.000613,5.286917e-05,0.05
45.00,0.8240,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39213097e-01,3.79830506e-01,3.37187468e-03,1.32567161e-01,1.857310e-01,20.0000,1,113.7470,0.966428,2.490953e-03,NaN,1,NaN,64,SAM 5:1,0.000577,9.052272e-04,0.18
75.00,0.8240,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164018e-01,1.82006732e-01,3.21319535e-03,1.32605994e-01,1.623303e-01,20.0000,1,113.8422,0.966464,4.392645e-03,NaN,1,NaN,24,SAM 5:1,0.000613,4.146055e-04,0.05
105.00,0.8240,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164018e-01,1.82294363e-01,4.05741930e-03,1.32605994e-01,1.623303e-01,20.0000,1,113.8422,0.966464,2.442952e-02,NaN,1,NaN,14,SAM 5:1,0.000613,3.181189e-04,0.05
135.00,0.8240,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164295e-01,3.00005379e-01,4.61209108e-03,1.32606359e-01,1.623480e-01,20.0000,1,113.8421,0.966464,6.045310e-03,NaN,1,NaN,48,SAM 5:1,0.000613,1.224268e-04,0.20
165.00,0.8240,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39163940e-01,3.32449620e-01,4.52009351e-03,1.32605856e-01,1.623308e-01,20.0000,1,113.8422,0.966464,3.824589e-03,NaN,1,NaN,44,SAM 5:1,0.000613,2.063761e-06,0.20
15.00,0.8927,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164018e-01,2.99049361e-01,4.12875686e-03,1.32605994e-01,1.623303e-01,20.0000,1,113.8422,0.966464,1.849586e-03,NaN,1,NaN,37,SAM 5:1,0.000613,2.507096e-04,0.06
45.00,0.8927,20.0,0.1000,1.0e-03,-1,5.23598776e-03,spinup,1.00000000e+00,1.00000000e+00,3.44057034e-03,9.53931901e-01,9.141681e-02,3.3903,0,82.4318,1.000000,1.797797e-02,NaN,1,8.90757985e-01,6,SAM 4:1,0.025560,1.865975e-02,0.01
75.00,0.8927,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164047e-01,1.62592081e-01,3.69609323e-03,1.32606041e-01,1.623337e-01,20.0000,1,113.8421,0.966464,2.929898e-03,NaN,1,NaN,51,SAM 5:1,0.000613,1.563234e-03,0.16
105.00,0.8927,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164018e-01,3.08773328e-01,5.01427827e-03,1.32605994e-01,1.623303e-01,20.0000,1,113.8422,0.966464,5.417250e-03,NaN,1,NaN,19,SAM 5:1,0.000613,5.119977e-06,0.06
135.00,0.8927,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164052e-01,1.79511261e-01,5.23598776e-03,1.32606008e-01,1.623286e-01,20.0000,1,113.8422,0.966464,2.677625e-03,NaN,1,NaN,39,SAM 5:1,0.000613,1.953749e-04,0.18
165.00,0.8927,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.32241290e-01,3.32241290e-01,5.23598776e-03,1.29173149e-01,2.220797e+00,20.0000,1,57.1888,0.999471,4.850206e-03,NaN,1,NaN,72,SAM 4:1,0.025031,1.338400e-03,0.18
15.00,0.9652,20.0,0.1000,1.0e-03,-1,5.23598776e-03,spinup,1.00000000e+00,1.00000000e+00,5.08279668e-03,9.55893462e-01,8.787031e-02,3.3555,0,83.6047,1.000000,4.197146e-03,NaN,1,NaN,2,SAM 4:1,0.025560,4.017948e-03,0.02
45.00,0.9652,20.0,0.1000,1.0e-03,-1,5.23598776e-03,spinup,1.00000000e+00,1.00000000e+00,5.23598776e-03,9.61156991e-01,7.534648e-02,3.2985,0,84.8725,1.000000,4.171676e-03,NaN,1,NaN,2,SAM 4:1,0.025560,4.017948e-03,0.01
75.00,0.9652,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164022e-01,3.40864190e-01,5.23598776e-03,1.32605996e-01,1.623301e-01,20.0000,1,113.8422,0.966464,1.633911e-02,NaN,1,NaN,41,SAM 5:1,0.000613,4.536609e-04,0.06
105.00,0.9652,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164018e-01,3.70773160e-01,5.23598776e-03,1.32605994e-01,1.623303e-01,20.0000,1,113.8422,0.966464,1.463134e-02,NaN,1,NaN,15,SAM 5:1,0.000613,1.318167e-04,0.06
135.00,0.9652,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.36805896e-02,4.49670582e-02,5.23598776e-03,3.02358023e-02,2.278500e-01,20.0000,1,177.3140,0.274693,7.561393e-04,NaN,1,NaN,22,LAM 2:5,-0.010852,4.017948e-03,0.30
165.00,0.9652,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.73289714e-02,4.39750331e-02,5.23598776e-03,3.38912431e-02,2.029924e-01,20.0000,1,177.2565,0.274723,3.199433e-03,NaN,1,NaN,24,LAM 2:5,-0.010822,4.017948e-03,0.32
15.00,0.9691,20.0,0.1000,1.0e-03,-1,5.23598776e-03,spinup,1.00000000e+00,1.00000000e+00,5.23598776e-03,9.55844862e-01,8.803873e-02,3.3571,0,83.6370,1.000000,3.704435e-03,NaN,1,NaN,1,SAM 4:1,0.025560,8.035896e-03,0.02
45.00,0.9691,20.0,0.1000,1.0e-03,-1,5.23598776e-03,spinup,1.00000000e+00,1.00000000e+00,5.23598776e-03,9.60123793e-01,7.760682e-02,3.3083,0,84.4813,1.000000,5.978330e-03,NaN,1,NaN,1,SAM 4:1,0.025560,8.035896e-03,0.02
75.00,0.9691,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.10614604e-02,4.57329429e-02,5.12470765e-03,2.76169194e-02,2.493410e-01,20.0000,1,177.5415,0.274693,1.902005e-02,NaN,1,NaN,23,LAM 2:5,-0.010852,8.035896e-03,0.29
105.00,0.9691,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39164018e-01,3.88395627e-01,5.23598776e-03,1.32605994e-01,1.623303e-01,20.0000,1,113.8422,0.966464,1.764824e-02,NaN,1,NaN,22,SAM 5:1,0.000613,1.435672e-04,0.09
135.00,0.9691,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.34396094e-02,4.52703120e-02,5.23598776e-03,2.99951567e-02,2.296515e-01,20.0000,1,177.3634,0.274695,3.234712e-03,NaN,1,NaN,23,LAM 2:5,-0.010850,8.035896e-03,0.25
165.00,0.9691,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.74726006e-02,4.40295454e-02,5.23598776e-03,3.40358448e-02,2.020872e-01,20.0000,1,176.6745,0.274727,2.226318e-03,NaN,1,NaN,25,LAM 2:5,-0.010818,8.035896e-03,0.27
15.00,0.9730,20.0,0.1000,1.0e-03,-1,5.23598776e-03,spinup,1.00000000e+00,1.00000000e+00,5.23598776e-03,9.55797380e-01,8.820231e-02,3.3586,0,83.6675,1.000000,3.335532e-03,NaN,1,NaN,1,SAM 4:1,0.025560,1.205384e-02,0.02
45.00,0.9730,20.0,0.1000,1.0e-03,-1,5.23598776e-03,spinup,1.00000000e+00,1.00000000e+00,5.23598776e-03,9.59339804e-01,7.932714e-02,3.3169,0,84.1919,1.000000,7.149412e-03,NaN,1,NaN,1,SAM 4:1,0.025560,1.205384e-02,0.02
75.00,0.9730,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.46994319e-02,4.56978418e-02,4.70968247e-03,3.12576904e-02,2.202527e-01,20.0000,1,177.2911,0.274706,1.915690e-02,NaN,1,NaN,23,LAM 2:5,-0.010839,1.205384e-02,0.26
105.00,0.9730,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39211510e-01,3.09531209e-01,5.23598776e-03,1.23789311e-01,6.332352e-01,20.0000,1,112.2714,0.965734,1.811324e-02,NaN,1,NaN,67,SAM 5:1,-0.000117,1.169876e-04,0.12
135.00,0.9730,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.45376772e-02,4.50312602e-02,5.23598776e-03,3.10944981e-02,2.214854e-01,20.0000,1,177.3122,0.274700,5.062092e-03,NaN,1,NaN,23,LAM 2:5,-0.010845,1.205384e-02,0.26
165.00,0.9730,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.67847075e-02,4.48777306e-02,5.23598776e-03,3.33453403e-02,2.063859e-01,20.0000,1,176.8472,0.274716,1.045362e-03,NaN,1,NaN,25,LAM 2:5,-0.010829,1.205384e-02,0.27
15.00,0.9768,20.0,0.1000,1.0e-03,-1,5.23598776e-03,spinup,1.00000000e+00,1.00000000e+00,5.23598776e-03,9.55750785e-01,8.836300e-02,3.3600,0,83.6970,1.000000,3.043198e-03,NaN,1,NaN,0,SAM 4:1,0.025560,1.607179e-02,0.01
45.00,0.9768,20.0,0.1000,1.0e-03,-1,5.23598776e-03,spinup,1.00000000e+00,1.00000000e+00,5.23598776e-03,9.58713770e-01,8.069797e-02,3.3246,0,83.9623,1.000000,8.051032e-03,NaN,1,NaN,0,SAM 4:1,0.025560,1.607179e-02,0.01
75.00,0.9768,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.58212079e-02,4.58133116e-02,4.64668904e-03,3.23794018e-02,2.126489e-01,20.0000,1,177.1111,0.274706,1.784286e-02,NaN,1,1.83762406e-01,26,LAM 2:5,-0.010839,1.607179e-02,0.27
105.00,0.9768,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.55930182e-02,4.44469868e-02,5.23598776e-03,3.21517157e-02,2.141269e-01,20.0000,1,176.3980,0.274707,1.711972e-02,NaN,1,NaN,24,LAM 2:5,-0.010838,1.607179e-02,0.28
135.00,0.9768,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.52801411e-02,4.51416312e-02,5.23598776e-03,3.18387007e-02,2.162303e-01,20.0000,1,177.1680,0.274707,6.604757e-03,NaN,1,NaN,24,LAM 2:5,-0.010838,1.607179e-02,0.26
165.00,0.9768,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.73340337e-02,4.42805522e-02,5.23598776e-03,3.38968906e-02,2.029314e-01,20.0000,1,177.3128,0.274725,3.187243e-04,NaN,1,NaN,26,LAM 2:5,-0.010820,1.607179e-02,0.27
15.00,0.9807,20.0,0.1000,1.0e-03,-1,5.23598776e-03,spinup,1.00000000e+00,1.00000000e+00,5.23598776e-03,9.55703987e-01,8.852434e-02,3.3613,0,83.7258,1.000000,2.803296e-03,NaN,1,NaN,0,SAM 4:1,0.025560,2.008974e-02,0.02
45.00,0.9807,20.0,0.1000,1.0e-03,-1,5.23598776e-03,spinup,1.00000000e+00,1.00000000e+00,5.23598776e-03,9.58187134e-01,8.185574e-02,3.3317,0,83.7752,1.000000,8.801601e-03,NaN,1,NaN,0,SAM 4:1,0.025560,2.008974e-02,0.02
75.00,0.9807,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.55272407e-02,4.16686965e-02,4.95937980e-03,3.20918773e-02,2.143599e-01,20.0000,1,170.7040,0.274696,1.551637e-02,NaN,1,NaN,32,LAM 2:5,-0.010849,2.008974e-02,0.32
105.00,0.9807,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.55497054e-02,4.60506593e-02,5.23598776e-03,3.21076275e-02,2.144591e-01,20.0000,1,177.7298,0.274704,1.510631e-02,NaN,1,NaN,24,LAM 2:5,-0.010841,2.008974e-02,0.27
135.00,0.9807,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.64078710e-02,4.48157420e-02,5.23598776e-03,3.29688200e-02,2.087199e-01,20.0000,1,177.1769,0.274717,7.981474e-03,NaN,1,NaN,24,LAM 2:5,-0.010828,2.008974e-02,0.27
165.00,0.9807,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.68612006e-02,4.47917334e-02,5.23598776e-03,3.34220783e-02,2.059010e-01,20.0000,1,177.2673,0.274717,1.835339e-03,NaN,1,NaN,26,LAM 2:5,-0.010828,2.008974e-02,0.27
15.00,0.9845,20.0,0.1000,1.0e-03,-1,5.23598776e-03,spinup,1.00000000e+00,1.00000000e+00,5.23598776e-03,9.55655642e-01,8.869028e-02,3.3624,0,83.7540,1.000000,3.583851e-03,NaN,1,NaN,0,SAM 4:1,0.025560,2.410769e-02,0.02
45.00,0.9845,20.0,0.1000,1.0e-03,-1,5.23598776e-03,spinup,1.00000000e+00,1.00000000e+00,5.23598776e-03,9.57733502e-01,8.287512e-02,3.3381,0,83.6317,1.000000,9.455098e-03,NaN,1,NaN,0,SAM 4:1,0.025560,2.410769e-02,0.02
75.00,0.9845,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,1.39174167e-01,3.72257729e-01,4.16652567e-03,1.32612746e-01,1.629575e-01,20.0000,1,113.8366,0.966463,1.241853e-02,NaN,1,NaN,69,SAM 5:1,0.000612,3.452510e-04,0.26
105.00,0.9845,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.45617639e-02,4.14631907e-02,4.49978523e-03,3.11153129e-02,2.215216e-01,20.0000,1,177.4300,0.274686,1.231427e-02,NaN,1,NaN,32,LAM 2:5,-0.010859,2.410769e-02,0.28
135.00,0.9845,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.61145189e-02,4.55040373e-02,5.23598776e-03,3.26739036e-02,2.106770e-01,20.0000,1,177.1370,0.274711,9.246570e-03,NaN,1,NaN,26,LAM 2:5,-0.010834,2.410769e-02,0.26
165.00,0.9845,20.0,0.1000,1.0e-03,-1,5.23598776e-03,cycling,3.73511871e-02,4.41526077e-02,5.23598776e-03,3.39138251e-02,2.028405e-01,20.0000,1,177.1481,0.274724,3.479587e-03,NaN,1,NaN,26,LAM 2:5,-0.010821,2.410769e-02,0.26
15.00,0.9884,20.0,0.1000,1.0e-03,-1,5.23598776e-03,spinup,1.00000000e+00,1.00000000e+00,5.23598776e-03,9.55604270e-01,8.886481e-02,3.3634,0,83.7816,1.000000,5.037128e-03,NaN,1,NaN,0,SAM 4:1,0.025560,2.812564e-02,0.02
45.00,0.9884,20.0,0.1000,1.0e-03,-1,5.23598776e-03,spinup,1.00000000e+00,1.00000000e+00,5.23598776e-03,9.57341003e-01,8.380858e-02,3.3438,0,83.5444,1.000000,1.004081e-02,NaN,1,NaN,0,SAM 4:1,0.025560,2.812564e-02,0.02
