case_id,block,backend,ic_id,J,mu_over_J,sigma,band0,band_frac0,d_sep0,t_yr,omega_e,Id_over_Is,beta_deg,alpha_deg
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,0.000000e+00,1.71067940e-03,0.974122,60.9249,200.4551
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,1.000000e-03,2.10078987e-03,0.982852,67.2919,208.3908
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,1.102485e-03,2.14523300e-03,0.983392,68.0317,209.1808
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,1.215474e-03,2.19430799e-03,0.983931,68.8455,210.0427
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,1.340043e-03,2.24833846e-03,0.984466,69.7369,210.9817
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,1.477378e-03,2.30764461e-03,0.984992,70.7080,212.0032
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,1.628787e-03,2.37254573e-03,0.985503,71.7603,213.1131
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,1.795714e-03,2.44331372e-03,0.985998,72.8930,214.3175
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,1.979749e-03,2.52015555e-03,0.986473,74.1036,215.6229
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,2.182645e-03,2.60318476e-03,0.986929,75.3878,217.0358
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,2.406334e-03,2.69240344e-03,0.987366,76.7399,218.5632
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,2.652948e-03,2.78769462e-03,0.987788,78.1527,220.2131
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,2.924837e-03,2.88878497e-03,0.988199,79.6185,221.9939
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,3.224591e-03,2.99520625e-03,0.988606,81.1288,223.9153
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,3.555064e-03,3.10627309e-03,0.989017,82.6750,225.9884
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,3.919407e-03,3.22100062e-03,0.989441,84.2489,228.2261
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,4.321089e-03,3.33803231e-03,0.989888,85.8431,230.6441
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,4.763938e-03,3.45541594e-03,0.990369,87.4519,233.2621
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,5.252173e-03,3.57004120e-03,0.990894,89.0738,236.1060
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,5.790444e-03,3.67738119e-03,0.991469,90.7140,239.2125
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,6.383880e-03,3.77335341e-03,0.992099,92.3886,242.6257
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,7.038136e-03,3.85443060e-03,0.992780,94.1239,246.3953
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,7.759442e-03,3.91600995e-03,0.993507,95.9595,250.5814
1,backend,numeric,4,0.1000,1.0e-03,-1,SAM,0.3301,0.017577,8.554673e-03,3.95165713e-03,0.994272,97.9591,255.2591
