case_id,block,backend,ic_id,J,mu_over_J,sigma,band0,band_frac0,d_sep0,t_yr,omega_e,Id_over_Is,beta_deg,alpha_deg
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,0.000000e+00,7.89395007e-04,0.408497,38.2810,52.6808
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.000000e-03,7.80689325e-04,0.404672,37.7792,176.6202
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.102485e-03,7.79835387e-04,0.404259,37.7351,151.6336
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.215474e-03,7.78897535e-04,0.403806,38.0047,124.1229
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.340043e-03,7.77857596e-04,0.403321,38.4661,94.2219
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.477378e-03,7.76703553e-04,0.402804,38.7165,61.6998
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.628787e-03,7.75442350e-04,0.402232,38.4560,25.6257
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.795714e-03,7.74085668e-04,0.401571,38.0774,344.8596
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.979749e-03,7.72611751e-04,0.400832,38.3680,299.4722
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,2.182645e-03,7.70974091e-04,0.400053,38.8865,250.3779
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,2.406334e-03,7.69188730e-04,0.399192,38.4322,196.0404
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,2.652948e-03,7.67289642e-04,0.398187,38.3326,134.1860
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,2.924837e-03,7.65180659e-04,0.397135,39.2244,67.1685
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,3.224591e-03,7.62884922e-04,0.395980,38.5904,352.8860
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,3.555064e-03,7.60427237e-04,0.394671,39.3137,269.3556
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,3.919407e-03,7.57730997e-04,0.393277,38.7855,178.0256
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,4.321089e-03,7.54856122e-04,0.391700,39.8012,75.1407
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,4.763938e-03,7.51732149e-04,0.390003,39.1959,321.5448
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,5.252173e-03,7.48360566e-04,0.388167,39.6447,195.9827
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,5.790444e-03,7.44787595e-04,0.386113,40.5535,54.8167
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,6.383880e-03,7.40981233e-04,0.383872,40.8393,257.6732
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,7.038136e-03,7.36945643e-04,0.381446,41.2406,82.5186
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,7.759442e-03,7.32649606e-04,0.378881,41.7430,247.7500
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,8.554673e-03,7.28112029e-04,0.376138,41.9649,30.1556
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,9.431402e-03,7.23364696e-04,0.373185,41.8898,145.2950
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.039798e-02,7.18304532e-04,0.370182,43.6624,232.6708
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.146363e-02,7.12969712e-04,0.367083,44.1641,285.3291
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.263848e-02,7.07205444e-04,0.364078,44.8680,301.2839
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.393374e-02,7.00892299e-04,0.361265,46.6897,274.5576
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.536175e-02,6.93764869e-04,0.358876,47.7542,200.2427
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.693611e-02,6.85579200e-04,0.357062,50.1967,68.9768
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.867181e-02,6.75795108e-04,0.356245,51.9972,236.7917
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,2.058540e-02,6.63883343e-04,0.356810,52.5450,334.6525
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,2.269511e-02,6.49102880e-04,0.359284,54.8928,357.2117
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,2.502102e-02,6.30307549e-04,0.364161,57.5230,295.5100
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,2.758532e-02,6.06951730e-04,0.372376,59.1934,142.9683
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,3.041241e-02,5.78987516e-04,0.384567,62.1907,255.0844
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,3.352924e-02,5.46145661e-04,0.401488,63.3358,270.9807
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,3.696550e-02,5.08654206e-04,0.424019,63.6744,194.7316
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,4.075393e-02,4.65061466e-04,0.453392,63.8191,29.0930
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,4.493062e-02,4.13207309e-04,0.490662,62.3525,128.4617
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,4.953535e-02,3.46456968e-04,0.539876,59.1983,96.8273
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,5.461201e-02,2.47939289e-04,0.620811,51.9182,166.4094
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,6.020894e-02,4.39522935e-04,0.999621,95.3126,281.9776
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,6.637949e-02,3.03248128e-04,0.556181,155.2111,221.3162
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,7.318242e-02,4.06724326e-04,0.395565,143.9956,98.3038
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,8.068256e-02,4.42228235e-04,0.356687,126.1975,111.6829
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,8.895135e-02,4.37164354e-04,0.383748,111.4451,221.4463
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,9.806757e-02,4.28531214e-04,0.466106,102.7698,295.4509
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.081181e-01,4.49922579e-04,0.561125,95.9845,86.2960
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.191986e-01,4.76611732e-04,0.642782,89.1624,325.4199
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.314147e-01,4.41833966e-04,0.729359,76.8281,228.8304
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.448828e-01,2.41646260e-04,0.967670,161.1753,194.7836
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.597312e-01,7.42582309e-04,0.590824,135.5992,76.2712
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.761014e-01,9.47697786e-04,0.535516,125.1122,132.7831
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.941492e-01,1.08965684e-03,0.551744,116.5184,324.9810
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,2.140467e-01,1.21764517e-03,0.602266,109.0931,151.4559
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,2.359833e-01,1.32614326e-03,0.678173,102.4863,23.8018
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,2.601682e-01,1.37700363e-03,0.774252,91.8712,253.6099
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,2.868317e-01,1.15978534e-03,0.889514,81.0503,5.9200
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,3.162278e-01,1.82563084e-03,0.846835,139.1170,191.9448
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,3.486365e-01,2.69018552e-03,0.868875,119.4700,139.7607
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,3.843667e-01,3.86189276e-03,0.941763,96.2161,308.2380
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,4.237587e-01,3.27736903e-03,0.943141,149.4173,48.2801
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,4.671878e-01,6.38160721e-03,0.942631,116.6301,285.8331
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,5.150678e-01,7.38647302e-03,0.991959,119.9214,331.7916
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,5.678548e-01,1.18237900e-02,0.974959,103.0663,15.0969
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,6.260517e-01,1.82082239e-02,0.965046,121.4196,108.6268
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,6.902129e-01,1.34873523e-02,0.970990,122.0012,212.3847
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,7.609497e-01,6.87042461e-03,0.965774,117.4379,31.1697
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,8.389360e-01,8.70521890e-03,0.969998,115.7299,221.6171
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,9.249147e-01,8.42136409e-03,0.971424,115.3486,117.3867
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.019705e+00,7.34003132e-03,0.965243,110.4142,39.4597
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.124210e+00,5.29935726e-03,0.972261,119.4295,346.4021
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.239425e+00,6.12804398e-03,0.975817,115.8904,336.9970
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.366448e+00,5.48288070e-03,0.972628,118.2518,13.5770
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.506489e+00,7.59269324e-03,0.964550,111.9673,81.7199
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.660883e+00,8.30918319e-03,0.972193,115.4602,173.3052
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,1.831099e+00,5.82311236e-03,0.977405,116.7414,333.5769
1,backend,numeric,1,1.8000,1.0e-03,-1,LAM,0.1949,0.762218,2.018760e+00,7.59455370e-03,0.968832,115.6935,174.2380
