case_id,block,backend,ic_id,alpha0_deg,beta0_deg,Pe_min,Id0_over_Is,band0,band_frac0,d_sep0,J,mu_over_J,sigma,omega_e0,fate,omega_e_final,omega_e_tailmean,omega_e_peak,omega_e_min,ripple,t_end_yr,reached_horizon,alpha_final_deg,beta_final_deg,Id_final_over_Is,regime_final,n_sep_crossings,min_d_separatrix,eps_beta_max,in_domain,t_eps_exit_yr,timed_out,wall_s,error
1,backend,numeric,3,194.529,30.225,87.226,0.981020,SAM,0.5086,0.027086,10.0000,1.0e-03,-1,1.20056181e-03,incomplete,2.08685813e-03,1.95584792e-03,8.73688966e-03,2.75483839e-04,3.182289e-01,51.2395,0,299.167,112.3293,0.972661,SAM,2,5.416551e-03,2.496043e-01,1,NaN,1,902.99,
2,backend,numeric,7,19.462,21.135,151.466,0.966257,SAM,0.1265,0.006735,0.1000,1.0e-03,-1,6.91376261e-04,cycling,1.31938336e-01,1.83985239e-01,3.50604022e-01,6.91376261e-04,1.228974e+00,100.0000,1,317.169,133.7939,0.973951,SAM,36,8.919984e-05,5.939918e-02,1,NaN,0,71.21,
3,backend,numeric,10,298.233,145.041,43.208,0.537624,LAM,0.3829,0.584198,1.8000,1.0e-03,-1,2.42359495e-03,cycling,7.64962690e-03,7.34163482e-03,1.56099661e-02,2.21955725e-03,5.454354e-01,100.0000,1,139.382,115.9011,0.970626,SAM,1,3.497307e-03,1.317584e-02,1,NaN,0,611.58,
4,backend,numeric,13,305.654,133.791,50.962,0.457316,LAM,0.2660,0.694915,10.0000,1.0e-03,-1,2.05485823e-03,incomplete,1.77956875e-03,1.95452347e-03,2.62841709e-03,1.40730000e-03,3.157679e-01,35.2427,0,178.045,114.9499,0.970983,SAM,1,5.419782e-03,1.433215e-01,1,NaN,1,900.15,
5,backend,numeric,17,235.358,35.492,52.340,0.666382,LAM,0.5704,0.406688,0.1000,1.0e-03,-1,2.00076967e-03,cycling,1.24260622e-01,1.76792082e-01,3.29718820e-01,1.66535155e-03,1.038224e+00,100.0000,1,317.082,121.4483,0.968864,SAM,31,1.918010e-04,1.162909e-02,1,NaN,0,151.83,
6,backend,numeric,20,69.754,138.152,270.875,0.858092,LAM,0.8496,0.142388,1.8000,1.0e-03,-1,3.86597528e-04,cycling,7.55498153e-03,7.35352223e-03,9.91510805e-03,3.86597528e-04,5.507931e-01,100.0000,1,45.681,110.1580,0.965841,SAM,1,3.110794e-03,4.154504e-01,1,NaN,0,694.19,
7,backend,numeric,23,269.663,77.518,31.427,0.478995,LAM,0.2976,0.665027,10.0000,1.0e-03,-1,3.33215928e-03,incomplete,1.99128599e-03,1.95449946e-03,3.58139605e-03,1.60358202e-03,3.201947e-01,41.1024,0,215.895,113.1815,0.966953,SAM,1,5.473016e-03,1.439246e-01,1,NaN,1,900.06,
8,backend,numeric,27,16.840,108.236,192.640,0.991303,SAM,0.7748,0.041263,0.1000,1.0e-03,-1,5.43604690e-04,spinup,9.99999990e-01,8.84882943e-01,9.99999990e-01,5.43604690e-04,2.002043e-01,4.5914,0,177.110,69.6938,0.999999,SAM,6,6.500654e-04,6.374508e-01,1,NaN,0,17.64,
9,backend,numeric,30,247.968,41.007,178.899,0.783878,LAM,0.7415,0.244702,1.8000,1.0e-03,-1,5.85356922e-04,cycling,8.24832361e-03,7.34690316e-03,1.60901948e-02,5.85356922e-04,5.480137e-01,100.0000,1,253.443,111.5554,0.971818,SAM,1,2.799738e-03,1.534499e-01,1,NaN,0,625.99,
10,backend,numeric,33,158.819,114.065,186.593,0.982829,SAM,0.5555,0.029581,10.0000,1.0e-03,-1,5.61220578e-04,incomplete,1.77439669e-03,1.95393418e-03,3.00343708e-03,5.61220578e-04,3.189062e-01,37.3648,0,197.660,115.0955,0.971062,SAM,0,5.470947e-03,1.029034e+00,0,0.0000,1,905.33,
11,backend,numeric,37,1.407,48.623,414.254,0.429674,LAM,0.2257,0.733023,0.1000,1.0e-03,-1,2.52791406e-04,cycling,1.42396469e-01,1.69250636e-01,3.63596235e-01,2.50501211e-04,1.001828e+00,100.0000,1,337.473,85.6896,0.974834,SAM,33,1.561875e-04,2.551990e-01,1,NaN,0,197.18,
12,backend,numeric,40,127.438,49.806,227.770,0.337643,LAM,0.0917,0.859901,1.8000,1.0e-03,-1,4.59760133e-04,cycling,7.78252265e-03,7.35233525e-03,1.28311022e-02,3.95535975e-04,5.456653e-01,100.0000,1,51.650,110.2625,0.966708,SAM,1,2.655785e-03,1.879030e-01,1,NaN,0,574.71,
13,backend,numeric,43,100.949,90.725,40.653,0.917979,LAM,0.9368,0.059825,10.0000,1.0e-03,-1,2.57596268e-03,incomplete,1.70047443e-03,1.95398831e-03,4.63414235e-03,1.60308271e-03,3.127731e-01,71.5500,0,50.622,115.0914,0.966298,SAM,1,5.423642e-03,1.433878e-01,1,NaN,1,900.02,
14,backend,numeric,47,81.699,130.631,35.139,0.968583,SAM,0.1867,0.009940,0.1000,1.0e-03,-1,2.98012411e-03,spinup,1.00000000e+00,9.04691192e-01,1.00000000e+00,2.98012411e-03,1.491957e-01,4.6818,0,192.584,52.1632,1.000000,SAM,6,2.506539e-03,2.193754e-02,1,NaN,0,4.53,
