case_id,block,backend,ic_id,J,mu_over_J,sigma,band0,band_frac0,d_sep0,t_yr,omega_e,Id_over_Is,beta_deg,alpha_deg
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,0.000000e+00,1.20056181e-03,0.981020,30.2245,194.5294
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.000000e-03,1.74939609e-03,0.996221,47.2896,204.2610
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.102485e-03,1.81359435e-03,0.996629,49.1991,205.1967
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.215474e-03,1.88418316e-03,0.996990,51.2487,206.2044
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.340043e-03,1.96181203e-03,0.997302,53.4244,207.2876
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.477378e-03,2.04718277e-03,0.997569,55.7025,208.4493
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.628787e-03,2.14102679e-03,0.997795,58.0516,209.6919
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.795714e-03,2.24408629e-03,0.997984,60.4352,211.0173
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.979749e-03,2.35708456e-03,0.998142,62.8158,212.4276
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,2.182645e-03,2.48059449e-03,0.998276,65.1565,213.9253
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,2.406334e-03,2.61500972e-03,0.998392,67.4253,215.5128
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,2.652948e-03,2.76047769e-03,0.998496,69.5962,217.1940
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,2.924837e-03,2.91662842e-03,0.998594,71.6503,218.9743
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,3.224591e-03,3.08261850e-03,0.998691,73.5763,220.8615
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,3.555064e-03,3.25773281e-03,0.998789,75.3733,222.8632
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,3.919407e-03,3.44164301e-03,0.998890,77.0473,224.9864
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,4.321089e-03,3.63419381e-03,0.998994,78.6067,227.2385
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,4.763938e-03,3.83530076e-03,0.999100,80.0600,229.6276
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,5.252173e-03,4.04494785e-03,0.999206,81.4156,232.1619
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,5.790444e-03,4.26304128e-03,0.999311,82.6801,234.8504
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,6.383880e-03,4.48956080e-03,0.999413,83.8594,237.7023
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,7.038136e-03,4.72439177e-03,0.999509,84.9577,240.7275
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,7.759442e-03,4.96729557e-03,0.999599,85.9776,243.9374
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,8.554673e-03,5.21827791e-03,0.999681,86.9226,247.3428
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,9.431402e-03,5.47756362e-03,0.999753,87.7957,250.9543
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.039798e-02,5.74550509e-03,0.999814,88.5994,254.7831
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.146363e-02,6.02260763e-03,0.999865,89.3359,258.8402
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.263848e-02,6.30957473e-03,0.999905,90.0080,263.1372
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.393374e-02,6.60731656e-03,0.999936,90.6194,267.6868
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.536175e-02,6.91674135e-03,0.999958,91.1762,272.4994
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.693611e-02,7.23869371e-03,0.999974,91.6883,277.5856
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.867181e-02,7.57374015e-03,0.999985,92.1720,282.9558
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,2.058540e-02,7.92174852e-03,0.999991,92.6530,288.6215
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,2.269511e-02,8.28099480e-03,0.999995,93.1700,294.5965
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,2.502102e-02,8.64652847e-03,0.999998,93.7809,300.8982
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,2.758532e-02,9.00744763e-03,0.999999,94.5715,307.5526
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,3.041241e-02,9.34237011e-03,1.000000,95.6739,314.6014
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,3.352924e-02,9.61177078e-03,1.000000,97.3076,322.1154
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,3.696550e-02,9.74458552e-03,1.000000,99.8834,330.2271
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,4.075393e-02,9.59943923e-03,1.000000,104.3441,339.2009
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,4.493062e-02,8.88736770e-03,1.000000,113.4782,349.6933
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,4.953535e-02,7.08007847e-03,1.000000,135.2653,4.1993
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,5.461201e-02,2.33825461e-03,1.000000,168.4975,36.6051
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,6.020894e-02,2.74484233e-04,0.569126,172.5861,201.6862
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,6.637949e-02,4.00728026e-04,0.346213,168.1956,344.2368
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,7.318242e-02,4.44590201e-04,0.289248,151.6829,25.8200
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,8.068256e-02,4.61083703e-04,0.281767,121.8381,259.7793
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,8.895135e-02,3.86790818e-04,0.297296,99.4188,269.5650
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,9.806757e-02,2.93352595e-04,0.409490,92.0138,227.8878
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.081181e-01,2.64301530e-04,0.592202,83.8763,303.2161
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.191986e-01,1.31606801e-04,0.855627,54.7775,107.0052
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.314147e-01,4.81978478e-04,0.581156,140.5889,75.7275
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.448828e-01,6.41678134e-04,0.492654,127.1354,342.7798
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.597312e-01,7.30740549e-04,0.515354,115.9022,11.2100
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.761014e-01,8.09517665e-04,0.587930,107.2669,313.3161
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.941492e-01,8.63677340e-04,0.701871,97.5872,267.0402
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,2.140467e-01,8.07131224e-04,0.853015,82.6722,101.5507
1,backend,numeric,3,10.0000,1.0e-03,-1,SAM,0.5086,0.027086,2.359833e-01,1.08989638e-03,0.866774,153.8908,232.5245
