case_id,block,backend,ic_id,alpha0_deg,beta0_deg,Pe_min,Id0_over_Is,band0,band_frac0,d_sep0,J,mu_over_J,sigma,omega_e0,fate,omega_e_final,omega_e_tailmean,omega_e_peak,omega_e_min,ripple,t_end_yr,reached_horizon,alpha_final_deg,beta_final_deg,Id_final_over_Is,regime_final,n_sep_crossings,min_d_separatrix,eps_beta_max,in_domain,t_eps_exit_yr,timed_out,wall_s,error
1,backend,numeric,4,200.455,60.925,61.215,0.974122,SAM,0.3301,0.017577,0.1000,1.0e-03,-1,1.71067940e-03,spinup,1.00000000e+00,8.40153254e-01,1.00000000e+00,1.71067940e-03,3.151956e-01,10.4798,0,31.916,86.6093,1.000000,SAM,8,6.301850e-03,1.338946e-01,1,NaN,0,70.88,
2,backend,numeric,7,19.462,21.135,151.466,0.966257,SAM,0.1265,0.006735,1.8000,1.0e-03,-1,6.91376261e-04,cycling,8.06619872e-03,7.34759079e-03,1.97799920e-02,6.91376261e-04,5.460419e-01,100.0000,1,104.322,114.6277,0.971290,SAM,0,2.751489e-03,5.939918e-02,1,NaN,0,584.67,
3,backend,numeric,10,298.233,145.041,43.208,0.537624,LAM,0.3829,0.584198,10.0000,1.0e-03,-1,2.42359495e-03,incomplete,1.60830182e-03,1.95500750e-03,2.73768079e-03,1.60294486e-03,3.186871e-01,52.9076,0,357.073,116.0886,0.968864,SAM,1,5.417757e-03,1.436577e-01,1,NaN,1,900.17,
4,backend,numeric,14,35.528,16.368,288.722,0.997154,SAM,0.9263,0.049329,0.1000,1.0e-03,-1,3.62701039e-04,spinup,9.99999997e-01,8.41781708e-01,9.99999997e-01,3.62701039e-04,3.081510e-01,10.3622,0,29.407,85.5410,1.000000,SAM,8,2.259338e-03,1.953037e+00,0,0.0000,0,50.95,
5,backend,numeric,17,235.358,35.492,52.340,0.666382,LAM,0.5704,0.406688,1.8000,1.0e-03,-1,2.00076967e-03,cycling,8.22687089e-03,7.34855541e-03,1.73443607e-02,1.84064693e-03,5.425170e-01,100.0000,1,79.703,112.6432,0.970062,SAM,1,2.800510e-03,1.282260e-02,1,NaN,0,762.06,
6,backend,numeric,20,69.754,138.152,270.875,0.858092,LAM,0.8496,0.142388,10.0000,1.0e-03,-1,3.86597528e-04,incomplete,2.06549679e-03,1.95449372e-03,3.04979882e-03,3.86597528e-04,3.161597e-01,36.0578,0,220.615,112.6897,0.967422,SAM,1,5.539117e-03,4.154504e-01,1,NaN,1,900.05,
7,backend,numeric,24,355.373,57.820,37.664,0.854972,LAM,0.8451,0.146688,0.1000,1.0e-03,-1,2.78036422e-03,spinup,1.00000000e+00,8.75845427e-01,1.00000000e+00,1.81516706e-03,2.328415e-01,11.1853,0,17.618,68.6320,1.000000,SAM,7,4.657270e-06,5.507857e-03,1,NaN,0,34.81,
8,backend,numeric,27,16.840,108.236,192.640,0.991303,SAM,0.7748,0.041263,1.8000,1.0e-03,-1,5.43604690e-04,cycling,6.32166182e-03,7.34737092e-03,1.67208013e-02,5.43604690e-04,5.339189e-01,100.0000,1,313.984,115.8207,0.978273,SAM,2,2.630322e-03,6.374508e-01,1,NaN,0,662.01,
9,backend,numeric,30,247.968,41.007,178.899,0.783878,LAM,0.7415,0.244702,10.0000,1.0e-03,-1,5.85356922e-04,incomplete,1.84170741e-03,1.95435541e-03,2.33512602e-03,5.85356922e-04,3.158613e-01,39.9304,0,177.944,115.0185,0.968127,SAM,1,5.471359e-03,1.534499e-01,1,NaN,1,900.02,
10,backend,numeric,34,76.431,142.913,53.720,0.973521,SAM,0.3145,0.016749,0.1000,1.0e-03,-1,1.94935864e-03,spinup,1.00000000e+00,8.94320507e-01,1.00000000e+00,1.94935864e-03,2.251569e-01,10.3650,0,21.219,60.5325,1.000000,SAM,4,6.376724e-03,1.410187e-02,1,NaN,0,17.99,
11,backend,numeric,37,1.407,48.623,414.254,0.429674,LAM,0.2257,0.733023,1.8000,1.0e-03,-1,2.52791406e-04,cycling,7.56696471e-03,7.35075319e-03,9.27721820e-03,2.52791406e-04,5.425542e-01,100.0000,1,160.620,115.9606,0.969498,SAM,1,1.360792e-03,2.551990e-01,1,NaN,0,751.14,
12,backend,numeric,40,127.438,49.806,227.770,0.337643,LAM,0.0917,0.859901,10.0000,1.0e-03,-1,4.59760133e-04,incomplete,2.00280479e-03,1.95683507e-03,2.71272294e-03,2.75341185e-04,3.190381e-01,39.5156,0,330.253,112.5272,0.973832,SAM,1,5.453713e-03,1.879030e-01,1,NaN,1,900.03,
13,backend,numeric,44,229.967,161.841,144.001,0.431372,LAM,0.2282,0.730683,0.1000,1.0e-03,-1,7.27216965e-04,spinup,9.99999974e-01,8.94416997e-01,9.99999974e-01,3.12894708e-04,1.893026e-01,4.7402,0,178.426,75.3062,0.999999,SAM,7,8.744554e-04,1.234514e-01,1,NaN,0,21.87,
14,backend,numeric,47,81.699,130.631,35.139,0.968583,SAM,0.1867,0.009940,1.8000,1.0e-03,-1,2.98012411e-03,cycling,7.71881672e-03,7.34210315e-03,9.75341459e-03,2.98012411e-03,5.482840e-01,100.0000,1,132.227,115.7732,0.970931,SAM,0,3.032604e-03,1.300024e-02,1,NaN,0,432.86,
