case_id,block,backend,ic_id,J,mu_over_J,sigma,band0,band_frac0,d_sep0,t_yr,omega_e,Id_over_Is,beta_deg,alpha_deg
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,0.000000e+00,8.86467479e-04,0.367820,103.8745,264.8843
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,1.000000e-03,8.79938186e-04,0.372915,102.3432,356.0873
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,1.102485e-03,8.79266194e-04,0.373458,102.1512,329.0133
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,1.215474e-03,8.78533681e-04,0.374057,102.5729,299.1899
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,1.340043e-03,8.77750247e-04,0.374709,103.2038,266.2115
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,1.477378e-03,8.76903255e-04,0.375424,103.1354,229.8140
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,1.628787e-03,8.75957167e-04,0.376226,102.1794,189.9723
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,1.795714e-03,8.74879306e-04,0.377135,101.7370,146.4582
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,1.979749e-03,8.73720859e-04,0.378133,102.6703,98.5308
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,2.182645e-03,8.72507267e-04,0.379216,102.8577,45.5536
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,2.406334e-03,8.71135162e-04,0.380440,101.6442,347.7406
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,2.652948e-03,8.69607115e-04,0.381811,102.2752,284.4999
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,2.924837e-03,8.68011189e-04,0.383307,102.2015,214.6722
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,3.224591e-03,8.66178528e-04,0.385010,101.2474,138.7033
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,3.555064e-03,8.64249941e-04,0.386880,102.3650,55.1610
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,3.919407e-03,8.62116519e-04,0.388980,101.0558,324.0752
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,4.321089e-03,8.59836640e-04,0.391310,101.8000,224.2921
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,4.763938e-03,8.57286886e-04,0.393941,101.1086,115.7552
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,5.252173e-03,8.54626173e-04,0.396851,100.6857,356.9821
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,5.790444e-03,8.51716632e-04,0.400119,101.2680,227.9739
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,6.383880e-03,8.48551789e-04,0.403784,101.0663,87.8467
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,7.038136e-03,8.45217967e-04,0.407873,100.3694,295.7244
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,7.759442e-03,8.41656208e-04,0.412457,99.7546,130.9034
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,8.554673e-03,8.37909728e-04,0.417585,99.6080,312.8686
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,9.431402e-03,8.33942010e-04,0.423356,99.3847,121.0136
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,1.039798e-02,8.29841843e-04,0.429816,99.5499,274.8628
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,1.146363e-02,8.25593276e-04,0.437083,99.3987,53.8852
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,1.263848e-02,8.21258820e-04,0.445240,98.1871,178.2696
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,1.393374e-02,8.16848570e-04,0.454379,98.2608,287.9091
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,1.536175e-02,8.12494324e-04,0.464548,97.8723,22.6750
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,1.693611e-02,8.08249140e-04,0.475846,97.3038,103.4956
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,1.867181e-02,8.04348077e-04,0.488375,96.4391,170.6891
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,2.058540e-02,8.00755713e-04,0.502273,96.1380,225.4509
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,2.269511e-02,7.97352439e-04,0.517586,95.4946,269.0265
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,2.502102e-02,7.94081554e-04,0.534509,94.7915,302.9376
1,backend,numeric,2,10.0000,1.0e-03,-1,LAM,0.1357,0.818298,2.758532e-02,7.90779497e-04,0.553239,94.0928,329.1144
