case_id,block,backend,ic_id,alpha0_deg,beta0_deg,Pe_min,Id0_over_Is,band0,band_frac0,d_sep0,J,mu_over_J,sigma,omega_e0,fate,omega_e_final,omega_e_tailmean,omega_e_peak,omega_e_min,ripple,t_end_yr,reached_horizon,alpha_final_deg,beta_final_deg,Id_final_over_Is,regime_final,n_sep_crossings,min_d_separatrix,eps_beta_max,in_domain,t_eps_exit_yr,timed_out,wall_s,error
33,main,analytic,3,194.529,30.225,87.226,0.981020,SAM,0.5086,0.027086,5.0000,1.0e-03,-1,1.20056181e-03,despin,1.00000000e-08,1.20090143e-02,1.73081655e-01,1.00000000e-08,3.969034e+00,0.6903,0,221.828,88.2320,0.274650,LAM,1,2.708618e-02,6.582352e+08,0,0.6592,0,12.12,
35,main,analytic,3,194.529,30.225,87.226,0.981020,SAM,0.5086,0.027086,10.0000,1.0e-03,-1,1.20056181e-03,cycling,6.40247407e-03,6.05773002e-03,1.73127510e-01,1.20056181e-03,2.608429e-01,100.0000,1,142.202,145.9673,0.970900,SAM,0,1.023185e-02,1.031748e-01,1,NaN,0,11.24,
45,main,analytic,4,200.455,60.925,61.215,0.974122,SAM,0.3301,0.017577,5.0000,1.0e-03,-1,1.71067940e-03,spinup,1.00000000e+00,9.53645804e-01,1.00000000e+00,1.71067940e-03,9.404627e-02,3.4050,0,178.852,83.8234,1.000000,SAM,0,1.757722e-02,1.338946e-01,1,NaN,0,0.42,
47,main,analytic,4,200.455,60.925,61.215,0.974122,SAM,0.3301,0.017577,10.0000,1.0e-03,-1,1.71067940e-03,despin,1.00000000e-08,1.07845916e-02,1.21754308e-01,1.00000000e-08,3.765267e+00,0.5603,0,6.741,87.7047,0.274650,LAM,1,1.757722e-02,7.505697e+08,0,0.5505,0,2.26,
79,main,analytic,7,19.462,21.135,151.466,0.966257,SAM,0.1265,0.006735,1.8000,1.0e-03,-1,6.91376261e-04,spinup,1.00000000e+00,9.65939024e-01,1.00000000e+00,6.91376261e-04,6.587579e-02,3.2471,0,187.562,87.2895,1.000000,SAM,0,6.734505e-03,5.939918e-02,1,NaN,0,0.07,
81,main,analytic,7,19.462,21.135,151.466,0.966257,SAM,0.1265,0.006735,5.0000,1.0e-03,-1,6.91376261e-04,spinup,1.00000000e+00,9.65877083e-01,1.00000000e+00,6.91376261e-04,6.600659e-02,3.2474,0,187.525,87.2633,1.000000,SAM,0,6.734505e-03,5.939918e-02,1,NaN,0,0.48,
83,main,analytic,7,19.462,21.135,151.466,0.966257,SAM,0.1265,0.006735,10.0000,1.0e-03,-1,6.91376261e-04,spinup,1.00000000e+00,9.65848231e-01,1.00000000e+00,6.91376261e-04,6.606613e-02,3.2475,0,187.510,87.2503,1.000000,SAM,0,6.734505e-03,5.939918e-02,1,NaN,0,0.55,
129,main,analytic,11,149.199,44.401,96.535,0.971442,SAM,0.2607,0.013882,5.0000,1.0e-03,-1,1.08478174e-03,cycling,1.00106836e-02,1.20252481e-02,2.03674363e-01,7.69159418e-05,4.253816e-01,100.0000,1,348.101,141.1266,0.969728,SAM,2,9.631786e-03,5.622495e-01,1,NaN,0,4.73,
131,main,analytic,11,149.199,44.401,96.535,0.971442,SAM,0.2607,0.013882,10.0000,1.0e-03,-1,1.08478174e-03,despin,1.00000003e-08,2.12796831e-02,2.20917565e-01,1.00000003e-08,3.214057e+00,0.8129,0,218.018,77.1811,0.920284,LAM,1,1.388154e-02,4.814714e+06,0,0.7844,0,5.87,
139,main,analytic,12,142.217,85.601,33.409,0.997980,SAM,0.9477,0.050469,1.8000,1.0e-03,-1,3.13452034e-03,cycling,4.29963461e-02,3.93356789e-02,4.38937975e-01,1.57661035e-04,3.978946e-01,100.0000,1,346.379,150.0699,0.973994,SAM,0,6.098625e-04,1.670928e-02,1,NaN,0,12.51,
