traj_id,band0,band_frac0,beta0_deg,Id0_over_Is,t_yr,Id_over_Is,beta_deg,omega_e
1,LAM,0.100,30.0,0.343322,0.000000,0.34332213,30.00000,8.72664626e-04
1,LAM,0.100,30.0,0.343322,0.002500,0.33754125,38.73907,8.67045230e-04
1,LAM,0.100,30.0,0.343322,0.005001,0.34204646,49.05199,8.39321164e-04
1,LAM,0.100,30.0,0.343322,0.007501,0.35911476,57.02355,7.86076160e-04
1,LAM,0.100,30.0,0.343322,0.010001,0.39491557,64.45932,7.07211169e-04
1,LAM,0.100,30.0,0.343322,0.012502,0.45817659,72.35622,6.09312296e-04
1,LAM,0.100,30.0,0.343322,0.015002,0.55696790,76.62339,5.05222841e-04
1,LAM,0.100,30.0,0.343322,0.017502,0.69227813,78.52169,4.08414300e-04
1,LAM,0.100,30.0,0.343322,0.020003,0.84952311,79.34919,3.25092606e-04
1,LAM,0.100,30.0,0.343322,0.022503,0.95751121,125.23200,2.66148128e-04
1,LAM,0.100,30.0,0.343322,0.025003,0.87572261,165.34347,5.07664934e-04
1,LAM,0.100,30.0,0.343322,0.027503,0.77579398,177.95309,6.17440469e-04
1,LAM,0.100,30.0,0.343322,0.030004,0.70048209,179.73883,6.99006323e-04
1,LAM,0.100,30.0,0.343322,0.032504,0.64017682,179.95018,7.67095370e-04
1,LAM,0.100,30.0,0.343322,0.035004,0.58955923,179.91606,8.26859035e-04
1,LAM,0.100,30.0,0.343322,0.037505,0.54588234,179.88773,8.80866622e-04
1,LAM,0.100,30.0,0.343322,0.040005,0.50759292,179.84780,9.30621005e-04
1,LAM,0.100,30.0,0.343322,0.042505,0.47376385,179.79830,9.77051234e-04
1,LAM,0.100,30.0,0.343322,0.045006,0.44381979,179.74080,1.02071852e-03
1,LAM,0.100,30.0,0.343322,0.047506,0.41738491,179.67648,1.06192371e-03
1,LAM,0.100,30.0,0.343322,0.050006,0.39418948,179.60530,1.10078032e-03
1,LAM,0.100,30.0,0.343322,0.052507,0.37400989,179.52695,1.13727763e-03
1,LAM,0.100,30.0,0.343322,0.055007,0.35663128,179.44265,1.17134136e-03
1,LAM,0.100,30.0,0.343322,0.057507,0.34182772,179.35325,1.20288943e-03
1,LAM,0.100,30.0,0.343322,0.060008,0.32935601,179.26037,1.23187671e-03
1,LAM,0.100,30.0,0.343322,0.062508,0.31895916,179.16569,1.25832272e-03
1,LAM,0.100,30.0,0.343322,0.065008,0.31037534,179.07106,1.28232057e-03
1,LAM,0.100,30.0,0.343322,0.067508,0.30334850,178.97817,1.30402973e-03
1,LAM,0.100,30.0,0.343322,0.070009,0.29763780,178.88837,1.32365868e-03
1,LAM,0.100,30.0,0.343322,0.072509,0.29302441,178.80283,1.34144377e-03
1,LAM,0.100,30.0,0.343322,0.075009,0.28931527,178.72195,1.35762940e-03
1,LAM,0.100,30.0,0.343322,0.077510,0.28634415,178.64634,1.37245246e-03
1,LAM,0.100,30.0,0.343322,0.080010,0.28397076,178.57557,1.38613185e-03
1,LAM,0.100,30.0,0.343322,0.082510,0.28207855,178.50980,1.39886270e-03
1,LAM,0.100,30.0,0.343322,0.085011,0.28057190,178.44851,1.41081425e-03
1,LAM,0.100,30.0,0.343322,0.087511,0.27937314,178.39106,1.42213022e-03
1,LAM,0.100,30.0,0.343322,0.090011,0.27841962,178.33763,1.43293074e-03
1,LAM,0.100,30.0,0.343322,0.092512,0.27766112,178.28710,1.44331500e-03
1,LAM,0.100,30.0,0.343322,0.095012,0.27705755,178.23934,1.45336411e-03
1,LAM,0.100,30.0,0.343322,0.097512,0.27657699,178.19454,1.46314397e-03
1,LAM,0.100,30.0,0.343322,0.100013,0.27619408,178.15137,1.47270781e-03
1,LAM,0.100,30.0,0.343322,0.102513,0.27588871,178.11014,1.48209848e-03
