case_id,block,backend,ic_id,J,mu_over_J,sigma,band0,band_frac0,d_sep0,t_yr,omega_e,Id_over_Is,beta_deg,alpha_deg
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,0.000000e+00,7.89395007e-04,0.408497,38.2810,52.6808
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,1.000000e-03,7.67179881e-04,0.413037,44.6303,186.8562
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,1.102485e-03,7.64599350e-04,0.413764,45.1493,163.2375
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,1.215474e-03,7.61685726e-04,0.414627,46.0331,137.1280
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,1.340043e-03,7.58361471e-04,0.415681,47.2936,108.5824
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,1.477378e-03,7.54548276e-04,0.416984,48.6177,77.5335
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,1.628787e-03,7.50197535e-04,0.418563,49.5628,43.4791
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,1.795714e-03,7.45285125e-04,0.420417,50.1647,5.5504
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,1.979749e-03,7.39737008e-04,0.422595,51.2044,323.2539
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,2.182645e-03,7.33378134e-04,0.425255,53.0256,277.0169
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,2.406334e-03,7.26064872e-04,0.428525,54.4628,226.7634
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,2.652948e-03,7.17776367e-04,0.432402,55.2829,170.9467
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,2.924837e-03,7.08341305e-04,0.437059,57.3381,109.3745
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,3.224591e-03,6.97477342e-04,0.442833,59.3425,42.9846
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,3.555064e-03,6.85153903e-04,0.449755,60.5493,329.9313
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,3.919407e-03,6.71134699e-04,0.458177,62.9537,250.6679
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,4.321089e-03,6.55252682e-04,0.468395,64.2589,164.8379
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,4.763938e-03,6.37342757e-04,0.480795,66.8157,72.2599
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,5.252173e-03,6.17225618e-04,0.495912,68.4387,333.5102
1,main,analytic,1,0.1000,1.0e-03,-1,LAM,0.1949,0.762218,5.790444e-03,5.94815795e-04,0.514232,70.4200,228.5626
