case_id,block,backend,ic_id,alpha0_deg,beta0_deg,Pe_min,Id0_over_Is,band0,band_frac0,d_sep0,J,mu_over_J,sigma,omega_e0,fate,omega_e_final,omega_e_tailmean,omega_e_peak,omega_e_min,ripple,t_end_yr,reached_horizon,alpha_final_deg,beta_final_deg,Id_final_over_Is,regime_final,n_sep_crossings,min_d_separatrix,eps_beta_max,in_domain,t_eps_exit_yr,timed_out,wall_s,error
1,backend,numeric,1,52.681,38.281,132.658,0.408497,LAM,0.1949,0.762218,0.1000,1.0e-03,-1,7.89395007e-04,spinup,9.99999989e-01,8.55559445e-01,9.99999989e-01,2.45719446e-04,2.918730e-01,10.9804,0,32.246,77.3574,1.000000,SAM,5,4.057247e-03,5.987135e-01,1,NaN,0,109.38,
2,backend,numeric,4,200.455,60.925,61.215,0.974122,SAM,0.3301,0.017577,1.8000,1.0e-03,-1,1.71067940e-03,cycling,8.23755895e-03,7.34989256e-03,1.01678249e-02,1.71067940e-03,5.406946e-01,100.0000,1,222.601,113.4552,0.968879,SAM,0,2.594185e-03,1.338946e-01,1,NaN,0,548.81,
3,backend,numeric,7,19.462,21.135,151.466,0.966257,SAM,0.1265,0.006735,10.0000,1.0e-03,-1,6.91376261e-04,incomplete,2.18198692e-03,1.95557203e-03,2.84292039e-03,6.91376261e-04,3.122349e-01,54.9810,0,72.823,112.1001,0.970390,SAM,2,5.435954e-03,1.427305e-01,1,NaN,1,922.70,
4,backend,numeric,11,149.199,44.401,96.535,0.971442,SAM,0.2607,0.013882,0.1000,1.0e-03,-1,1.08478174e-03,spinup,1.00000000e+00,8.80014747e-01,1.00000000e+00,1.08478174e-03,2.875487e-01,11.7417,0,44.255,66.0189,1.000000,SAM,4,1.265996e-02,1.313102e-01,1,NaN,0,24.28,
5,backend,numeric,14,35.528,16.368,288.722,0.997154,SAM,0.9263,0.049329,1.8000,1.0e-03,-1,3.62701039e-04,cycling,8.04519676e-03,7.34763895e-03,8.98440797e-03,3.62701039e-04,5.444126e-01,100.0000,1,106.078,114.7342,0.971317,SAM,2,2.795576e-03,1.953037e+00,0,0.0000,0,748.61,
6,backend,numeric,17,235.358,35.492,52.340,0.666382,LAM,0.5704,0.406688,10.0000,1.0e-03,-1,2.00076967e-03,incomplete,1.79999215e-03,1.95537295e-03,5.03794089e-03,9.55201116e-04,3.130275e-01,37.2874,0,218.229,114.6931,0.967950,SAM,1,5.439486e-03,1.425249e-01,1,NaN,1,900.05,
7,backend,numeric,21,252.742,68.755,35.698,0.974839,SAM,0.3486,0.018566,0.1000,1.0e-03,-1,2.93351415e-03,cycling,1.38961268e-01,1.79872794e-01,3.78951440e-01,2.93351415e-03,1.327267e+00,100.0000,1,318.805,106.5849,0.963173,SAM,28,2.179006e-05,4.850739e-02,1,NaN,0,125.70,
8,backend,numeric,24,355.373,57.820,37.664,0.854972,LAM,0.8451,0.146688,1.8000,1.0e-03,-1,2.78036422e-03,cycling,7.60244404e-03,7.34320700e-03,1.47936972e-02,2.78036422e-03,5.446622e-01,100.0000,1,145.938,115.9687,0.970301,SAM,1,2.736748e-03,1.270598e-02,1,NaN,0,654.57,
9,backend,numeric,27,16.840,108.236,192.640,0.991303,SAM,0.7748,0.041263,10.0000,1.0e-03,-1,5.43604690e-04,incomplete,1.69317073e-03,1.95553722e-03,2.97379313e-03,5.43604690e-04,3.174288e-01,41.3226,0,15.479,116.1819,0.969807,SAM,0,5.462266e-03,6.374508e-01,1,NaN,1,900.02,
10,backend,numeric,31,322.285,154.811,446.233,0.722088,LAM,0.6516,0.329888,0.1000,1.0e-03,-1,2.34674891e-04,spinup,1.00000007e+00,9.32740941e-01,1.00000007e+00,2.34674891e-04,1.428795e-01,6.1073,0,189.822,83.4699,0.999994,SAM,5,8.193469e-05,8.196526e-01,1,NaN,0,24.83,
11,backend,numeric,34,76.431,142.913,53.720,0.973521,SAM,0.3145,0.016749,1.8000,1.0e-03,-1,1.94935864e-03,cycling,7.94983560e-03,7.34727511e-03,1.50779081e-02,1.94935864e-03,5.415139e-01,100.0000,1,113.592,115.1347,0.971348,SAM,0,2.619538e-03,1.410187e-02,1,NaN,0,693.63,
12,backend,numeric,37,1.407,48.623,414.254,0.429674,LAM,0.2257,0.733023,10.0000,1.0e-03,-1,2.52791406e-04,incomplete,1.93029539e-03,1.95538439e-03,2.73135983e-03,3.99946178e-05,3.044611e-01,40.2165,0,136.122,114.0919,0.972712,SAM,1,5.450982e-03,2.551990e-01,1,NaN,1,900.01,
13,backend,numeric,41,113.235,52.916,67.055,0.696394,LAM,0.6141,0.365311,0.1000,1.0e-03,-1,1.56170991e-03,cycling,1.43579884e-01,1.78529639e-01,3.27360365e-01,1.56170991e-03,1.335999e+00,100.0000,1,319.334,101.6002,0.963315,SAM,31,1.337600e-04,1.353160e-02,1,NaN,0,88.65,
14,backend,numeric,44,229.967,161.841,144.001,0.431372,LAM,0.2282,0.730683,1.8000,1.0e-03,-1,7.27216965e-04,cycling,5.93120187e-03,7.34661780e-03,1.81762881e-02,6.74044943e-04,5.414745e-01,100.0000,1,322.255,117.4524,0.977641,SAM,1,2.558373e-03,2.969329e-02,1,NaN,0,411.91,
15,backend,numeric,47,81.699,130.631,35.139,0.968583,SAM,0.1867,0.009940,10.0000,1.0e-03,-1,2.98012411e-03,incomplete,1.84402139e-03,1.97380876e-03,2.98012411e-03,1.60287315e-03,3.082878e-01,96.8891,0,155.591,115.9850,0.970912,SAM,0,5.520829e-03,1.425531e-01,1,NaN,1,900.02,
