case_id,block,backend,ic_id,alpha0_deg,beta0_deg,Pe_min,Id0_over_Is,band0,band_frac0,d_sep0,J,mu_over_J,sigma,omega_e0,fate,omega_e_final,omega_e_tailmean,omega_e_peak,omega_e_min,ripple,t_end_yr,reached_horizon,alpha_final_deg,beta_final_deg,Id_final_over_Is,regime_final,n_sep_crossings,min_d_separatrix,eps_beta_max,in_domain,t_eps_exit_yr,timed_out,wall_s,error
1,backend,numeric,1,52.681,38.281,132.658,0.408497,LAM,0.1949,0.762218,10.0000,1.0e-03,-1,7.89395007e-04,incomplete,1.82234389e-03,1.95459539e-03,2.23004339e-03,2.96572758e-04,3.152171e-01,51.2152,0,159.540,114.6739,0.971966,SAM,1,5.466981e-03,1.440151e-01,1,NaN,1,901.17,
2,backend,numeric,5,108.291,94.232,44.569,0.965129,SAM,0.0972,0.005179,0.1000,1.0e-03,-1,2.34962900e-03,cycling,1.43004812e-01,1.78739295e-01,3.63700136e-01,2.34962900e-03,1.340594e+00,100.0000,1,319.267,102.1876,0.963254,SAM,28,2.365715e-04,7.474900e-02,1,NaN,0,65.07,
3,backend,numeric,8,236.749,97.952,38.511,0.970806,SAM,0.2442,0.013006,1.8000,1.0e-03,-1,2.71921918e-03,cycling,5.81997490e-03,7.34614591e-03,8.98675943e-03,2.71921918e-03,5.425959e-01,100.0000,1,324.681,117.9202,0.977315,SAM,0,2.565507e-03,7.091099e-02,1,NaN,0,589.66,
4,backend,numeric,11,149.199,44.401,96.535,0.971442,SAM,0.2607,0.013882,10.0000,1.0e-03,-1,1.08478174e-03,incomplete,2.15321414e-03,1.95427673e-03,3.06478938e-03,1.08478174e-03,3.189199e-01,35.1312,0,253.382,111.8895,0.969491,SAM,0,5.444719e-03,1.438830e-01,1,NaN,1,900.06,
5,backend,numeric,15,188.236,52.272,70.510,0.989515,SAM,0.7286,0.038798,0.1000,1.0e-03,-1,1.48518321e-03,cycling,1.63164556e-01,1.81118520e-01,5.11608647e-01,1.48518321e-03,1.304023e+00,100.0000,1,321.438,153.0899,0.983234,SAM,30,8.786178e-05,1.241440e-01,1,NaN,0,147.34,
6,backend,numeric,18,169.417,38.878,47.927,0.311999,LAM,0.0544,0.895255,1.8000,1.0e-03,-1,2.18497286e-03,cycling,7.98370175e-03,7.34510988e-03,1.13457158e-02,1.09927489e-03,5.396221e-01,100.0000,1,269.654,111.2056,0.974103,SAM,1,2.579907e-03,1.268260e-02,1,NaN,0,704.13,
7,backend,numeric,21,252.742,68.755,35.698,0.974839,SAM,0.3486,0.018566,10.0000,1.0e-03,-1,2.93351415e-03,incomplete,1.67931472e-03,1.95598862e-03,1.01470419e-02,2.64402649e-04,3.198799e-01,41.1531,0,355.600,115.9472,0.969290,SAM,2,5.445756e-03,7.808895e-01,1,NaN,1,900.04,
8,backend,numeric,25,342.489,158.377,139.179,0.964143,SAM,0.0717,0.003820,0.1000,1.0e-03,-1,7.52408181e-04,cycling,1.38974929e-01,1.79951771e-01,3.26546635e-01,7.52408181e-04,1.331216e+00,100.0000,1,318.738,106.8263,0.963073,SAM,20,1.012718e-04,2.201853e-01,1,NaN,0,117.75,
9,backend,numeric,28,25.659,31.108,42.103,0.996702,SAM,0.9146,0.048707,1.8000,1.0e-03,-1,2.48725381e-03,cycling,7.56877146e-03,7.34748364e-03,1.82158014e-02,2.32867720e-03,5.440905e-01,100.0000,1,154.664,115.9899,0.969828,SAM,2,4.169088e-04,5.827808e-02,1,NaN,0,624.14,
10,backend,numeric,31,322.285,154.811,446.233,0.722088,LAM,0.6516,0.329888,10.0000,1.0e-03,-1,2.34674891e-04,incomplete,2.02191722e-03,1.95734419e-03,2.27057985e-03,2.34674891e-04,3.064075e-01,36.7646,0,143.732,115.0800,0.972831,SAM,1,5.543145e-03,8.196526e-01,1,NaN,1,900.13,
11,backend,numeric,35,325.722,143.296,375.761,0.579000,LAM,0.4432,0.527156,0.1000,1.0e-03,-1,2.78687292e-04,spinup,1.00000001e+00,8.55901756e-01,1.00000001e+00,2.78687292e-04,3.318143e-01,5.0682,0,157.032,84.8150,1.000000,SAM,5,6.349538e-04,5.255411e-01,1,NaN,0,26.61,
12,backend,numeric,38,219.589,32.620,89.033,0.974348,SAM,0.3359,0.017889,1.8000,1.0e-03,-1,1.17619231e-03,cycling,8.13190992e-03,7.35093616e-03,1.84187687e-02,1.17619231e-03,5.433523e-01,100.0000,1,66.561,111.3616,0.968717,SAM,0,2.608835e-03,6.407904e-02,1,NaN,0,611.02,
13,backend,numeric,41,113.235,52.916,67.055,0.696394,LAM,0.6141,0.365311,10.0000,1.0e-03,-1,1.56170991e-03,incomplete,1.98421822e-03,1.95372118e-03,2.87282488e-03,1.08841802e-03,3.198031e-01,70.0187,0,205.120,113.3351,0.967002,SAM,1,5.521342e-03,1.419429e-01,1,NaN,1,900.01,
14,backend,numeric,45,39.593,46.980,75.930,0.702714,LAM,0.6233,0.356599,0.1000,1.0e-03,-1,1.37916690e-03,spinup,1.00000000e+00,8.97703923e-01,1.00000000e+00,7.45511236e-04,1.918676e-01,5.7437,0,180.897,80.0197,0.999997,SAM,7,3.303350e-03,1.411512e-01,1,NaN,0,9.28,
15,backend,numeric,48,12.055,148.644,150.267,0.983830,SAM,0.5814,0.030961,1.8000,1.0e-03,-1,6.96892474e-04,cycling,7.86020062e-03,7.34581091e-03,1.69477006e-02,6.96892474e-04,5.385579e-01,100.0000,1,120.462,115.4259,0.971269,SAM,2,2.563551e-03,3.751073e-01,1,NaN,0,280.20,
