case_id,block,backend,ic_id,J,mu_over_J,sigma,band0,band_frac0,d_sep0,t_yr,omega_e,Id_over_Is,beta_deg,alpha_deg
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,0.000000e+00,7.89395007e-04,0.408497,38.2810,52.6808
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.000000e-03,7.79939435e-04,0.405052,37.7786,176.6409
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.102485e-03,7.79009653e-04,0.404676,37.7342,151.6601
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.215474e-03,7.77988454e-04,0.404264,38.0020,124.1554
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.340043e-03,7.76857305e-04,0.403823,38.4608,94.2592
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.477378e-03,7.75603233e-04,0.403355,38.7102,61.7407
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.628787e-03,7.74232095e-04,0.402835,38.4514,25.6727
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.795714e-03,7.72754580e-04,0.402232,38.0739,344.9189
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.979749e-03,7.71148069e-04,0.401555,38.3601,299.5449
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,2.182645e-03,7.69365475e-04,0.400843,38.8737,250.4568
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,2.406334e-03,7.67421324e-04,0.400054,38.4226,196.1290
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,2.652948e-03,7.65347211e-04,0.399128,38.3200,134.2954
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,2.924837e-03,7.63047960e-04,0.398159,39.2028,67.2842
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,3.224591e-03,7.60543858e-04,0.397095,38.5749,353.0174
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,3.555064e-03,7.57858552e-04,0.395881,39.2831,269.5023
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,3.919407e-03,7.54913747e-04,0.394588,38.7602,178.1785
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,4.321089e-03,7.51767254e-04,0.393118,39.7566,75.2980
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,4.763938e-03,7.48346486e-04,0.391533,39.1556,321.7083
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,5.252173e-03,7.44649243e-04,0.389817,39.5937,196.1218
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,5.790444e-03,7.40717951e-04,0.387887,40.4811,54.9263
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,6.383880e-03,7.36515200e-04,0.385779,40.7523,257.7395
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,7.038136e-03,7.32051940e-04,0.383473,41.1369,82.4945
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,7.759442e-03,7.27298623e-04,0.381026,41.6168,247.5756
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,8.554673e-03,7.22262906e-04,0.378407,41.8177,29.7516
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,9.431402e-03,7.16983839e-04,0.375563,41.7426,144.5779
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.039798e-02,7.11361354e-04,0.372650,43.4419,231.5723
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.146363e-02,7.05436648e-04,0.369617,43.9609,283.6746
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.263848e-02,6.99070522e-04,0.366656,44.6480,298.8687
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.393374e-02,6.92154171e-04,0.363855,46.4200,271.2337
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.536175e-02,6.84442049e-04,0.361439,47.2764,195.6034
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.693611e-02,6.75709324e-04,0.359560,49.7445,62.8477
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.867181e-02,6.65439037e-04,0.358640,51.4110,228.4795
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,2.058540e-02,6.53120296e-04,0.359057,52.1165,323.0491
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,2.269511e-02,6.38026042e-04,0.361381,54.1695,341.5205
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,2.502102e-02,6.18943581e-04,0.366177,57.4644,274.8287
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,2.758532e-02,5.95345482e-04,0.374222,59.1384,114.8905
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,3.041241e-02,5.67036127e-04,0.386352,61.3127,217.7591
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,3.352924e-02,5.33739869e-04,0.403318,62.6917,220.5244
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,3.696550e-02,4.95528197e-04,0.425978,62.9438,125.4330
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,4.075393e-02,4.50916477e-04,0.455594,62.9072,295.8394
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,4.493062e-02,3.97327218e-04,0.493612,61.4753,0.1246
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,4.953535e-02,3.27465430e-04,0.544996,57.9580,272.8240
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,5.461201e-02,2.22150640e-04,0.636291,48.9856,235.2558
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,6.020894e-02,1.39798460e-04,0.907558,160.9630,332.2212
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,6.637949e-02,3.14516174e-04,0.516335,146.4176,190.4732
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,7.318242e-02,3.87380155e-04,0.419647,133.1066,180.2617
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,8.068256e-02,4.17082969e-04,0.412783,119.0678,151.5260
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,8.895135e-02,4.33047711e-04,0.460278,109.7864,3.2768
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,9.806757e-02,4.62261600e-04,0.532789,102.7173,232.1467
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.081181e-01,5.05257134e-04,0.605158,95.9426,97.4898
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.191986e-01,5.34022336e-04,0.674266,87.9897,75.0916
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.314147e-01,4.88800282e-04,0.758324,78.0581,295.0078
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.448828e-01,3.21781284e-04,0.945656,155.6130,186.2219
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.597312e-01,7.92945903e-04,0.663370,130.3169,63.7849
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.761014e-01,9.76046108e-04,0.684302,120.3135,223.9930
1,backend,numeric,1,10.0000,1.0e-03,-1,LAM,0.1949,0.762218,1.941492e-01,1.09262061e-03,0.817695,109.0179,124.2820
