label,J,mu_over_J,t_yr,omega_e,beta_deg,alpha_deg,Id_over_Is,eps_beta
J = 0.1,0.1000,1.0e-03,0.000000,5.23598776e-03,75.0000,0.0000,0.343300,8.595185e-04
J = 0.1,0.1000,1.0e-03,0.006669,4.98217072e-03,77.0980,49.3681,0.360830,3.396830e-04
J = 0.1,0.1000,1.0e-03,0.013338,4.71026104e-03,76.7277,113.5546,0.382465,1.468183e-03
J = 0.1,0.1000,1.0e-03,0.020007,4.42331384e-03,77.1378,196.2704,0.408983,7.941257e-04
J = 0.1,0.1000,1.0e-03,0.026676,4.12694594e-03,78.5545,298.5905,0.440853,3.589678e-04
J = 0.1,0.1000,1.0e-03,0.033344,3.82666275e-03,79.6921,62.6828,0.478634,3.992661e-04
J = 0.1,0.1000,1.0e-03,0.040013,3.52904727e-03,79.1010,210.3875,0.522841,1.362205e-04
J = 0.1,0.1000,1.0e-03,0.046682,3.23999496e-03,80.9421,20.7577,0.573353,5.012741e-04
J = 0.1,0.1000,1.0e-03,0.053351,2.96503056e-03,79.4403,214.2214,0.629983,4.333795e-04
J = 0.1,0.1000,1.0e-03,0.060020,2.70635298e-03,80.0665,70.2261,0.691730,4.564679e-04
J = 0.1,0.1000,1.0e-03,0.066689,2.47354481e-03,81.0861,307.8639,0.756987,2.379680e-03
J = 0.1,0.1000,1.0e-03,0.073358,2.24047391e-03,78.3928,202.8396,0.823811,2.048217e-03
J = 0.1,0.1000,1.0e-03,0.080027,2.01533799e-03,77.0437,122.6831,0.888462,4.491800e-03
J = 0.1,0.1000,1.0e-03,0.086696,1.62637396e-03,70.4518,55.0099,0.950535,1.729961e-02
J = 0.1,0.1000,1.0e-03,0.093364,1.90994293e-03,120.0117,95.2791,0.955511,2.036729e-02
J = 0.1,0.1000,1.0e-03,0.100033,2.70748864e-03,105.6476,83.1744,0.952507,1.375533e-02
J = 0.1,0.1000,1.0e-03,0.106702,2.91469486e-03,88.9543,76.6303,0.964301,4.950716e-02
J = 0.1,0.1000,1.0e-03,0.113371,4.12391486e-03,109.1467,107.2393,0.960511,2.180656e-02
J = 0.1,0.1000,1.0e-03,0.120040,5.00790739e-03,99.3726,114.4568,0.963632,1.265814e-02
J = 0.1,0.1000,1.0e-03,0.126709,6.32010670e-03,111.3245,135.4500,0.961635,1.124454e-03
J = 0.1,0.1000,1.0e-03,0.133378,8.02505840e-03,98.6672,140.8207,0.961959,2.308529e-03
J = 0.1,0.1000,1.0e-03,0.140047,9.16301720e-03,106.1963,153.4076,0.962651,2.613232e-03
J = 0.1,0.1000,1.0e-03,0.146716,1.09206682e-02,109.5466,164.6915,0.961604,1.742972e-05
J = 0.1,0.1000,1.0e-03,0.153384,1.31456174e-02,101.3842,169.0362,0.961439,Inf
J = 0.1,0.1000,1.0e-03,0.160053,1.45898900e-02,103.0676,176.2455,0.962115,8.697440e-04
J = 0.1,0.1000,1.0e-03,0.166722,1.60174802e-02,106.2472,183.6923,0.962225,6.704184e-04
J = 0.1,0.1000,1.0e-03,0.173391,1.76982604e-02,108.2330,190.7003,0.961923,2.799992e-04
J = 0.1,0.1000,1.0e-03,0.180060,1.97145450e-02,108.5016,196.8821,0.961613,8.136706e-05
J = 0.1,0.1000,1.0e-03,0.186729,2.19646402e-02,107.4366,202.1355,0.961489,2.761872e-04
J = 0.1,0.1000,1.0e-03,0.193398,2.41484583e-02,106.1045,206.7597,0.961538,1.937492e-04
J = 0.1,0.1000,1.0e-03,0.200067,2.60785322e-02,105.3039,211.1242,0.961691,7.956170e-05
J = 0.1,0.1000,1.0e-03,0.206736,2.77952490e-02,105.0224,215.3516,0.961887,1.874976e-05
J = 0.1,0.1000,1.0e-03,0.213404,2.93686258e-02,105.0657,219.4694,0.962083,6.502601e-06
J = 0.1,0.1000,1.0e-03,0.220073,3.08471057e-02,105.2722,223.4821,0.962261,1.242191e-05
J = 0.1,0.1000,1.0e-03,0.226742,3.22606772e-02,105.5309,227.3867,0.962411,8.554957e-06
J = 0.1,0.1000,1.0e-03,0.233411,3.36270754e-02,105.7732,231.1779,0.962537,4.143288e-07
J = 0.1,0.1000,1.0e-03,0.240080,3.49559316e-02,105.9621,234.8514,0.962645,8.829177e-06
J = 0.1,0.1000,1.0e-03,0.246749,3.62514226e-02,106.0831,238.4047,0.962741,1.741959e-05
J = 0.1,0.1000,1.0e-03,0.253418,3.75141287e-02,106.1364,241.8377,0.962833,2.448181e-05
J = 0.1,0.1000,1.0e-03,0.260087,3.87424637e-02,106.1310,245.1530,0.962927,2.969147e-05
J = 0.1,0.1000,1.0e-03,0.266756,3.99338011e-02,106.0805,248.3550,0.963026,3.305810e-05
J = 0.1,0.1000,1.0e-03,0.273424,4.10853205e-02,105.9998,251.4497,0.963134,3.477770e-05
