case_id,block,backend,ic_id,alpha0_deg,beta0_deg,Pe_min,Id0_over_Is,band0,band_frac0,d_sep0,J,mu_over_J,sigma,omega_e0,fate,omega_e_final,omega_e_tailmean,omega_e_peak,omega_e_min,ripple,t_end_yr,reached_horizon,alpha_final_deg,beta_final_deg,Id_final_over_Is,regime_final,n_sep_crossings,min_d_separatrix,eps_beta_max,in_domain,t_eps_exit_yr,timed_out,wall_s,error
1,backend,numeric,2,264.884,103.874,118.132,0.367820,LAM,0.1357,0.818298,10.0000,1.0e-03,-1,8.86467479e-04,incomplete,2.11214342e-03,1.95821913e-03,2.56389852e-03,6.66727440e-04,3.145002e-01,51.8355,0,252.586,112.1640,0.970543,SAM,1,5.446237e-03,1.435975e-01,1,NaN,1,901.78,
2,backend,numeric,6,207.889,56.230,199.143,0.352365,LAM,0.1132,0.839605,0.1000,1.0e-03,-1,5.25852431e-04,spinup,9.99999990e-01,8.87240866e-01,9.99999990e-01,1.62342871e-04,3.085177e-01,13.9048,0,0.021,56.7110,1.000000,SAM,3,1.593152e-03,7.201036e-01,1,NaN,0,25.32,
3,backend,numeric,9,285.293,97.441,243.979,0.794765,LAM,0.7574,0.229692,1.8000,1.0e-03,-1,4.29216554e-04,cycling,7.75392996e-03,7.35190427e-03,1.86099785e-02,4.29216554e-04,5.511394e-01,100.0000,1,186.289,115.4119,0.968375,SAM,1,3.398125e-03,9.064800e-02,1,NaN,0,539.14,
4,backend,numeric,12,142.217,85.601,33.409,0.997980,SAM,0.9477,0.050469,10.0000,1.0e-03,-1,3.13452034e-03,incomplete,1.64073880e-03,1.95075341e-03,3.46282236e-03,1.19012308e-03,3.140510e-01,34.5086,0,38.761,116.1290,0.968139,SAM,0,5.511966e-03,1.425090e-01,1,NaN,1,900.12,
5,backend,numeric,16,90.627,16.569,46.785,0.993399,SAM,0.8291,0.044154,0.1000,1.0e-03,-1,2.23832861e-03,spinup,1.00000000e+00,8.78076904e-01,1.00000000e+00,2.23832861e-03,2.732883e-01,12.1691,0,20.202,63.5733,1.000000,SAM,4,9.932444e-04,4.123030e-02,1,NaN,0,23.99,
6,backend,numeric,19,277.155,83.403,82.486,0.986153,SAM,0.6415,0.034163,1.8000,1.0e-03,-1,1.26955086e-03,cycling,7.58824154e-03,7.35351618e-03,1.45149516e-02,1.26955086e-03,5.325484e-01,100.0000,1,167.715,115.8787,0.969120,SAM,0,2.570633e-03,1.519306e-01,1,NaN,0,735.73,
7,backend,numeric,22,212.313,42.678,353.215,0.987714,SAM,0.6819,0.036316,10.0000,1.0e-03,-1,2.96476303e-04,incomplete,1.87069729e-03,1.95410918e-03,3.61386639e-03,2.96476303e-04,3.147385e-01,40.9037,0,184.037,114.7029,0.967839,SAM,0,5.447504e-03,3.098246e+00,0,0.0000,1,900.04,
8,backend,numeric,26,347.547,35.062,309.530,0.969516,SAM,0.2108,0.011227,0.1000,1.0e-03,-1,3.38319106e-04,spinup,1.00000000e+00,8.99806686e-01,1.00000000e+00,3.38319106e-04,1.668523e-01,5.5900,0,189.050,43.4209,1.000000,SAM,8,1.052219e-03,4.923722e-01,1,NaN,0,16.60,
9,backend,numeric,29,95.184,88.675,252.734,0.981556,SAM,0.5225,0.027825,1.8000,1.0e-03,-1,4.14348203e-04,cycling,7.68033578e-03,7.35359764e-03,1.69570546e-02,4.14348203e-04,5.467252e-01,100.0000,1,179.819,115.6173,0.968580,SAM,2,2.827582e-03,2.218325e+00,0,0.0000,0,621.46,
10,backend,numeric,32,138.125,104.482,301.435,0.597148,LAM,0.4696,0.502136,10.0000,1.0e-03,-1,3.47403647e-04,incomplete,2.13378873e-03,1.95409716e-03,2.76632761e-03,3.47403647e-04,3.170506e-01,38.0907,0,80.115,112.7077,0.971275,SAM,1,5.455312e-03,1.427296e-01,1,NaN,1,900.07,
11,backend,numeric,36,165.112,125.354,68.075,0.978810,SAM,0.4514,0.024040,0.1000,1.0e-03,-1,1.53829528e-03,cycling,2.77975352e-01,1.78990369e-01,4.12061867e-01,1.53829528e-03,1.345771e+00,100.0000,1,19.009,92.3584,0.993512,SAM,22,4.426621e-05,1.162547e-01,1,NaN,0,147.30,
12,backend,numeric,39,42.169,129.978,174.289,0.787762,LAM,0.7472,0.239347,1.8000,1.0e-03,-1,6.00838169e-04,cycling,8.08667011e-03,7.35020025e-03,2.00832066e-02,6.00838169e-04,5.397752e-01,100.0000,1,209.906,114.2711,0.968346,SAM,1,2.693132e-03,1.473996e-01,1,NaN,0,681.84,
13,backend,numeric,42,65.738,72.619,100.873,0.990849,SAM,0.7631,0.040638,10.0000,1.0e-03,-1,1.03812990e-03,incomplete,2.10312050e-03,1.95215095e-03,2.87462754e-03,1.03812990e-03,3.183998e-01,68.1370,0,239.389,112.2207,0.968020,SAM,0,5.456298e-03,1.481069e-01,1,NaN,1,900.01,
14,backend,numeric,46,300.496,161.974,207.998,0.971123,SAM,0.2524,0.013442,0.1000,1.0e-03,-1,5.03465743e-04,cycling,1.28887366e-01,1.76418833e-01,3.30677834e-01,5.03465743e-04,1.169513e+00,100.0000,1,319.256,110.0511,0.968129,SAM,42,4.179072e-04,2.713401e-01,1,NaN,0,66.52,
