case_id,block,backend,ic_id,J,mu_over_J,sigma,band0,band_frac0,d_sep0,t_yr,omega_e,Id_over_Is,beta_deg,alpha_deg
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,0.000000e+00,1.20056181e-03,0.981020,30.2245,194.5294
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.000000e-03,1.73836600e-03,0.995254,46.4875,203.8067
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.102485e-03,1.80061622e-03,0.995608,47.9979,204.6926
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.215474e-03,1.86831441e-03,0.995925,49.5388,205.6460
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.340043e-03,1.94171003e-03,0.996206,51.0904,206.6699
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.477378e-03,2.02108620e-03,0.996455,52.6322,207.7671
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.628787e-03,2.10677433e-03,0.996675,54.1444,208.9405
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.795714e-03,2.19916801e-03,0.996869,55.6080,210.1929
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,1.979749e-03,2.29873597e-03,0.997043,57.0063,211.5272
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,2.182645e-03,2.40603406e-03,0.997200,58.3248,212.9456
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,2.406334e-03,2.52171656e-03,0.997342,59.5516,214.4506
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,2.652948e-03,2.64654748e-03,0.997473,60.6776,216.0440
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,2.924837e-03,2.78141233e-03,0.997596,61.6960,217.7275
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,3.224591e-03,2.92733112e-03,0.997714,62.6020,219.5022
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,3.555064e-03,3.08547287e-03,0.997828,63.3932,221.3686
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,3.919407e-03,3.25717214e-03,0.997940,64.0685,223.3270
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,4.321089e-03,3.44394764e-03,0.998052,64.6285,225.3768
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,4.763938e-03,3.64752314e-03,0.998163,65.0749,227.5170
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,5.252173e-03,3.86985056e-03,0.998276,65.4110,229.7460
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,5.790444e-03,4.11313542e-03,0.998390,65.6407,232.0617
33,main,analytic,3,5.0000,1.0e-03,-1,SAM,0.5086,0.027086,6.383880e-03,4.37986434e-03,0.998505,65.7693,234.4612
